"Bearbeitungsvermerke","Заметки по обработке"
"Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.","На месяц подачи заявления я уже ходатайствовал о получении пособия в другом центре по трудоустройству или уже получил выплаты от него."
"Ja","Да"
"Nein","Нет"
"Falls ja, legen Sie bitte entsprechende Nachweise vor.","Если да, предоставьте, пожалуйста, соответствующие подтверждения."
"Ich fühle mich **gesundheitlich** in der Lage, eine Tätigkeit von mindestens **drei Stunden täglich** auszuüben.","По моей оценке, я могу **по состоянию здоровья** выполнять трудовую деятельность в течение как минимум **трeх часов ежедневно**."
"Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.","Я являюсь **лицом, имеющим право на получение пособия** в рамках **Закона о предоставлении социальной помощи претендентам на получение убежища**."
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Aufenthaltserlaubnis, Aufenthaltsgestattung, Duldung, Bescheid des Bundesamtes für Migration und Flüchtlinge (BAMF)) vor.","Предоставьте, пожалуйста, соответствующие подтверждения (напр. т. н. Aufenthaltserlaubnis, Aufenthaltsgestattung, Duldung, решение Федерального ведомства по делам миграции и беженцев (BAMF))"
"Dauer der Schulausbildung von - bis","Продолжительность обучения с - по"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Schulbescheinigung) vor.","Если да, предоставьте, пожалуйста, соответствующие документальные подтверждения (например, справку из школы об обучении)."
"Dauer des Studiums von - bis","Продолжительность учeбы с - по"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Immatrikulationsbescheinigung) vor.","Если да, предоставьте, пожалуйста, соответствующие документальные подтверждения (например, справку о зачислении в ВУЗ)."
"Dauer der Ausbildung von - bis","Продолжительность обучения с - по"
"Falls ja, legen Sie bitte den Ausbildungsvertrag vor.","Если да, предоставьте, пожалуйста, договор о профессиональном обучении."
"Ich befinde mich derzeit oder demnächst in einer **stationären Einrichtung** (zum Beispiel Krankenhaus, Altenheim, Justizvollzugsanstalt).","На данный момент я нахожусь или в скором времени буду находиться в **стационарном учреждении** (напр. в больнице, доме престарелых или исправительном учреждении)."
"Dauer der Unterbringung von - bis","Продолжительность пребывания с - по"
"Art der stationären Einrichtung","Вид стационарного учреждения"
"Falls ja, legen Sie bitte eine gültige Bescheinigung über den Aufenthalt und die Dauer vor.","Если да, предоставьте, пожалуйста, действительную справку о месте и времени пребывания."
"Prüfung eines Mehrbedarfs","Проверка наличия дополнительной потребности"
"Die Angaben sind freiwillig und nur erforderlich, wenn Sie einen Mehrbedarf beantragen möchten.","Сведения предоставляются добровольно и необходимы лишь в случае, если вы хотели бы ходатайствовать о дополнительной потребности."
"Ich bin **alleinerziehend**.","Я являюсь **матерью-одиночкой / отцом-одиночкой**."
"Ich bin **schwanger**.","Я **беременна**."
"Bitte legen Sie einen Nachweis vor, aus dem der voraussichtliche Entbindungstermin hervorgeht.","Пожалуйста, предоставьте подтверждение с предположительной датой родов."
"Ich benötige aus medizinischen Gründen eine **kostenaufwändige Ernährung**.","По медицинским показаниям я нуждаюсь в **дорогостоящем питании**."
"Bitte füllen Sie die **Anlage MEB** aus.","Пожалуйста, заполните **приложение MEB**."
"Ich habe eine **Behinderung und** erhalte","Я имею **инвалидность** и получаю"
"- Leistungen zur Teilhabe am Arbeitsleben nach § 49 Neuntes Buch Sozialgesetzbuch (SGB IX) **oder**","- преимущества при участии в профессиональной жизни согласно § 49 9-го тома Социального кодекса **или**"
"- sonstige Hilfen zur Erlangung eines geeigneten Arbeitsplatzes **oder**","- другую помощь по получению подходящего рабочего места **или**"
"Bitte legen Sie einen aktuellen Bescheid vor.","Пожалуйста, предоставьте соответствующее решение."
"Ich bin **nicht erwerbsfähig** und Inhaberin/Inhaber eines Ausweises nach § 152 Abs. 5 SGB IX mit dem **Merkzeichen G oder aG**.","Я **не трудоспособен** и являюсь владельцем удостоверения согласно § 152 абзац 5 9-го тома Социальногокодекса с **пометкой G или aG**."
"(zum Beispiel Kosten zur Wahrnehmung des Umgangsrechts bei getrennt lebenden Eltern).","(напр. расходы, связанные с осуществлением права на общение с ребенком, у родителей, живущих раздельно)."
"Bitte füllen Sie die **Anlage BB** aus.","Пожалуйста, заполните **приложение BB**."
"von - bis","с - по"
"Arbeitgeber","Работодатель"
"war ich **selbständig** tätig.","Был/а **профессионально самостоятельным/ной**."
"Art der Tätigkeit","Вид деятельности"
"habe ich **Angehörige gepflegt** (Pflege nach dem Elften Buch Sozialgesetzbuch).","**ухаживал/а за близкими** (уход согласно 11-му тому Социального кодекса)."
"Leistung","Пособие"
"Ansprüche gegenüber Dritten","Притязания в отношении третьих лиц"
"Leistungsart","Вид пособия"
"Antragsdatum","Дата подачи заявления"
"Sozialleistungsträger/Familienkasse","Поставщик социальных услуг / семейная касса"
"Ich erhebe Ansprüche gegen einen (ehemaligen) Arbeitgeber auf noch ausstehende Lohn- oder Gehaltszahlungen (zum Beispiel bei Zahlungsunfähigkeit/Insolvenz des Arbeitgebers) oder für Zeiten nach dem Ausscheiden (zum Beispiel bei noch ausstehenden Abfindungen).","Я предъявляю претензии (бывшему) работодателю в связи с непогашенной задолженностью по выплате заработной платы (напр., при банкротстве работодателя) или для времени после увольнения (напр. при еще непогашенных выплатах)."
"Anschrift","Адрес"
"Grund","Причина"
"Bitte füllen Sie die **Anlage UH1** aus.","Пожалуйста, заполните **приложение UH1**."
"Bitte füllen Sie die **Anlage UH2** aus.","Пожалуйста, заполните **приложение UH2**."
"Ich bin","Я"
"- unter 18 Jahre alt oder","- младше 18-ти лет или"
"- zwischen 18 und 24 Jahre alt und mache eine Schul- oder Berufsausbildung oder will eine solche in Kürze beginnen.","- в возрасте между 18 и 24 годами и получаю/получает школьное или профессиональное образование или хочу/хочет вскоре начать."
"Bitte füllen Sie die **Anlage UH4** aus.","Пожалуйста, заполните **приложение UH4**."
"Bitte füllen Sie die **Anlage UF** aus.","Пожалуйста, заполните **приложение UF**."
"Ich habe einen Anspruch gegenüber Dritten (zum Beispiel aus vertraglichen Zahlungsansprüchen oder Schadensersatzforderungen).","У меня претензия в отношении третьих лиц (напр. из-за претензий по выплатам по договору или компенсационным выплатам)."
"Bezeichnung des Anspruchs","Определение претензии"
"Bitte weisen Sie den Anspruch durch aktuelle Unterlagen nach.","Пожалуйста, докажите претензию посредством соответствующих документов."
"Bitte legen Sie die Verpflichtungserklärung oder geeignete Unterlagen vor.","Предоставьте, пожалуйста, соответствующие документы (напр. копию письменного обязательства)."
"Kranken- und Pflegeversicherung","Страхование на случай болезни и потребности в уходе"
"Pflichtversicherung in der gesetzlichen Kranken- und Pflegeversicherung","Обязательное страхование в больничной кассе законодательно установленного страхования на случай болезни и потребности в уходе"
"Ich bin order war zuletzt in der **gesetzlichen Kranken- und Pflegeversicherung** pflicht- oder familienversichert.","У меня есть или была обязательная или семейная страховка на случай болезни или потребности в уходе в **больничной кассе законодательно установленного страхования**."
"Name der Krankenkasse","Название больничной кассы"
"Krankenversichertennummer","Номер страховки по болезни"
"(falls bekannt)","(если известно)"
"Private, freiwillig gesetzliche oder fehlende Kranken- und Pflegeversicherung","Частная, добровольная законодательно установленная или отсутствующая страховка по болезни и по потребности в уходе"
"Ich bin **privat** oder **freiwillig gesetzlich** versichert.","У меня **приватная (частная)** или **добровольная государственная** страховка."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 3 aus.","Пожалуйста, заполните **приложение SV**, часть 3."
"Ich bin **nicht** versichert.","Я **не** застрахован/a."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 4 aus.","Пожалуйста, заполните **приложение SV**, часть 4."
"Bildung und Teilhabe","Образование и участие в общественной жизни"
"Meine Bankverbindung","Банковские реквизиты"
"Leistungen nach dem SGB II werden in der Regel auf ein Konto überwiesen.","Как правило, пособия перечисляются на банковский счет"
"Kontoinhaberin/Kontoinhaber","Владелец счeта"
"IBAN","Международный номер банковского счeта"
"Die IBAN finden Sie in der Regel auf Ihrem Kontoauszug.","Международный номер банковского счeта Вы найдете на распечатке Вашего счeта"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","Как правило, при нарушении этой обязанности со всех лиц одной потребительской общности, получающих выплаты, лишне уплаченное востребуется обратно. Если в состав Вашей потребительской общности кроме Вас входят и другие члены, то при заполнении формуляра заявления Вам, как представителю, следует вовлечь этих лиц и сверить все существенные сведения и соответствующие данные. Также, пожалуйста, убедитесь, что все члены потребительской общности получают все необходимые сведения (например, уведомления)."
"Ein Verstoß kann zusätzlich zu einem **Ordnungswidrigkeiten- oder Strafverfahren** gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (zum Beispiel Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt.","Нарушение может также привести к административной и уголовной ответственности того лица, которое не выполнило требования, перечисленные выше. Центр по трудоустройству, в порядке автоматизированной синхронизации данных, собирает в различных инстанциях сведения о доходе и имуществе (например, о заработной плате, доходе от капитала, пенсиях). Сведения регулярно обновляются, поэтому доход и имущество, о которых намеренно умолчали, становятся впоследствии известными."
"Ich habe das Merkblatt ""SGB II – Arbeitslosengeld II/Sozialgeld (Grundsicherung für Arbeitsuchende)"" und die Ausfüllhinweise erhalten und kenne deren Inhalt. Künftige Änderungen (insbesondere der Familien-, Einkommens- und Vermögensverhältnisse sowie des Umfangs der Erwerbsfähigkeit) werde ich unaufgefordert und unverzüglich mitteilen.","Я получил памятку 2-го тома Социального кодекса - Пособие по безработице согласно 2-му тому Социального кодекса (Базовое обеспечение для соискателей работы) и указания по заполнению, и знаю их содержание. Я буду добровольно и незамедлительно сообщать о любых последующих изменениях (особенно в отношении семейного положения, дохода и имущественного положения, а также степени трудоспособности)."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","**Судом по делам опеки и попечительства / местным общим судом** назначен опекун."
"Ort/Datum","Место / Дата"
"Unterschrift Betreuerin/Betreuer","Подпись опекуна"
"Ich bestätige, dass die Angaben richtig sind.","Я подтверждаю, что все данные верны."
"Unterschrift Antragstellerin/Antragsteller","Подпись заявителя"
"Unterschrift der/des gesetzlichen Vertreterin/Vertreters minderjähriger Antragstellerinnen/Antragsteller","Подпись законного представителя несовершеннолетних заявителей"
