"Bearbeitungsvermerke","editorial notes"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Aufenthaltserlaubnis, Aufenthaltsgestattung, Duldung, Bescheid des Bundesamtes für Migration und Flüchtlinge (BAMF)) vor.","Please provide corresponding supporting documents (e.g. residence permit, residence authorisation, toleration, notification from the Federal Office for Migration and Refugees (BAMF))."
"Dauer der Schulausbildung von - bis","Duration of school education from – until"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Schulbescheinigung) vor.","If so, please provide appropriate proof, e.g. document certifiying enrolment (Schulbescheinigung)."
"Dauer des Studiums von - bis","Duration of studies from – until"
"Falls ja, legen Sie bitte entsprechende Nachweise (zum Beispiel Immatrikulationsbescheinigung) vor.","If you checked ""yes"", please attach relevant evidence (e.g. confirmation of enrollment)."
"Dauer der Ausbildung von - bis","Duration of apprenticeship from – until"
"Falls ja, legen Sie bitte den Ausbildungsvertrag vor.","If you checked ""yes"", please attach the articles of apprenticeship."
"Ich befinde mich derzeit oder demnächst in einer **stationären Einrichtung** (zum Beispiel Krankenhaus, Altenheim, Justizvollzugsanstalt).","I am currently or will soon be placed in a **stationary facility** (e.g. hospital, retirement home, correctional facility)"
"Dauer der Unterbringung von - bis","Duration of placement from – until"
"Art der stationären Einrichtung","Type of inpatient facility "
"Falls ja, legen Sie bitte eine gültige Bescheinigung über den Aufenthalt und die Dauer vor.","If so, please provide valid proof of your stay and the duration of your stay."
"Prüfung eines Mehrbedarfs","Audit of increased need"
"Die Angaben sind freiwillig und nur erforderlich, wenn Sie einen Mehrbedarf beantragen möchten.","This information is voluntary and only required if you wish to apply for increased need."
"Ich bin **alleinerziehend**.","I am a **single parent**."
"Ich bin **schwanger**.","I am **pregnant**."
"Bitte legen Sie einen Nachweis vor, aus dem der voraussichtliche Entbindungstermin hervorgeht.","Please provide documentation of the expected delivery date."
"Ich benötige aus medizinischen Gründen eine **kostenaufwändige Ernährung**.","I require an **expensive diet** for medical reasons."
"Bitte füllen Sie die **Anlage MEB** aus.","Please complete **attachment MEB**."
"Ich habe eine **Behinderung und** erhalte","I have a **disability and** receive"
"- sonstige Hilfen zur Erlangung eines geeigneten Arbeitsplatzes **oder**","- other assistance allowing me to find suitable employment **or**"
"Ich bin **nicht erwerbsfähig** und Inhaberin/Inhaber eines Ausweises nach § 152 Abs. 5 SGB IX mit dem **Merkzeichen G oder aG**.","I am **not able to work** and have obtained identification according to § 152 Abs. 5 SGB IX with the **code G or aG**."
"(zum Beispiel Kosten zur Wahrnehmung des Umgangsrechts bei getrennt lebenden Eltern).","(e.g. expenses that arise from excersising visitation rights in the case of seperately living parents)."
"Bitte füllen Sie die **Anlage BB** aus.","Please complete **attachment BB**."
"Bitte legen Sie entsprechende Nachweise vor.","Please provide relevant documentation."
"In den letzten 5 Jahren","In the past 5 years"
"war ich **beschäftigt**.","I was **employed**."
"von - bis","from – until"
"Arbeitgeber","Employer"
"war ich **selbständig** tätig.","I was **self-employed**."
"Art der Tätigkeit","Type of work"
"habe ich **Angehörige gepflegt** (Pflege nach dem Elften Buch Sozialgesetzbuch).","I **provided care for relatives** (Care according to the eleventh book of the Sozialgesetzbuch (SGB XI))."
"Leistung","Benefits"
"Ansprüche gegenüber Dritten","Claims against third parties"
"Leistungsart","Type of benefit"
"Antragsdatum","Date of application"
"Sozialleistungsträger/Familienkasse","Social service authorities/family benefits department"
"Ich erhebe Ansprüche gegen einen (ehemaligen) Arbeitgeber auf noch ausstehende Lohn- oder Gehaltszahlungen (zum Beispiel bei Zahlungsunfähigkeit/Insolvenz des Arbeitgebers) oder für Zeiten nach dem Ausscheiden (zum Beispiel bei noch ausstehenden Abfindungen).","I raise a claim against a (former) employer for pending wage or salary payments (e.g. if the employer was unable to pay/bankrupt) or for periods after resigning (e.g. pending settlements)."
"Anschrift","Address"
"Grund","Reason"
"Bitte füllen Sie die **Anlage UH1** aus.","Please complete **attachment UH1**."
"Ich bin","I am"
"- unter 18 Jahre alt oder","- younger than 18 or"
"- zwischen 18 und 24 Jahre alt und mache eine Schul- oder Berufsausbildung oder will eine solche in Kürze beginnen.","- between the age of 18 and 24 and am receiving educational or vocational training or will receive it soon."
"Bitte füllen Sie die **Anlage UH4** aus.","Please complete **attachment UH4**."
"Bitte füllen Sie die **Anlage UF** aus.","Please complete **attachment UF**."
"Ich habe einen Anspruch gegenüber Dritten (zum Beispiel aus vertraglichen Zahlungsansprüchen oder Schadensersatzforderungen).","I am entitled to a claim against third parties (e.g. due to contractual payment entitlements or claims for compensation)."
"Bezeichnung des Anspruchs","Name of the claim"
"Für mich wurde eine Verpflichtungserklärung gegenüber der Ausländerbehörde oder der Auslandsvertretung abgegeben.","A host guarantee for me was submitted to the foreigners' registration office or the diplomatic mission."
"Bitte legen Sie die Verpflichtungserklärung oder geeignete Unterlagen vor.","Please provide suitable documentation (e.g. copy of the host guarantee)."
"Kranken- und Pflegeversicherung","Health care and long-term insurance"
"Pflichtversicherung in der gesetzlichen Kranken- und Pflegeversicherung","Mandatory insurance within statutory health and long-term care insurance"
"Ich bin order war zuletzt in der **gesetzlichen Kranken- und Pflegeversicherung** pflicht- oder familienversichert.","I have  or last had mandatory or family insurance within **statutory health and long-term care insurance**"
"Name der Krankenkasse","Name of the insurance company"
"Krankenversichertennummer","Insurance number"
"(falls bekannt)","(if known)"
"Private, freiwillig gesetzliche oder fehlende Kranken- und Pflegeversicherung","Private, voluntary statutory or missing health and long-term care insurance"
"Ich bin **privat** oder **freiwillig gesetzlich** versichert.","I have **private** or **voluntary insurance**."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 3 aus.","Please complete **attachment SV**, section 3."
"Ich bin **nicht** versichert.","I do *not* have insurance."
"Bildung und Teilhabe","Education and participation"
"Meine Bankverbindung","My bank details"
"Leistungen nach dem SGB II werden in der Regel auf ein Konto überwiesen.","SGB II benefits are usually transferred to a single account."
"Kontoinhaberin/Kontoinhaber","Account holder"
"IBAN","IBAN"
"Die IBAN finden Sie in der Regel auf Ihrem Kontoauszug.","You will usually find the IBAN on your account statement."
"Meine eServices","My eServices"
"Meine Mitwirkungspflichten","My obligations to cooperate"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","Incorrectly paid benefits due to violations of the obligation to co-operate will in general be reclaimed from all persons entitled to benefits of your community of dependence. If your community of dependence consists of several persons, you, as representative, should involve all persons in filling in the form and coordinate with them all relevant data and the data which apply to them. Please make sure that all members receive all relevant information (e.g. decisions)."
"Ein Verstoß kann zusätzlich zu einem **Ordnungswidrigkeiten- oder Strafverfahren** gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (zum Beispiel Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt.","Violations can further lead to administrative offences or criminal prosecutions against the person violating the above mentioned obligation. The Jobcenter conducts automated data reconcilation processes with different third parties about income and assets (e.g. income, capital earnings, pensions). Therefore, concealed income and assets are usually discovered later on."
"Ich habe das Merkblatt ""SGB II – Arbeitslosengeld II/Sozialgeld (Grundsicherung für Arbeitsuchende)"" und die Ausfüllhinweise erhalten und kenne deren Inhalt. Künftige Änderungen (insbesondere der Familien-, Einkommens- und Vermögensverhältnisse sowie des Umfangs der Erwerbsfähigkeit) werde ich unaufgefordert und unverzüglich mitteilen.","I have received the information sheet ""SGB II — unemployment benefits II/income support (basic income for job seekers)"" and the completion aid and know their content. I will immediately and without notification forward future changes (in particular regarding family, income or capital as well as my capacity to work)."""
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","The **Betreuungsgericht/Amtsgericht** has ordered an assistant."
"Ort/Datum","Location/date"
"Unterschrift Betreuerin/Betreuer","Signature of assistant"
"Ich bestätige, dass die Angaben richtig sind.","I hereby confirm that the information provided is correct."
"Unterschrift Antragstellerin/Antragsteller","Signature of the applicant"
"Unterschrift der/des gesetzlichen Vertreterin/Vertreters minderjähriger Antragstellerinnen/Antragsteller","Signature of the legal representative of the minor applicant"
