"Bearbeitungsvermerke","ملاحضات التحرير"
"Prüfung eines Mehrbedarfs","معاينة الاحتياجات الأخرى"
"Die Angaben sind freiwillig und nur erforderlich, wenn Sie einen Mehrbedarf beantragen möchten.","المعلومات هنا طوعية وهي مطلوبة فقط في حال إذا أردت تسجيل إحتياجات أخرى."
"Ich bin **alleinerziehend**.","أنا **والد\ة وحيد\وحيدة** (يعيش\تعيش لوحده\ها)."
"Ich bin **schwanger**.","أنا **حامل**."
"Bitte legen Sie einen Nachweis vor, aus dem der voraussichtliche Entbindungstermin hervorgeht.","يرجى إحضار ورقة تثبت الوقت المتوقع للولادة."
"Ich benötige aus medizinischen Gründen eine **kostenaufwändige Ernährung**.","أحتاج لأسباب صحية إلى إتباع **نظام غذائي مكلف مادياً**."
"Bitte füllen Sie die **Anlage MEB** aus.","يرجى ملئ **Anlage MEB**."
"Ich habe eine **Behinderung und** erhalte","أنا لدي **إعاقة** وأحصل على"
"- sonstige Hilfen zur Erlangung eines geeigneten Arbeitsplatzes **oder**","- مساعدات أخرى من أجل الحصول على عمل مناسب **أو**"
"Ich bin **nicht erwerbsfähig** und Inhaberin/Inhaber eines Ausweises nach § 152 Abs. 5 SGB IX mit dem **Merkzeichen G oder aG**.","أنا ** غير قادر على العمل ** وحامل / حامل جواز سفر وفقًا § 152 Abs. 5 SGB IX مع ** Merkzeichen G أو aG **."
"Ich habe regelmäßig einen **unabweisbaren, laufenden, nicht nur einmaligen besonderen Bedarf**, den ich nicht durch Einsparungen oder auf andere Weise abdecken kann","**لدي حاجة خاصة دائمة, مؤكدة ومستمرة وليس لمرة واحدة**, والتي لا يمكنني تغطيتها من خلال المدخرات أو مصادر أخرى"
"(z. B. Kosten zur Wahrnehmung des Umgangsrechts bei getrennt lebenden Eltern).","(مثلا: تكاليف احتياجات الأب\الأم التي يعيش أو تعيش منفصل أو منفصلة)."
"Bitte füllen Sie die **Anlage BB** aus.","يرجى تعبئة الطلب **Anlage BB**."
"Einkommen","الدخل المالي"
"Vermögen","الممتلكات أو الثروة"
"von - bis","إلى - من"
"Arbeitgeber","مقدم\صاحب العمل"
"war ich **selbständig** tätig.","كنت **أعمل على حسابي الخاص \ أعمال حرة**."
"Art der Tätigkeit","نوع العمل"
"habe ich **Angehörige gepflegt** (Pflege nach dem Elften Buch Sozialgesetzbuch).","لقد ** أهتميت بالأقارب ** (الرعاية تحت الكتاب الحادي عشر من القانون الإجتماعي)."
"Leistung","قيمة التعويض"
"Ansprüche gegenüber Dritten","إستحقاقات ضد في مواجهة طرف ثالث"
"Leistungsart","نوع المساعدة المالية"
"Antragsdatum","تاريخ تقديم الطلب"
"Sozialleistungsträger/Familienkasse","هيئات المعونات الإجتماعية\صندوق دعم الأسرة"
"Bitte legen Sie einen Nachweis vor, sofern schon über Ihren Antrag/Ihre Anträge entschieden wurde.","يرجى تقديم إثبات بأنه تم إقرار طلبك \ طلباتك."
"Ich erhebe Ansprüche gegen einen (ehemaligen) Arbeitgeber auf noch ausstehende Lohn- oder Gehaltszahlungen (z. B. bei Zahlungsunfähigkeit/Insolvenz des Arbeitgebers) oder für Zeiten nach dem Ausscheiden (z. B. bei noch ausstehenden Abfindungen).","لدي إستحقاقات ضد صاحب العمل (السابق) لدفع الأجور والرواتب المستحقة (مثلا في حال عجز أو إفلاس صاحب العمل) أو لساعات العمل الإضافية بعد ترك العمل (مثلا تعويضا إنهاء الخدمة \ العمل)."
"Anschrift","العنوان"
"Grund","السبب"
"Bitte füllen Sie die **Anlage UF** aus.","يرجى تعبئة **Anlage UF**."
"Ich habe einen Anspruch gegenüber Dritten (z. B. aus vertraglichen Zahlungsansprüchen oder Schadensersatzforderungen).","عندي إستحقاقات مالية في مواجهة طرف ثالث ( مثلا: تعويضات عقد عمل او إستحقاقات للتعويض عن الأضرار)."
"Bezeichnung des Anspruchs","تحديد وتعريف نوع الإستحقاقات"
"Bitte füllen Sie die **Anlage UH1** aus.","يرجى ملئ **Anlage UH1**"
"- unter 18 Jahre alt oder","- أقل من 18 سنة أو"
"Bitte füllen Sie die **Anlage UH4** aus.","يرجى ملئ **Anlage UH4 **."
"Bitte legen Sie hierzu geeignete Unterlagen vor (z. B. Kopie der Verpflichtungserklärung).","يرجى تقديم الوثائق المناسبة (مثل نسخة من إعلان الإلتزام)."
"Kranken- und Pflegeversicherung","التأمين الصحي وتأمين الحماية عند العجز"
"Pflichtversicherung in der gesetzlichen Kranken- und Pflegeversicherung","التأمين الإجباري قانونياً في التأمين الصحي وتأمين الحماية عند العجز"
"Ich bin order war zuletzt in der **gesetzlichen Kranken- und Pflegeversicherung** pflicht- oder familienversichert.","أنا في أو كنت في ** التأمين الصحي والرعاية الصحية ** و لدي تأمين إلزامي أو عائلي."
"Name der Krankenkasse","إسم شركة التأمين الصحي"
"Krankenversichertennummer","رقم التأمين الصحي"
"(falls bekannt)","(في حال وجد)"
"Bitte legen Sie eine Mitgliedsbescheinigung oder einen anderweitigen Nachweis der Krankenkasse über Ihre Versicherung vor. Ersatzweise können Sie auch Ihre gültige elektronische Gesundheitskarte vorlegen.","يرجى تقديم شهادة عضوية أو إثبات للتأمين الصحي من شركة التأمين الخاصة بك. بدلاً من ذلك ، يمكنك أيضًا تقديم بطاقة الصحة الإلكترونية الصحيحة."
"der bisherigen Krankenkasse.","شركة التأمين الحالية."
"einer anderen Krankenkasse.","شركة تأمين آخرة."
"Bitte legen Sie eine Mitgliedsbescheinigung oder einen anderweitigen Nachweis der Krankenkasse über Ihre Krankenkassenwahl vor, wenn Sie die Krankenkasse wechseln.","يرجي إحضار بطاقه إنتماء لشركة التأمين الصحية أو تغير الشركة التأمين الحالية."
"Private, freiwillig gesetzliche oder fehlende Kranken- und Pflegeversicherung","تأمين صحي شخصي أو قانوني أو لا أملك تأمين"
"Ich bin **privat** oder **freiwillig gesetzlich** versichert.","أنا أملك تأمين **شخصي** أو **قانوني**."
"Bitte füllen Sie die **Anlage SV**, Abschnitt 3 aus.","يرجى ملء ** Anlage SV ** ، القسم 3."
"Ich bin **nicht** versichert.","انا **لا** أملك تأمين صحي."
"Bildung und Teilhabe","التعليم المهني والمشاركة"
"Meine Bankverbindung","معلومات الحساب المصرفي (البنك)"
"Leistungen nach dem SGB II werden in der Regel auf ein Konto überwiesen.","حسب الكتاب الثاني من كتاب التأمين الأجتماعي SGB II سيتم تحويل الخدمات المالية إلى حساب."
"Kontoinhaberin/Kontoinhaber","إسم صاحب\ـة الحساب"
"IBAN","رقم الحساب الدولي"
"Die IBAN finden Sie in der Regel auf Ihrem Kontoauszug.","يمكن العثور على رقم الحساب المصرفي الدولي IBAN في كشف حسابك المصرفي."
"Personen, die SGB II-Leistungen beantragen oder erhalten, sind mitwirkungspflichtig: Das bedeutet, alle Angaben im Antrag und in den hierzu eingereichten Anlagen müssen richtig und vollständig sein und Änderungen, die nach der Antragstellung eintreten und sich auf die Leistungen auswirken können (z. B. Arbeitsaufnahme, Umzug), sind dem zuständigen Jobcenter unverzüglich mitzuteilen. Die Mitwirkungspflichten sind von allen Mitgliedern einer Bedarfsgemeinschaft zu beachten.","الأشخاص الذين يتقدمون بطلب المعونة المالية أو يحصلون عليها يجب عليهم التفاعل الإلزامي: أي كل المعلومات الواردة فى الطلب أو في هذه الوثيقة لابد أن تكون كاملة ودقيقة و أي تغيرات تطرأ بعد تقديم الطلب وتمس المعونة (مثل الحصول علي وظيفة، تغيير مكان السكن)، يجب على الفور إبلاغ مركز العمل بها، وعلى كل الأفراد المستفيدة من حزمة المساعدات مراعاة هذا التفاعل الإلزامي."
"Bei Verstoß gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft zu viel gezahlte Leistungen zurückgefordert. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (z. B. Bescheide) erhalten.","في حال مخالفة التفاعل الإلزامي، صار لزامًا على كل المستفيدين من حزمة المساعدات إرجاع جميع المعونات الغير مستحقة. إذا كان لديكم أشخاص آخرون في حزمة المساعدات يجب عليكم تضمينهم بصفتكم تنوبون عنهم عند ملئ الطلب والتنسيق معهم بشأن المعلومات الأساسية و تلك التي تنطبق عليكم. كما يجب عليكم التأكيد من أن كل المستفيدين قد تلقوا المعلومات الضرورية (مثل الإخطارات)."
"Ein Verstoß kann zusätzlich zu einem Ordnungswidrigkeiten- oder Strafverfahren gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (z. B. Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt.","بالإضافة إلى ذلك ، قد ينتج عن انتهاك جريمة إدارية أو قضية جنائية ضد الشخص الذي فشل في الوفاء بالإلتزامات المذكورة أعلاه. يقوم مركز التوظيف بجمع معلومات حول الدخل والأصول من مختلف الوكالات من خلال تسوية البيانات الآلية (مثل الأجور والمكاسب الرأسمالية والمعاشات التقاعدية). وبالتالي فإن الدخل والأصول المخفية معروفة بإنتظام بأثر رجعي."
"Ich habe das Merkblatt ""SGB II – Arbeitslosengeld II/Sozialgeld (Grundsicherung für Arbeitsuchende)"" und die Ausfüllhinweise erhalten und kenne deren Inhalt. Künftige Änderungen (insbesondere der Familien-, Einkommens- und Vermögensverhältnisse sowie des Umfangs der Erwerbsfähigkeit) werde ich unaufgefordert und unverzüglich mitteilen.","لقد إستلمت المنشور ""SGB II - إعانة البطالة II / المنفعة الإجتماعية (الضمان الأساسي للباحثين عن عمل)"" وتعليمات الملء ومعرفة محتواها. سوف أبلغكم دون تأخير ودون تأخير بالتغييرات المستقبلية (لا سيما الأسرة والدخل والظروف المالية وكذلك مقدار القدرة على الكسب)."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","تم تعيين مشرف\ة من قبل ** محكمة الرعاية\محكمة البداية **."
"Ort/Datum","المكان\التاريخ"
"Unterschrift Betreuerin/Betreuer","توقيع المشرف \ المشرفة"
"Ich bestätige, dass die Angaben richtig sind.","أؤكد بأن جميع البيانات صحيحة."
"Unterschrift Antragstellerin/Antragsteller","توقيع مقدم\مقدمة الطلب"
"Unterschrift der/des gesetzlichen Vertreterin/Vertreters minderjähriger Antragstellerinnen/Antragsteller","توقيع ممثل\ممثلة القاصر\ة عن العمر (في حال إذا كان مقدم\ـة الطلب تحت سن البلوغ القانوني"
