"Kindergeld-Nr.","شماره پرونده کمک هزینه کودک"
"Angaben zum/zur Ehegatten/Ehegattin bzw. eingetragenen Lebenspartner(in)","اطلاعات در مورد همسر ( زن، مرد) یا شریک زندگی (زن ، مرد) مربوط به فرد متقاضی"
"Staatsangehörigkeit","تابعیت"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","آدرس، اگر با آدرس فرد متقاضی متفاوت است (خیابان /محل، پلاک، کد پستی، شهرسکونت , استان محل اقامت )"
"Angaben zum Zahlungsweg","اطلاعات پرداخت وجه"
"IBAN","شماره حساب بانکی (ایبان)"
"BIC","کد رهگیری بانک (بیک)"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","نام بانک، موسسه مالی یا شاخه بانک"
"Kontoinhaber(in) ist","نام صاحب حساب بانکی (مرد ، زن)"
"antragstellende Person wie unter 1","همانند شخص درخواست دهنده در قسمت ۱"
"nicht antragstellende Person, sondern:","شخص دیگری بجز شخص درخواست دهنده"
"Name, Vorname","نام خانوادگی، نام"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","پاسخ به این درخواست را لطفا به شخص ذیل ارسال کنید:"
"Angaben zu Kindern","اطلاعات مربوط به کودک (کودکان)"
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","به ازای هر کودکی که درخواست جدید برای دریافت کمک هزینه ماهیانه میدهید، میبایستی یک ""Anlage Kind"" (ضمیمه مربوط به کودک) را جداگانه پر و ارسال کنید."
"Für folgende Kinder beziehe ich bereits Kindergeld","برای کودک (کودکان) ذیل هم اکنون کمک هزینه ماهیانه دریافت میکنم"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(حتی در موارد مختلف اتصال حساب وانحرافات و پرداخت):"
"Vorname des Kindes ggf. abweichender Familienname","اسم کودک در صورتیکه نام خانوادگی دیگری داشته باشد"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","توسط کدام صندوق خانواده (شماره حساب کمک هزینه ماهیانه کودک، شماره شناسایی شخص)؟"
"Folgende Zählkinder sollen berücksichtigt werden:","کودکان ذیل بایستی در نظر گرفته شوند:"
"Wer bezieht das Kindergeld (Name, Vorname)?","چه کسی کمک هزینه ماهیانه کودک را دریافت می کند؟ (نام خانوادگی، نام)"
"Ich versichere, dass alle Angaben (auch in den Anlagen) vollständig sind und der Wahrheit entsprechen. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) habe ich zur Kenntnis genommen.","این جانب تایید می کنم که تمامی اطلاعاتی که در فرمهای مربوطه ارائه کرده ام کامل و درست می باشد و هر گونه تغییر در این اطلاعات یا آنچه که به کمک هزینه ماهیانه کودکان مرتبط باشد را بلافاصله به اطلاع صندوق حمایت از خانواده برسانم. همچنین دفترچه اطلاعات مربوط به کمک هزینه ماهیانه کودک را دریافت و مطالعه کرده ام."
"Datum","تاریخ"
"Ich bin damit einverstanden, dass das Kindergeld zugunsten der antragstellenden Person festgesetzt bzw. bewilligt wird.","من موافقت ام را اعلام میدارم که کمک هزینه کودک به متقاضی (مرد،زن) پرداخت گردد."
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","امضاء متقاضی (مرد، زن)بترتیب نماینده قانونی (مرد، زن)"
"(Unterschrift der unter Punkt 2 genannten Person oder des anderen Elternteils, die/der mit der antragstellenden Person in einem Haushalt lebt bzw. der gesetzlichen Vertretung)","(امضای شخص نامبرده در گزینه 2 یا یکی از والدین که با متقاضی در یک منزل سکونت دارند ویا نماینده قانونی)"
"Hinweis zum Datenschutz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","با توجه به قانون حفاظت از اطلاعات در جمهوری فدرال آلمان: اطلاعات حاضردر راستای پاراگراف ۳۱، ۶۲ تا ۷۸ قانون مالیات بر درامد و همچنین قوانین مربوط به کمک هزینه ماهیانه کودکان و کمک هزینه اجتماعی مورد بررسی و استفاده قرار خواهد گرفت."
"Alle Eingaben löschen","تمام فرمهای مربوطه را پاک کنید."
"Drucken","چاپ کنید."
"Speichern","ذخیره کنید."
"Nur von der Familienkasse auszufüllen","این قسمت توسط صندوق حمایت از خانواده پر شود."
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","راهنمای فرم ""تسهیلات کودک"" و ""پیوست : کودک"""
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","لطفأ فرم تقاضا وهمچنین فرم ضمیمه کودک را با دقت زیاد وخوانا پر کنید و قسمت مربوطه را ضربدر بزنید۰*امضا* را فراموش نکنید! اگر شما هنوزبه سن بلوغ نرسیده اید٬ سرپرست حقوقی شما باید فرم را برایتان امضا کند."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","بگذارید که *همچنین* همسر، شریک زندگی/ یا بخش دیگر از والدین که با شما در یک خانه زندگی میکند اگر موافق است که شما وجه حق اولاد را از صندوق خانواده دریافت دارید هم امضا کند. اگرتوافقی در این باره وجود نداشته باشد ، لطفا به صندوق خانواده اطلاع بدهید .در صورتیکه از طریق دادگاه این حق به شما داده شده است لطفا حکم دادگاه را پیوست نمائید."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.","لطفا توجه کنید٬ که تقاضای شما در صورتی مورد بررسی قرار می گیرد که فرم *کامل پرشده باشد*."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","از تاریخ 01.01.2016 پیش شرط استفاده از حق اولاد است که کودک و فردی که محق است حق اولاد را دریافت دارد دارای شماره کد مالیاتی (طبق ماده 139 ب) باشند. از 2008 هر شخصی که محل سکونتش را در خانه ایی در آلمان ثبت کند بطور اتوماتیک به او یک کد مالیاتی تعلق می گیرد. افرادی که ثبت نشده اند ولی مالیات می پردازند نیز این کد مالیاتی را دریافت میکنند. این کد را شما به طور اتوماتیک توسط پست دریافت می نمائید اگر آدرس خود را ثبت کرده باشید."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","کد مالیاتی خود و فرزندتان در نامه ای که از طرف اداره فدرال مرکزی برای امور مالیاتی دریافت میدارید ، موجود است. این کد مالیاتی همچنین در گواهی مالیاتی الکترونیکی سالیانه که کارفرما برایتان صادر میکند و همچنین در ورقه حقوقی شما هم ثبت است. اگر کد مالیاتی را خود را پیدا نمی کنید، میتوانید از طریق پرکردن درخواست در سایت اینترنتی اداره مرکزی فدرال برای امور مالیاتی **www.bzst.de** تقاضای مجدد ارسال این کد را بنمائید. این کد مالیاتی توسط اداره مرکزی فدرال برای امور مالیاتی کتبا برایتان ارسال میشود. به دلائل حفظ اطلاعات شخصی این کد نباید تلفنی و یا توسط ایمیل ارسال شود."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","زمانیکه شما از خارج به آلمان نقل مکان نمائید از اداره فدرال مرکزی برای امور مالیاتی کد مالیاتی خود را پس از ثبت محل زندگی بطور اتوماتیک با پست دریافت می کنید. کد مالیاتی فرزندتان فوری پس از تولد برایش به آدرس محل زندگی اش ارسال میشود. برای فرزندانی که در خارج از آلمان زندگی می کنند ، کدی را که در آلمان صادر شده را لطفا وارد کنید. اگر برای کودکی مثلا بخاطرسکونت در خارج ار آلمان هیچ کد مالیاتی صادر نشده باشد در این صورت این کودک به طرق دیگری با کد ملی و مدارک دیگرکه در آن کشور ها مرسوم است شناسائی می شود. اطلاعات دقیق در مورد مدارک مورد نیاز را از صندوق خانواده دریافت می دارید."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","به سئوالات دیگر شما در باره کد مالیاتی به عنوان پیش شرط حق بهره مندی در این سایت **www.bzst.de** جواب داده میشود."
"Rechtslage ab 2018","وضعیت قانونی از سال 2018"
"Ab dem 01.01.2018 gilt: Kindergeld wird nach § 66 Abs. 3 EStG rückwirkend nur für die letzten sechs Monate vor Beginn des Monats gezahlt, in dem der Antrag auf Kindergeld eingegangen ist.","از تاریخ 01.01.2018 : کمک هزینه کودک بر طبق بند 66 پاراگراف EStG 3 عطف به ماسبق فقط برای آخرین شش ماه پیش از شروع ماهی که درخواست کمک هزینه کودک دریافت شده، پرداخت خواهد شد."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in)","در باره شماره ۱و۲: اطلاعات مربوط به افراد متقاضی و مربوط به همسر/ و یا شریک زندگی"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner(in) nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.","اگر هر دو والدین فرزند حق گرفتن کمک هزینه کودک را دارند،لطفأ نام شخص والده در خواست کننده راپر نمایید که همان شخص مذبور هزینه مربوطه را دریافت کند. قسمت مربوطه وضعیت خانوادگی ""dauernd getrennt lebend"" را درصورتی ضربدر بزنید ، که یکی از والدین تصمیم دارد بصورت دائم جدا از هم د یگر زندگی کنند.در صورتی که شما مزدوج نیستید ویا همسرتان (مرد، زن ) / شریک زندگی تان (مرد،زن) والده ی تنی حداقل یکی از فرزندانی که در فرم پیوست کودک هستند، نیست، خواهشمندیم اطلاعات مربوط به دیگر والدین تنی را درهرفرم پیوست کودک بنویسید (درمورد فرزندخوانده یا نوه، اطلاعات مربوط به هردووالدین تنی را درهرفرم پیوست کودک بنویسید.)"
"Sollten Sie eine **andere** als die deutsche Staatsangehörigkeit oder als die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte **den Aufenthaltstitel** bei.","اگر شما تابعت کشورهای عضو اتحادیه اروپا واتحادیه اقتصادی اروپا , سوئیسی و یا آلمانی را **ندارید** ، لطفأ **مدارک وضعیت اقامت** خود را ارائه نمائید."
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","درباره ۴ : تصمیم گرفته شده را نه برای من بلکه به شخص مذکور بفرستید."
"Hier können Sie einen/eine Empfangsbevollmächtigten/Empfangsbevollmächtigte (z. B. Steuerberater, Lohnsteuerhilfeverein etc.) angeben, welcher den Bescheid über Kindergeld erhalten soll.","اینجا میتواند قید کنید که چه شخصی (موکل مرد یا زن) تصمیم کمک هزینهٔ کودک شما را دریافت بکند٬به طور مثال می تواند اشخاصی مثل مشاور مالیاتی، یا سازمانی که به شما در کار مالیاتی کمک کرده ا ند باشند."
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","درباره ۶ : فرزندان ذیل که از رابطه زناشویی قبلی هستند باید مورد نظر قرارگیرند ."
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","لیست کودکان، حتی اگر آن تسهیلات توسط فرد دیگری دریافت شود، می‌تواند به عنوان بخشی از درخواست شما به قصد افزایش تسهیلات کودک ضمیمه شود. اگر می‌خواهید لیست کودکان در نظر گرفته شود، برای هر کودک ذکر کنید چه کسی تسهیلات را دریافت می‌کند و کدام صندوق خانواده آن را پرداخت می‌کند."
"Anlage Kind","پیوست کودک"
"Allgemeines","اطلاعات کلی"
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines Kindes ist eine Kopie der Geburtsbescheinigung für Kindergeld oder der Geburtsurkunde erforderlich und ausreichend, wenn keine Zweifel bestehen, dass das Kind in den Haushalt der Eltern aufgenommen ist. Bei einem im Ausland geborenen Kind ist als Nachweis die Geburtsurkunde ausreichend. Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.","لطفأ ""Anlage Kind"" (ضمیمه مربوطه به کودک) را کاملا پر بکنید. در صورتی که شما با تولد فرزندتان درخواست حق اولاد را می دهید، کپی گواهی تولد و شناسنامه لازم و کافی است . البته اگر شکی درآن نباشد که کودک در نزد پدر و مادر زندگی میکند. .در صورتی که کودک در خارج از آلمان به دنیا آمده، فقط شناسنامه کافی است. برای بچه های با لای ۱۸ سال باید فرم را فقط زمانی پر کنید، که یکی ازپیش شرط های ویژه نامبرده در ورقه اطلاعات مربوط به حق اولاد را دارا باشید. مدارک لازم ( مانند گواهی اشتغال به تحصیل در مدرسه و دانشسرا) را باید ارائه داد. برای کودکانی که به فرزند خواندگی گرفته شده اند ، مدرک فرزندخواندگی دادگاه خانوادگی را ضمیمه کنید."
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","اشخاصی دیگری که نسبت مستقیم یا غیر مستقیم با کودک دارند این افرادند: والدین ،والدین ناتنی، والدینی که کودک را به فرزندخواندگی پذیرفته اند، والدینی که از کودک پرستاری میکنند ، پدر یا مادر بزرگ."
"Zu 1: Angaben zum Kind","درباره 1‌‌: اطلاعات مربوط به کودک."
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","اگر بچه ها خارج ازخانه والدین زندگی می کنند، لطفأ دلیل را ذکر کنید (بطور مثال سکونت با پدرومادر بزرگ،درخانه کودکان بی سرپرست، بخاطر مدرسه یا آموزشگاه فنی)."
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in) und zu anderen Personen","درباره ۲: نسبت کودک با تقاضاکننده، همسر، شریک زندگی، و اشخاص دیگر."
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","به پرسش های اینجا به هرحال باید جواب داده بشود،اگر والدین هم در حیات نباشند ،در قسمت فوت Verstorben ذکر بکنید و در صورتیکه برای کودک سرپرست پدر از نظر حقوقی مشخص نشده است این قسمت ها را پربشود نامشخص Unbekannt یا پدر خوانده مشخص نیست Vaterschaft nicht festgestellt"
"Zu 3: Angaben für ein volljähriges Kind","درباره ۳: اطلاعات برای فرزند بالغ"
"Besondere Anspruchsvoraussetzungen","شرايط خاص"
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es","در نظر گرفتن کودکی که به سن بلوغ رسیده است در شرایط زیر ممکن است:"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","۱. کودک بالغی که سن ۲۱ سال را تمام نکرده‌ است, شاغل نیست و در اداره کار به عنوان کار یاب( بیکار ) ثبت نام شده است"
"2. noch nicht das 25. Lebensjahr vollendet hat und","۲. هنوزبه سن ۲۵ سال تمام نرسیده و"
"a) für einen Beruf ausgebildet wird oder","الف) دوره کارآموزی را طی میکند"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","ب) در یک دوره موقت حداکثر چهار ماهه بسرمیبرد و یا"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","س) یک دوره آموزشی را به خاطر کمبود جا نمیتواند شروع کند یا دنبال کند"
"d) einen geregelten Freiwilligendienst leistet oder","د ) کارخدماتی داوطلبانه بطور منظم دارد یا"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","به دلیل داشتن ناتوانی بدنی، ذهنی یا اختلال روانی نتواند از خود مراقبت کند. به شرط آنکه اختلال او قبل از ۲۵ سالگی اتفاق افتاده باشد (بدون محدودیت سنی)."
"Nach Abschluss einer erstmaligen Berufsausbildung oder eines Erststudiums wird ein Kind in den Fällen der Nummer 2 (a bis d) nur berücksichtigt, wenn das Kind keiner (schädlichen) Erwerbstätigkeit nachgeht.","فقط بعد از پایان اولین دوره آموزش حرفه ای یا  دانشگاهی است که فرزند تحت موارد نامبرده درگزینه ۲از ( a تا d) در نظر گرفته می شود، اگر فرزند هیچ اشتغال دیگری را که سبب ضایع شدن مزایای کودک می شود انجام ندهد."
"Eine Ausbildung (Berufsausbildung oder Studium) ist grundsätzlich abgeschlossen, wenn sie zur Ausübung eines Berufs befähigt, auch wenn das Kind später eine weitere Ausbildung aufnimmt. Wurde jedoch das angestrebte Berufsziel mit dem erworbenen Abschluss noch nicht erreicht, kann auch eine weiterführende Ausbildung noch Teil der Erstausbildung sein, wenn die Ausbildungsabschnitte in einem engen sachlichen Zusammenhang zueinander stehen und in engem zeitlichen Zusammenhang durchgeführt werden.","آموزش (اعم ازآموزش حرفه ای یا تحصیلات دانشگاهی) زمانی تکمیل شده است که با آن امکان کار کردن وجود داشته باشد، حتی اگر فرزندتان بعدا یک دوره آموزش حرفه ای دیگر را شروع کند. در صورتی که فرزند شما علیرغم اتمام یک دوره تحصیلی، توانائی انجام شغل خود را را نداشته باشد، شروع یک دوره آموزش جدید بعنوان ادامه تحصیل اولیه او محسوب میشود چنانچه مقاطع تحصیلی جدید با دوره تحصیلی قبلی او در ارتباط موضوعی باشند و از لحاظ زمانی ، پشت سرهم ادامه داشته باشند."
"Ein Kind ist erwerbstätig, wenn es einer auf die Erzielung von Einkünften gerichteten Beschäftigung nachgeht, die den Einsatz seiner persönlichen Arbeitskraft erfordert. Hieraus folgt, dass der Begriff „Erwerbstätigkeit“ durch eine nichtselbständige Tätigkeit, eine land- und forstwirtschaftliche, eine gewerbliche und eine selbständige Tätigkeit erfüllt werden kann. Die Verwaltung eigenen Vermögens ist demgegenüber keine Erwerbstätigkeit.","فرزندی مشتغل می‌باشد که هدف انجام آن کسب در‌آمد باشد و برای انجام آن نیاز به نیروی کار شخصی داشته باشد. عبارت مشتغل می‌تواند به موارد زیر هم اشاره داشته باشد: کار استخدامی، فعالیت‌های مربوط به کشاورزی یا جنگلداری، فعالیت‌های تجاری و خویش فرما. مدیریت اموال شخصی خود به عنوان اشتغال در نظر گرفته نمی‌شود."
"Bitte weisen Sie die wöchentliche Arbeitszeit anhand geeigneter Unterlagen (z.B. Arbeitsvertrag / Bescheinigung des Arbeitgebers) nach. Wurde von den vertraglich vereinbarten Arbeitszeiten abgewichen, kann ein Nachweis hierfür durch Vorlage von Gehaltsabrechnungen, einem Auszug aus dem Arbeitskonto oder einer Arbeitgeberbescheinigung erfolgen. Fehlzeiten aufgrund von Urlaub, Krankheit oder ähnliches mindern die vertraglich vereinbarte Arbeitszeit nicht.","لطفأ ساعت کاری هفتگی خود را با مدارک مربوطه ( بطور مثال قرارداد کار/ گواهی کار فرما) ارائه دهید .در صورت تغییر مدت زمان کاری بعد از بستن قرار داد،می توان این تغییررا با ارائه مدرک پرداخت حقوق، یا یک رونویس ازحسابکاری یا تایید نامه از طرف کار فرما انجام داد. مرخصی یا دوران مریضی یا امثا ل اینها ساعت قرارداد کاری را کم نمی کند."
"Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","درباره ۵: مطالبه ی کمک هزینه کودک ازخارج از آلمان/ یا یکی از اورگانهای میان دولتی یا چند ملیتی."
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","دراینجا به طورمثا ل تقاضای کمک هایی که به خا نواده برای کودکان در صورتی که این کمک ها خارج از آلمان گرفته می شوند، مثل کشورهای اتحادیه اروپا را ذکرکنید."
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","درباره ۶: درطی ۵ سال پیش ازتقاضای هزینه کودک آیا شما یا کسی دیگرسرپرستی کودک را به عهده داشته اید و همچنان دارید: (...)"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","„اشتغال درخدمات عمومی“ بمعنی مشاغل رسمی دراداره جات دولتی فدرال، انجمن ها، اتحادیه های انجمن ها یا بنگاه های مربوطه، نهاد یا بنیاد عمومی و یا قاضی، سرباز حرفه‌ای یا سربازوظیفه می باشد."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","این مورد کارمندان بخش خصوصی را نیزدربرمی گیرد، در صورتی که وابستگان به بخش خدمات عمومی درحال مرخصی باشند. انجمن های مذهبی وابسته به دولت (موسسات درمانی ومدارس وکودکستانهای وابسته به کلیسا وامثال اینها) وهمچنین موسسه های عضوخدمات رفاه عمومی وارگان های وابسته به عنوان خدمات عمومی حساب نمی شوند."
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","بخش ۶ب و ۶س را در صورتی که شما یا همسر شما یا شریک زندگی تان و یا فردی که در رابطه فرزند/والد است، سفیر یا کاردار بوده است و یا هست، با بلی جواب دهید."
