"Kindergeld-Nr.","Kindergeld-Nummer"
"wenn **deutsche** Staatsangehörigkeit oder Staatsangehörigkeit eines **EU-/EWR-Staates bzw. der Schweiz** *und* wenn z. B. wenn mindestens ein Elternteil bzw. ein Kind im Ausland wohnt bzw. erwerbstätig ist oder ausländische Leistungen bezogen werden oder wenn ein Elternteil Mitglied der in Deutschland stationierten NATO-Streitkräfte ist, bitte „Anlage Ausland“ ausfüllen","Wenn
- Sie einen **deutschen** Pass oder einen Pass aus einem anderen **EU-/EWR-Land oder der Schweiz** haben *und*
- mindestens ein Kind oder Elternteil in einem anderen Land lebt oder arbeitet oder
- Sie oder der andere Elternteil oder das Kind Geld von einem anderen Land bekommt oder
- wenn ein Elternteil Mietglied bei einer NATO-Militär-Einheit ist:
Füllen Sie bitte auch das Formular ""Anlage Ausland"" aus."
"wenn **nicht deutsche Staatsangehörigkeit**, aber Staatsangehörigkeit eines **EU-/EWR-Staates**, bitte die „Anlage EU“ ausfüllen und zusammen mit Ihrem Antrag einreichen; es sei denn, „Anlage Ausland“ ist aufgrund Punkt 1 beizufügen","Wenn Sie
- keinen **deutschen** Pass haben, aber einen Pass aus einem anderen **EU-/EWR-Land** und
- das Formular ""Anlage Ausland"" **nicht** ausfüllen müssen:
Füllen Sie auch das Formular ""Anlage EU"" aus und geben Sie es zusammen mit diesem Antrag ab."
"wenn **andere** als die deutsche Staatsangehörigkeit oder die eines EU-/EWR-Staates bzw. der Schweiz, bitte **Aufenthaltstitel** beifügen","Wenn Sie **keinen** Pass aus Deutschland, einem anderen Land der EU oder EWR oder der Schweiz haben: Bitte legen Sie Ihren **Aufenthaltstitel** dazu (z.B. Visum oder Aufenthaltsgenehmigung)."
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","Zu 4: Den Brief vom Amt soll nicht ich bekommen, sondern diese Person"
"Hier können Sie eine(n) Empfangsbevollmächtigte(n) (z. B. Steuerberater(in), Lohnsteuerhilfeverein etc.) angeben, welche(r) den Bescheid über Kindergeld erhalten soll.","Wollen Sie, dass das Amt den Brief zum Kindergeld nicht Ihnen sondern an eine andere Person schickt? Dann tragen Sie hier Name und Adresse dieser Person ein. Diese Person kann zum Beispiel ein Steuerberater oder ein Lohnsteuerhilfeverein sein."
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","Zu 6: Haben Sie Kinder aus einer anderen Beziehung?"
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","Bekommen nicht Sie, sondern eine andere Person Kindergeld für Ihre Kinder oder manche Ihrer Kinder? Für diese Kinder (""Zählkinder"") können Sie vielleicht mehr Geld bekommen. Wenn Sie das wollen, schreiben Sie, wer für dies Kinder Geld bekommt und von welcher Familienkasse."
"Anlage Kind","Anlage Kind"
"Allgemeines","Allgemeines"
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines in Deutschland geborenen Kindes ist die Geburtsbescheinigung für Kindergeld oder die Geburtsurkunde nur auf Anfrage der Familienkasse vorzulegen. Bei einem im Ausland geborenen Kind ist durch amtliche Dokumente (z. B. ausländische Geburtsurkunde) das Kindschaftsverhältnis nachzuweisen.","Bitte füllen Sie in dem Formular ""Anlage Kind"" alles aus.
Ist das Kind in Deutschland geboren? Dann müssen Sie keine Geburtsbescheinigung oder Geburtsurkunde dazu legen. Nur, wenn das Amt Familienkasse Sie extra fragt.
Ist das Kind im Ausland geboren? Dann müssen Sie ein Dokument (z.B. Geburtsurkunde) dazu legen, das zeigt, dass es Ihr Kind ist."
"Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.","Ist Ihr Kind 18 Jahre oder älter und möchten Sie für dieses Kind Kindergeld bekommen, dann müssen Sie die ""Anlage Kind"" nur ausfüllen, wenn einer der Punkte auf dem ""Merkblatt Kindergeld"" stimmt. Sie müssen wichtige Papiere dazulegen: Zum Beispiel ein Papier, das sagt, dass Ihr Kind zur Schule geht oder eine Ausbildung macht. Wenn Sie Ihr Kind adoptiert haben, dann legen Sie das Papier über die Adoption vom Familiengericht dazu."
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","Das Wort ""Kindschaftsverhältnis"" meint die Beziehung zwischen einem Kind und seinen Eltern. Kinder können ein Kindschaftsverhältnis auch zu ihren Stiefeltern, Adoptiveltern, Pflegeeltern oder Großeltern haben."
"Zu 1: Angaben zum Kind","Zu 1: Angaben zu Ihrem Kind"
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","Wenn Ihre Kinder nicht bei Ihnen zu Hause leben, dann schreiben Sie, warum das so ist. Zum Beispiel lebt Ihr Kind bei seinen Großeltern oder in einem Heim, zum Beispiel wegen einer Schul- oder Berufsausbildung."
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehepartner(in) bzw. eingetragene Lebenspartner(in) und zu anderen Personen","Zu 2: Kindschaftsverhältnis zu Ihnen, zu Ihrem Ehegatten/Ihrer Ehegattin oder Lebenspartner/Lebenspartnerin und zu anderen Personen"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","Diese Angaben müssen Sie **in jedem Fall** machen. Wenn der andere Elternteil/die Eltern des Kindes nicht mehr lebt/leben, dann schreiben Sie ""verstorben"" dazu. Steht in der Geburtsurkunde nicht, wer der Vater ist und gibt es auch kein Papier vom Gericht, in dem der Vater des Kindes steht: Dann geben Sie ""unbekannt"" oder ""Vaterschaft nicht festgestellt"" an."
"Zu 3: Angaben für ein volljähriges Kind","Zu 3: Angaben für ein Kind, das 18 Jahre oder älter ist"
"Besondere Anspruchsvoraussetzungen","Besondere Voraussetzungen, damit Sie Kindergeld bekommen können"
"Nach § 32 Abs. 4 Satz 1 EStG ist die Berücksichtigung eines volljährigen Kindes möglich, wenn es","In dem Gesetz § 32 Abs. 4 Satz 1 EStG steht: Sie können Kindergeld bekommen für ein Kind, das 18 Jahre oder älter ist, wenn einer der folgenden Punkte stimmt:"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1.Ihr Kind ist noch nicht 21 alt, es arbeitet nicht und es ist nicht bei einer Agentur für Arbeit (Arbeitsamt) als ""arbeitssuchend"" gemeldet ist oder"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2. Ihr Kind ist noch nicht 25 Jahre alt und"
"a) für einen Beruf ausgebildet wird oder","a) macht gerade eine (Berufs-)Ausbildung oder"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","b) ist gerade in einer Übergangszeit, die nicht länger dauert als vier Monate (zum Beispiel zwischen dem Ende der Schule und dem Beginn der Ausbildung)"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","c) kann keine Berufsausbildung beginnen oder kann sie nicht weitermachen, weil es keinen freien Ausbildungsplatz gibt oder"
"d) einen geregelten Freiwilligendienst leistet oder","d) macht einen Freiwilligendienst oder"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","3. kann wegen körperlicher, geistiger oder seelischer Behinderung nicht alleine Geld verdienen. Dieser Punkt gilt nur, wenn die Behinderung begonnen hat, bevor Ihr Kind 25 Jahre alt wurde."
"Zu 5: Tätigkeit im öffentlichen Dienst","Zu 5: Tätigkeit ( = Arbeit) im öffentlichen Dienst"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter / Versorgungsempfänger / Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","""Tätigkeit im öffentlichen Dienst"" heißt, dass Sie für den Staat oder die Gesellschaft arbeiten als: Beamter/Versorgungsempfänger/(Tarif-)Beschäftigter des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchliche Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","Arbeiten Sie als Angestellter des öffentlichen Dienstes für einen privaten Arbeitgeber und wurden dafür beurlaubt? Dann gilt Ihre Arbeit auch als ""Tätigkeit im öffentlichen Dienst"". ""Öffentlicher Dienst"" sind keine Religionsgemeinschaften des öffentlichen Rechts (Kirchen und religiöse Orden, kirchliche Krankenhäuser, Schulen, Kindergärten und ähnliches) und nicht die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen."
"Zu 6: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","Zu 5: Ihr Recht auf Geld von einem Amt im Ausland/von einer zwischen- oder überstaatlichen Organisation"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","Haben Sie im Ausland ein Recht auf Geld, das mit Ihrem Kind zusammenhängt (wie das Kindergeld)? Oder haben Sie ein Recht auf Geld von einem Arbeitsamt, zum Beispiel von der Europäischen Union? Dann geben Sie das hier an."
"Zu 7: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (…)","Zu 6: Sind oder waren Sie oder eine andere Person, mit der das Kind ein Kindschaftsverhältnis hat, in den letzten 5 Jahren, bevor Sie Kindergeld beantragt haben: (...)"
"Die Fragen 7a bzw. 7b sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr(e) Ehepartner(in) bzw. eingetragene(r) Lebenspartner(in) oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","Waren oder sind Sie oder Ihre Ehegattin/Ihr Ehegatte oder Ihre Lebenspartnerin/Ihr Lebenspartner Diplomatin/Diplomat? Oder eine andere Person, zu der das Kind in einem ""Kindschaftsverhältnis"" steht? (Was ""Kindschaftsverhältnis bedeutet, können Sie weiter oben lesen). Wenn ja, dann müssen Sie die Fragen 6b und 6c mit ""ja"" beantworten."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","Mehr Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de oder www.familienkasse.de."
