"Kindergeld-Nr.","رقم دعم الطفل"
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","رقم التعريف الضريبي الخاص بك وبطفلك تجده ضمن الرسائل المرسلة من مكتب الضرائب الفيدرالي المركزي. تجد الرقم مسجلا أيضا على بيان ضريبة العمل الإلكتروني من رب عملك أو على مشروع قانون ضريبة الدخل الخاص بك. إذا لم تتمكن من العثور على رقم التعريف الضريبي الخاص بك في الوثائق المذكورة، يمكنك أن تطلب اعادة ارسال الرقم مجددا عن طريق استمارة على البوابة الإلكترونية لمكتب الضرائب الفيدرالي المركزي ** www.bzst.de** . سيتم اعلامك عن رقم التعريف الضريبي كتابيا. من اجل الحفاظ على امن البيانات، لا يمكن إعطاء الرقم عن طريق الهاتف ولا عن طريق البريد الإلكتروني."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","إذا انتقلت من الخارج إلى ألمانيا، سوف تتلقى رقم التعريف الضريبي تلقائيا من مكتب الضرائب الفيدرالية المركزية عن طريق البريد وذلك بعد أن تكون قد سجلت نفسك في مكتب التسجيل. يتم إرسال رقم التعريف الضريبي لطفلك بعد ولادته فورا على عنوانه المسجل. وبالنسبة للأطفال الذين هم الآن في الخارج، والذين حصلوا بالفعل على رقم التعريف الضريبي داخل ألمانيا، يرجى تقديم رقم التعريف الضريبي الذي تم الحصول عليه. في حال عدم حصول الطفل في ألمانيا على رقم التعريف الضريبي لأنه على سبيل المثال يعيش في الخارج، يجب في هذه الحالة تقديم وثائق اخرى كفيلة بأثبات الهوية. لمعرفة أوراق الاعتماد المطلوبة بالضبط، يرجى الاتصال بمكتب صندوق العائلة الخاص بك."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","يتم الرد على مزيد من الأسئلة المتعلقة برقم التعريف الضريبي فيما يخص متطلبات الأهلية من خلال الموقع أدناه **www.bzst.de**"
"Rechtslage ab 2018","وضع قانوني من 2018"
"Ab dem 01.01.2018 gilt: Kindergeld wird nach § 66 Abs. 3 EStG rückwirkend nur für die letzten sechs Monate vor Beginn des Monats gezahlt, in dem der Antrag auf Kindergeld eingegangen ist.","إبتداءً من 01.01.2018 ينطبق: يتم دفع إستحقاقات الطفل بأثر رجعي وفقا للمادة 66 من القانون الأساسي رقم 3 EStG فقط خلال الستة أشهر الأخيرة قبل بداية الشهر الذي تم فيه استلام طلب إعانة الطفل."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in)","في ١ و ٢: المعلومات عن مقدم الطلب و الأزواج أو شركاء الحياة"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner(in) nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.","في حالة ان كلا الابوين يفيان بشروط الإستحقاقات الطفل، أُكتب ""كمقدم الطلب"" اسم مَن عليه ان يحصل على كندر غيلد و ذلك مناسبا لارادة الابوين. في ""الحالة العائلية"" يمكنك ان تكتب ""منفصل بشكل دائم"" في حالة ان احد الزوجين (على الاقل) يريد ان يعيش بمفرده بشكل دائما. أما في حالة انك لست متزوج او زوجك / شريكك ليس ايضا (اب، ام) احد الاطفال الذين تم تسجيلهم في „Anlage Kind“ فيجب ان تكتب وثائق الاب او الام (أما الاحفاد او الاطفال تحت الرعاية فيجب ان تكتب وثائق كلا الابوين) في „Anlage Kind“."
"Sollten Sie eine **andere** als die deutsche Staatsangehörigkeit oder als die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte **den Aufenthaltstitel** bei.","في حالة انك **لا** تحمل الجنسية الالمانية او جنسية الاتحاد الاوروبي او الجنسية السويسرية يرجى إرفاق **إثبات تصريح الإقامة**"
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","ل ٤: لا اريد ان ترسلوا القرار لي لكن للشخص المدرج اسمه"
"Hier können Sie einen/eine Empfangsbevollmächtigten/Empfangsbevollmächtigte (z. B. Steuerberater, Lohnsteuerhilfeverein etc.) angeben, welcher den Bescheid über Kindergeld erhalten soll.","هنا يمكن كتابة اسم موكل (مثلا مستشار ضرائبك)، في حالة انك تريد حصوله على القرار."
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","ل٦: ينبغي اعتبار العدد التالي من الأطفال"
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","الأطفال الذين يتلقى شخص آخر دعم الأطفال الخاص بهم، و الذي من الممكن أن يؤثر على زيادة دعم الأطفال الخاص بك (من الأطفال المذكورين). حيث أنك تريد إعادة النظر في هؤلاء الأطفال, الرجاء الإشارة بأي حال من الأحوال، إلى الشخص الذي يحصل على هذا الدعم للأطفال المذكورين و من أي فرع من فروع صندوق العائلة."
"Anlage Kind","قسم الطفل"
"Allgemeines","معلومات عامة"
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","""الأشخاص الآخرين""، اللذين لديهم علاقة ابوية بالطفل هم: الآباء والأمهات، الوالدين المتبنيين، والأجداد."
"Zu 1: Angaben zum Kind","معلومات عن الطفل"
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","في حالة ان الاطفال لا يعيشون في بيتك اُكتب السبب (مثلا سكن مع الجدين او سكن في دار الرعاية او مدرسة او تدريب مهني)."
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in) und zu anderen Personen","ل ٢ :Kindschaftsverhältnis (نسب الطفل) الى مقدم الطلب و الى الزوج(ة) او الشريك(ة) و الى اشخاص اخرين"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","يجب ان تكتب هذه البيانات **على اية حال**. في حالة ان احد الابوين / كلا الابوين متوفين اكتب „verstorben“ (متوفى). في حالة ان اب الطفل غير معروف اكتب „unbekannt“ (غير معروف) او „Vaterschaft nicht festgestellt“ (أبوة ليست ثابتة)."
"Zu 3: Angaben für ein volljähriges Kind","ل٣: معلومات عن طفل يبلغ من العمر"
"Besondere Anspruchsvoraussetzungen","شروط القبول الخاصة"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","١) لم يكتمل بعد ٢١ سنة من العمر، ليس في علاقة عملية، والمسجل لدى وكالة توظيف في ألمانيا باعتبار باحث عن عمل, أو"
"2. noch nicht das 25. Lebensjahr vollendet hat und","٢) لم يكتمل بعد ٢٥ سنة من العمر و"
"a) für einen Beruf ausgebildet wird oder","أ) يتم تدريب لمهنة أو"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","ب) في فترة انتقالية لا تتجاوز أربعة أشهر أو"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","ج) لا يمكن أن يبدأ أو يستمر التدريب المهني لعدم وجود أماكن كافية التدريب أو"
"d) einen geregelten Freiwilligendienst leistet oder","د) يشارك في خدمة تطوعية منظمة ، أو"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","٣) غير قادر على العناية بنفسه بسبب إعاقة جسدية عقلية أو نفسية؛ الشرط هو أن الإعاقة حدثت قبل ال٢٥ من السنة (بدون تحديد للسن)."
"Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","ل٥: المطالبة بالدعم النقدي من موقع خارج ألمانيا / من وكالة حكومية أو دولية"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","اكتب هنا مثلا حقوق الطفل في خدمات الدعم الحكومة في الخارج او حقوق الطفل في الخدمات من دائرة (مثلا الاتحاد الاوروبي)."
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","٦: في السنوات ال٥ التي سبقت الطلب، هل انت أو أي شخص آخر له علاقة بنوية للطفل : (...)"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","„Tätigkeit im öffentlichen Dienst“ تعني عمل موظفي للدولة او لولاية او لبلدية او لهيئة / مؤسسة عامة او ايضا عمل قضائي او عسكري."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","العمل في القطاع الخاص ايضا „Tätigkeit im öffentlichen Dienst“ في حالة ان اعطيت لك اجازة من صاحب العمل في القطاع العام ، للعمل في القطاع الخاص. ولكن مجتمعات دينية (كنائس و رهبانيات و مستشفيات كناسية ومؤسسات مشابهة) و ايضا جمعيات الخدمة الاجتماعية و المؤسسات الملتحق بها لا تندرج تحت خدمة عامية."
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","يجب الإجابة على الأسئلة 6B و6C ب ""نعم"" إذا كنت أنت أو زوجك أو زوجتك أو شريك الحياة أو أي شخص آخر يرتبط مع الأطفال بعلاقة أبوة، و عملت أو تعمل حالياً في العمل الدبلوماسي أو القنصلي."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","لمعلومات اضافية مفصلة عن كندر غيلد يمكن زيارة موقعنا على الانترنت www.bzst.de او www.familienkasse.de"
