"Kindergeld-Nr.","Çocuk parası No."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","01.01.2016 tarihi itibariyle çocuk parası alma hakkının koşulu, çocuk parası alma hakkına sahip kişi ve çocuğun kendilerine verilen vergi kimlik numaraları ile (Vergi kanunu § 139b) ile kimliklerinin belirlenmesidir. 2008 yılından beri Almanya’da bir nüfus dairesinde asıl ikamet yeri ile veya tek bir konut ile kayıtlı bulunan her kişiye bir vergi kimlik numarası verilmektedir. Nüfus dairesinde kaydı bulunmayan ancak Almanya’da vergi yükümlüsü olan kişilere de bir vergi kimlik numarası verilir."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","Kendinizin ve çocuğunuzun vergi kimlik numarasını Federal Merkez Vergi Dairesi’nin kişilere özel olarak gönderdiği bildiri yazılarında bulabilirsiniz. Vergi kimlik numaranız işvereninizin elektronik ücret vergisi belgesinde veya kendinizin gelir vergisi bildiriminde yazılıdır. Vergi kimlik numaranızı anılan belgelerde bulamadığınız takdirde, Federal Merkez Vergi Dairesi’nin **www.bzst.de** internet sayfasındaki giriş formu üzerinden tekrar gönderilmesini isteyebilirsiniz. Vergi kimlik numarası Federal Merkez Vergi Dairesi tarafından yazılı olarak bildirilir. Veri koruma yasası gereğince bu numara ne telefonla ne de e-posta ile bildirilebilir."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","Yurt dışından Almanya'ya taşınır ve nüfus dairesine kaydınızı yaptırırsanız Federal Merkez Vergi Dairesinden otomatik olarak posta ile bir vergi kimlik numarası alırsınız. Çocuğunuz vergi kimlik numarası doğumdan hemen sonra kayıtlı bulunduğu adrese gönderilir. Bu arada yurt dışında bulunan ancak yurt içinde bir vergi kimlik numarası almış olan çocuklar için lütfen yurt içinde verilmiş olan vergi kimlik numarasını belirtiniz. Çocuğa, örneğin yurtdışında yaşadığından dolayı Almanya’da vergi kimlik numarası verilmiyorsa, çocuğun kimliği kaldığı ülkede kullanılan kimlik belirleme özellikleri ve belgeler yardımıyla başka bir uygun yöntemle belirlenmelidir. Hangi kanıtlayıcı belgelerin tam olarak gerekli olduğunu Aile Kasanız’dan öğrenebilirsiniz."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","Çocuk parası alma hakkının şartı olan vergi kimlik numarası ile ilgili diğer sorulara **www.bzst.de** sayfasında cevap bulabilirsiniz."
"Rechtslage ab 2018","2018'den itibaren yasal durum"
"Ab dem 01.01.2018 gilt: Kindergeld wird nach § 66 Abs. 3 EStG rückwirkend nur für die letzten sechs Monate vor Beginn des Monats gezahlt, in dem der Antrag auf Kindergeld eingegangen ist.","01.01.2018 tarihinden itibaren geçerlidir: EStG (Alman Gelir Vergisi Kanunu), § 66, Madde 3 uyarınca çocuk parası, başvurunun alındığı ayın ilk gününden önceki yalnızca son altı ay için geriye dönük olarak ödenir."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in)","1. ve 2.şikkina: başvuranin ve esi/hayat arkadaşi hakkinda bilgiler"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner(in) nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.","Çocuğun ana babasının her ikisi de çocuk parası alma hakkının önkoşullarını yerine getiriyorsa, başvuruyu yapan kişi, çocuk parasının ana babanın her ikisinin rızası ile alınacağını belirtmelidir. Medeni durumu bölümünde, eşlerden en azından biri kalıcı olarak ayrı yaşamayı amaçlıyorsa „Kalıcı olarak ayrı yaşıyor"" seçeneğini işaretleyiniz. Evli değilseniz veya eşiniz veya hayat arkadaşınız „Çocuk/çocuklar eki“'nde belirtilen çocuklardan en azından birinin öz anne veya babası değilse, diğer öz anne veya babaya ait bilgileri (haneye bakım için alınan çocuklar veya torunlarda öz ana babaya ayrı ayrı) lütfen ilgili „Çocuk eki“'nde belirtiniz."
"Sollten Sie eine **andere** als die deutsche Staatsangehörigkeit oder als die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte **den Aufenthaltstitel** bei.","Alman, AB/AEA veya İsviçre yurttaşı **değilseniz**, lütfen **oturma izninizi gösteren bir belgeyi** ekleyiniz (örneğin pasaport fotokopisi)."
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","No. 4 ile ilgili olarak: Bildirim bana değil aşağıdaki kişiye gönderilmelidir"
"Hier können Sie einen/eine Empfangsbevollmächtigten/Empfangsbevollmächtigte (z. B. Steuerberater, Lohnsteuerhilfeverein etc.) angeben, welcher den Bescheid über Kindergeld erhalten soll.","Buraya çocuk parası hakkındaki bildirimi almaya yetkili kişiyi/kurumu (örneğin vergi danışmanı, gelir vergisi yardımcı kuruluşu vb.) yazabilirsiniz."
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","No. 6 ile ilgili olarak: Daha önceki evlilikten olan ve başkasının kendileri için çocuk parası aldığı aşağıdaki çocuklar dikkate alınmalıdır"
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","Başka bir kişinin kendileri için çocuk parası aldığı çocuklar, alacağınız çocuk parasının yükselmesine etkide bulunabilir (daha önceki evlilikten olan ve başkasının kendileri için çocuk parası aldığı çocuklar). Daha önceki evlilikten olan çocukların dikkate alınmasını istiyorsanız, lütfen çocuk için kimin hangi Aile Kasasından çocuk parası aldığını belirtiniz."
"Anlage Kind","Cocuk fonu eki"
"Allgemeines","Genel"
"Bitte füllen Sie die „Anlage Kind“ vollständig aus. Beim Antrag aufgrund der Geburt eines Kindes ist eine Kopie der Geburtsbescheinigung für Kindergeld oder der Geburtsurkunde erforderlich und ausreichend, wenn keine Zweifel bestehen, dass das Kind in den Haushalt der Eltern aufgenommen ist. Bei einem im Ausland geborenen Kind ist als Nachweis die Geburtsurkunde ausreichend. Für über 18 Jahre alte Kinder ist die Anlage nur auszufüllen, wenn sie eine der im Merkblatt Kindergeld genannten besonderen Voraussetzungen erfüllen. Entsprechende Nachweise (z. B. über die Schul- oder Berufsausbildung) sind beizufügen. Bei angenommenen (adoptierten) Kindern bitte den Annahmebeschluss des Familiengerichts beifügen.","Lütfen „Çocuk eki“'ni tam olarak doldurunuz. Bir çocuğun doğumu dolayısıyla yapılan başvuruda, çocuk parası ile ilgili doğum belgesinin veya doğum kaydının birer fotokopisi, çocuğun anne ve babasının hanesine alındığına dair bir tereddüt yoksa yeterlidir
gerekli ve yeterlidir. Yurt dışında doğan bir çocuk için kanıt olarak doğum belgesinin sunulması yeterlidir. 18 yaşından büyük çocuklar için ek sadece, eğer çocuklar çocuk parası kılavuzunda belirtilen özel ön koşulları yerine getiriyorsa doldurulmalıdır. İlgili belgeler (örneğin okul veya meslek eğitimi belgesi) eklenmelidir. Alınan çocuklarda (evlatlıklarda) lütfen aile mahkemesinin evlatlık kararını ekleyiniz."
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","Nesep ilişkisi bulunan „Diğer kişiler“ şunlardır: Ana babalar, üvey ana baba, evlat edinmiş karı koca, evlatlık edinen ana baba, büyükanne büyükbaba."
"Zu 1: Angaben zum Kind","No. 1 ile ilgili olarak: Çocuğa ait bilgiler"
"Wenn Kinder außerhalb Ihres Haushalts leben, geben Sie den Grund an (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung).","Çocuklar evinizin haricinde yaşıyorlarsa lütfen nedenini belirtiniz (örneğin okul veya meslek eğitimi nedeniyle büyükanne büyükbabalarının yanında / bir bakım yurdunda / yurtta)."
"Zu 2: Kindschaftsverhältnis zur antragstellenden Person, zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in) und zu anderen Personen","No. 2 ile ilgili olarak: Başvuran kişiyle, eşle veya hayat arkadaşı ile ve diğer kişilerle nesep ilişkisi"
"Die Eintragung der hier abgefragten Angaben ist **in jedem Fall** erforderlich. Wenn der andere Elternteil / die Eltern des Kindes verstorben sind, ist dies durch den Zusatz „verstorben“ anzugeben. Ist für ein Kind die Vaterschaft nicht rechtswirksam festgestellt worden, ist „unbekannt“ bzw. „Vaterschaft nicht festgestellt“ einzutragen.","Burada sorulan soruların yanıtlanması **zorunludur**. Anne veya babadan diğeri / çocuğun ana babası hayatta değilse, „Ölü“ eki ile belirtilmelidir. Bir çocuğun babasının kim olduğu yasal olarak tespit edilmemişse, „Bilinmiyor“ veya „Babalık tespit edilmedi“ yazılmalıdır."
"Zu 3: Angaben für ein volljähriges Kind","No 3 ile ilgili olarak: Yetişkin bir çocuğa ait bilgiler"
"Besondere Anspruchsvoraussetzungen","Özel hak şartları"
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es","Yetişkin bir çocuğun dikkate alınması ancak aşağıdaki durumlarda mümkündür:"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1. 21. yaşini doldurmamiş ve Iş ve yurtici bir Işci Bulma Kurmuna kayıtlı ise veya"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2. 25. yaşini doldurmamış ve"
"a) für einen Beruf ausgebildet wird oder","a) bir meslek yapiyorsa veya"
"b) sich in einer Übergangszeit von höchstens vier Monaten befindet oder","b) dört aylık bir geciş süresinde ise veya"
"c) eine Berufsausbildung mangels Ausbildungsplatzes nicht beginnen oder fortsetzen kann oder","c) Meslek eğitim yeri eksikliği nedeniyle bir meslek eğitimine başlayamıyor veya bu eğitimi sürdüremiyorsa veya"
"d) einen geregelten Freiwilligendienst leistet oder","d) Organize bir gönüllü hizmet yerine getiriyorsa veya"
"3. wegen körperlicher, geistiger oder seelischer Behinderung außerstande ist, sich selbst zu unterhalten; Voraussetzung ist, dass die Behinderung vor Vollendung des 25. Lebensjahres eingetreten ist (ohne Altersgrenze).","3. eger çocuk zihinsel veya fiziksel özürlülügü varsa ve bu nedenlerle kendi geçimini sagliyamiyorsa..; önkuşul olarak çocugun 25. yaşını doldurmadan özürlü olamasıdır o zamam yaş sınırı olmaksızım çocuk Yardım Parası alabilir."
"Nach Abschluss einer erstmaligen Berufsausbildung oder eines Erststudiums wird ein Kind in den Fällen der Nummer 2 (a bis d) nur berücksichtigt, wenn das Kind keiner (schädlichen) Erwerbstätigkeit nachgeht.","Bir çocuk, ilk meslek eğitimini veya yüksek eğitimini tamamladıktan sonra 2. maddede anılan durumlarda (a ile d şıkları arası) sadece (hakkı engelleyen) bir işte çalışmıyorsa dikkate alınır."
"Eine Ausbildung (Berufsausbildung oder Studium) ist grundsätzlich abgeschlossen, wenn sie zur Ausübung eines Berufs befähigt, auch wenn das Kind später eine weitere Ausbildung aufnimmt. Wurde jedoch das angestrebte Berufsziel mit dem erworbenen Abschluss noch nicht erreicht, kann auch eine weiterführende Ausbildung noch Teil der Erstausbildung sein, wenn die Ausbildungsabschnitte in einem engen sachlichen Zusammenhang zueinander stehen und in engem zeitlichen Zusammenhang durchgeführt werden.","Bir eğitim (meslek eğitimi veya yüksek eğitim), eğer bir mesleği icra etmeye imkan veriyorsa, esas itibariyle bitirilmiş sayılır, çocuk ilerde başka bir eğitime başlasa bile. Ancak arzu edilen mesleki hedefe elde edilen diploma ile daha henüz ulaşılmamışsa, bir ilerleme eğitimi de ilk eğitimin bir parçası olabilir, eğer bu eğitim bölümleri birbirleriyle nesnel sınırlı bir bağlantı içersinde bulunup zamanla sınırlı bir bağlantı içerisinde yapılıyorlarsa."
"Ein Kind ist erwerbstätig, wenn es einer auf die Erzielung von Einkünften gerichteten Beschäftigung nachgeht, die den Einsatz seiner persönlichen Arbeitskraft erfordert. Hieraus folgt, dass der Begriff „Erwerbstätigkeit“ durch eine nichtselbständige Tätigkeit, eine land- und forstwirtschaftliche, eine gewerbliche und eine selbständige Tätigkeit erfüllt werden kann. Die Verwaltung eigenen Vermögens ist demgegenüber keine Erwerbstätigkeit.","Eger bir çocuk para karşılıgı ve bu parayla geçimini sagliyorsa çalişiyor demektir. Bu kişi hem kendi işini, çifcilik veya ticari işi yapiyor olabilir. Yapdıgı ticari işlerin kendi muhasebisini yapiyorsa bu çalişiyor demek degildir."
"Bitte weisen Sie die wöchentliche Arbeitszeit anhand geeigneter Unterlagen (z.B. Arbeitsvertrag / Bescheinigung des Arbeitgebers) nach. Wurde von den vertraglich vereinbarten Arbeitszeiten abgewichen, kann ein Nachweis hierfür durch Vorlage von Gehaltsabrechnungen, einem Auszug aus dem Arbeitskonto oder einer Arbeitgeberbescheinigung erfolgen. Fehlzeiten aufgrund von Urlaub, Krankheit oder ähnliches mindern die vertraglich vereinbarte Arbeitszeit nicht.","Lütfen haftalık çalışma saatini uygun belgelerle kanıtlayınız (örneğin iş sözleşmesi / işveren belgesi). Sözleşme ile belirlenen çalışma sürelerinden bir sapma olduğu takdirde, bu durum ücret bordrolarının, çalışma hesabı özetinin veya işveren belgesinin sunulması ile belgelenebilir. Tatil, hastalık ve benzeri nedenler sonucu ortaya çıkan devamsızlıklar sözleşmeye dayalı çalışma sürelerini azaltmaz."
"Zu 5: Anspruch auf eine Geldleistung von einer Stelle außerhalb Deutschlands / von einer zwischen- oder überstaatlichen Stelle","No. 5 ile ilgili olarak: Almanya dışındaki bir merciden / devletlerarası veya devletlerüstü bir merciden para alma hakkı"
"Hier sind beispielsweise Ansprüche auf kindbezogene Familienleistungen, die im Ausland bestehen oder Ansprüche auf kindbezogene Leistungen von einer Beschäftigungsbehörde (z. B. der Europäischen Union) einzutragen.","Burada örneğin çocuklar için yurt dışında mevcut aile yardımı alma hakkı veya çalışılan makama karşı (örneğin Avrupa Birliği) çocuklara ilişkin ödeme hakları belirtilmelidir."
"Zu 6: Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung: (...)","No. 6 ile ilgili olarak: Sizin veya çoukla çocuk-evlat ilişkisi olan bir kimsenin başvuru tarihinden önceki son 5 yıl içinde (...)"
"„Tätigkeit im öffentlichen Dienst“ bedeutet eine Tätigkeit als Beamter/Versorgungsempfänger/(Tarif-)Beschäftigte des Bundes, eines Landes, einer Gemeinde, eines Gemeindeverbandes oder einer sonstigen Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts oder als Richter, Berufssoldat oder Soldat auf Zeit.","„Kamu hizmetinde çalışmak“, devlet memuru / devletten maaş alan kişi / Federal Bölge görevlisi, bir eyalette, bir belediyede, bir belediye birliğinde veya kamu hukukuna tabi başka bir birlikte, kurumda veya vakıfta çalışmak veya yargıç, profesyonel asker veya sürekli asker olarak çalışmak demektir."
"Hierzu zählt auch die bei einem privaten Arbeitgeber ausgeübte Tätigkeit, soweit Angehörige des öffentlichen Dienstes hierfür beurlaubt worden sind. Nicht zum öffentlichen Dienst zählen Religionsgemeinschaften des öffentlichen Rechts (Kirchen einschl. der Ordensgemeinschaften, kirchlichen Krankenhäuser, Schulen, Kindergärten und ähnliches) sowie die Spitzen-/Mitgliedsverbände der freien Wohlfahrtspflege und die ihnen angeschlossenen Einrichtungen.","Bunlara, kamu görevlisi olan bir kimse için izin verilmiş olması halinde, , özel girişime mensup bir işveren yanında çalışmak da dahildir. Kamu hukuku kapsamındaki dini birliklerdeki (tarikat kuruluşları, kilise hastaneleri, okullar, anaokulları ve benzerleri dahil) ile bağımsız gönüllü kuruluşların üst ve üye kurumları kamu hizmeti kapsamına girmez."
"Die Fragen 6b bzw. 6c sind auch dann mit „ja“ zu beantworten, wenn Sie, Ihr Ehegatte bzw. Lebenspartner oder eine andere Person, zu der eines der Kinder in einem Kindschaftsverhältnis steht, im diplomatischen oder konsularischen Dienst tätig sind oder waren.","Siz, eşiniz veya hayat arkadaşınız veya çocuklardan biri ile evlat ilişkisi olan başka bir kişi diplomatik veya konsoloslukla ilgili bir hizmet yerine getiriyorsanız/getiriyorsa veya getirmişseniz/getirmişse 6b ve 6c sorularının cevabı „“evet“tir."
"Ausführliche Informationen zum Kindergeld finden Sie im Internet unter www.bzst.de bzw. unter www.familienkasse.de.","Çocuk parasına ilişkin ayrıntılı bilgiyi İnternette www.bzst.de veya www.familienkasse.de sayfalarında bulabilirsiniz."
