"An das","(المرسل اليه)."
"Ich habe monatliche Einkünfte in Höhe von brutto ...........................EUR, netto ........................... EUR.","اجمالي الدخل المحصل شهريا .............. يورو ، الصافي................ يورو."
"Mein Ehegatte/meine Ehegattin bzw. mein eingetragener Lebenspartner/meine eingetragene Lebenspartnerin hat monatliche Einkünfte von netto ...........................EUR.","الزوج/ة او الشريك/ة يكسب/تكسب شهريا ........... يورو بالصافي"
"Meine Wohnung hat eine Größe von ................. m². Die Wohnkosten betragen monatlich insgesamt ...........................EUR. Ich zahle davon ....... EUR.","مساحة الشقة .........متر مربع. الاجرة الكاملة الشهرية للشقة ........... يورو. و انا ادفع ...........يورو منها."
"Ich bewohne diese Wohnung","انا اسكن في الشقة"
"allein","لوحدي"
"mit ................. weiteren Person(en).","مع .......... اشخاص."
"Welchen Angehörigen gewähren Sie Unterhalt?","اية اقرباء تنفق عليهم ؟"
"Unterhalt kann in Form von Geldzahlungen, aber auch durch Gewährung von Unterkunft, Verpflegung etc. erfolgen. Bitte nennen Sie hier Name, Vorname dieser Angehörigen (Anschrift nur, wenn sie von Ihrer Anschrift abweicht)","النفقة ممكن ان تكون مالا او على شكل سكن او اكل. تكتب اسماء الاقرباء هنا (وعناوينهم في حالة انها اختلافها عن عنوانك)."
"Familienverhältnis des Angehörigen zu Ihnen (z.B. Ehegatte, Kind)","صلة القرابة اليك (مثلا زوج او طفل)"
"Wenn Sie den Unterhalt ausschließlich durch Zahlung leisten","فقط وفي حالة الانفاق مالياً"
"Ich zahle mtl. EUR:","انا ادفع شهريا ًباليورو:"
"Hat dieser Angehörige eigene Einnahmen? (z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil)","هل لأحد الأقرباء ايرادات خاصة ايضا؟ (مثلا مكافأة تدربية او نفقة أخرى)"
"nein","لا"
"ja, mtl. EUR netto:","نعم، شهرياً يورو:"
"Bankkonten/Grundeigentum/Kraftfahrzeuge/Bargeld/Vermögenswerte","حسباتات بنكية / املاك عقارية / مركبات / عملات نقدة / ممتلكات"
"Bitte geben Sie unter „Eigentümer/Inhaber“ an, wem dieser Gegenstand gehört: A = mir allein, B = meinem Ehegatten/eingetragenen Lebenspartner allein bzw. meiner Ehegattin/meiner eingetragenen Lebenspartnerin allein, C = meinem Ehegatten/eingetragenen Lebenspartner bzw. meiner Ehegattin/eingetragenen Lebenspartnerin und mir gemeinsam","اكتب في خانة „Eigentümer/Inhaber“ (مالك) الشيء؟ A = انا لوحدي، B = زوج(ة) او شريك(ة) لوحده(ا)، C = انا و زوج(ي)/تي او شريك(ي)تي معاً."
"Giro-, Sparkonten und andere Bankkonten, Bausparkonten, Wertpapiere","حسبات جارية و حسبات بنكية اخرى وحسبات الادخار السكنية و اورق مالية"
"Nein","لا"
"Ja","نعم"
"Inhaber:","المالك"
"Bezeichnung der Bank, Sparkasse/des sonstigen Kreditinstituts; bei Bausparkonten Auszahlungstermin und Verwendungszweck:","اسم البنك او صندق التوفير و لحسبات الادخار السكنية تُكتب: تاريخ الدفع و الغرض منه"
"Kontostand in EUR:","اجمالي مبلغ الحساب"
"Grundeigentum","ملكية عقارية"
"(zum Beispiel Grundstück, Familienheim, Wohnungseigentum, Erbbaurecht)","(مثلا ارض او منزل او شقة مملوكة او ورثة)"
"Eigentümer:","المالك"
"Bezeichnung nach Lage, Größe, Nutzungsart:","الموقع، المساحة و الأستخدام"
"Verkehrswert in EUR:","قيمة المركبة باليورو"
"Kraftfahrzeuge","المركبات"
"Fahrzeugart, Marke, Typ, Bau-, Anschaffungsjahr, km-Stand:","الماركة، العائلة، ونوع المركبة. تاريخ الصنع. سنة الشراء. رقم العداد بالكيلومتر"
"Sonstige Vermögenswerte","ممتلكات اخرى"
"(zum Beispiel Kapitallebensversicherung, Bargeld, Wertgegenstände, Forderungen, Anspruch aus Zugewinnausgleich)","(مثلا تأمين على الحياة او عمات نقدية او اشياء ثمين او تحصيل ديون)"
"Bezeichnung des Gegenstands:","اسم الممتلكات"
"Rückkaufswert oder Verkehrswert in EUR:","القيمة باليورو"
"Zahlungsverpflichtungen und sonstige besondere Belastungen","ديون و اعباء شخصية أخرى"
"Haben Sie oder Ihr Ehegatte/eingetragener Lebenspartner bzw. Ihre Ehegattin/eingetragene Lebenspartnerin Zahlungsverpflichtungen?","هل لديك او لدى الزوج(ة) او شريك(ة) ديون؟"
"Verbindlichkeit (z. B. „Kredit“)","نوع الدين (مثلا قرض)"
"Gläubiger (z.B. „Sparkasse“)","دائن (مثلا صندق التوفير)"
"Verwendungszweck:","الغرض منه"
"Raten laufen bis:","اقساط حتى (تاريخ)"
"Restschuld EUR:","الديون المتبقية"
"Ich zahle darauf mtl. EUR:","القسط المسدد شهريا من قبلي باليورو:"
"Ehegatte/eingetr. Lebenspartner bzw. Ehegattin/eingetr. Lebenspartnerin zahlt darauf mtl. EUR :","القسط المسدد شهريا من قبل الزوج(ة) الشريك(ة) باليورو:"
"Haben Sie oder Ihr Ehegatte/eingetragener Lebenspartner bzw. Ihre Ehegattin/eingetragene Lebenspartnerin sonstige besondere Belastungen?","هل لديك او لدى زوج(ة) او شريك(ة) اعباء شخصية؟"
"Art der Belastung und Begründung dafür:","نوع العبء و سببه"
"Ich zahle dafür mtl. EUR:","القسط المسدد شهريا من قبلي باليورو:"
"Ehegatte/eingetr. Lebenspartner bzw. Ehegattin/eingetr. Lebenspartnerin zahlt mtl. EUR:","القسط المسدد شهريا من قبل الزوج(ة) الشريك(ة) باليورو:"
"Ich habe mich unmittelbar an eine Beratungsperson gewandt. Die Beratung und/oder Vertretung hat erstmals am.............................................stattgefunden.","قمت بالأتصال بشكل مباشرة بمشتشار(ة). تمت الاستشارة او الوكالة للمرة الاولة بتاريخ: ................"
"Name und Anschrift der Beratungsperson (ggf. Stempel):","اسم و عنوان المستشار(ة) (اذا اقتضي الامر: الختم)"
"Ich versichere, dass mir in derselben Angelegenheit Beratungshilfe weder gewährt noch durch das Gericht versagt worden ist und dass in derselben Angelegenheit kein gerichtliches Verfahren anhängig ist oder war.","انا اوكد بان احداً لم يقم بالموافقة او الرفض على مساعدة استشارية في هذا الأمر وحتى الآن. واوكد ايضاً بعدم وجود اية محاكمة من قبل لهذا الأمر وحتى الآن."
"Ich versichere, dass meine Angaben vollständig und wahr sind. Die Allgemeinen Hinweise und die Ausfüllhinweise zu diesem Formular habe ich erhalten.","انا اوكد بان بياناتي كاملة و صحيحة. حصلت على الدلائل العامة و دلائل المساعدة لملء هذه الاستمارة."
"Mir ist bekannt, dass das Gericht verlangen kann, dass ich meine Angaben glaubhaft mache und insbesondere auch die Abgabe einer Versicherung an Eides statt fordern kann.","انا اعي ان بإستطاعة المحكمة ان تطالب بالأدلة الخاصة بياناتي و بشكل خاص بشهادة القََسَم."
"Mir ist bekannt, dass unvollständige oder unrichtige Angaben die Aufhebung der Bewilligung von Beratungshilfe und ggf. auch eine Strafverfolgung nach sich ziehen können.","انا اعي بانه و في حالة تقديم بيانات غير صحيحة سيتم على اثرها فقدان المساعدة الإستشارية و من امكانية التسبب بملاحقة قانونية ايضا."
"Ort, Datum","المكان و التاريخ"
"Unterschrift des Antragstellers/der Antragstellerin","توقيع مقدم(ة) الطلب"
"Dieses Feld ist nicht vom Antragsteller auszufüllen.","الحقول التالية تترك فارغة."
"Hinweisblatt zum Antrag auf Beratungshilfe","صفحة الاشارات لطلب المساعدة الاستشارية."
"Allgemeine Hinweise","الاشارات العامات"
"Wozu Beratungshilfe?","الهدف من المساعدة الاستشارية؟"
"Bürgerinnen und Bürger mit geringem Einkommen können Beratungshilfe bekommen, um sich rechtlich beraten und, soweit erforderlich, vertreten zu lassen. Beratungshilfe kann auf allen Rechtsgebieten erteilt werden. Näheres erfahren Sie bei den Gerichten und den Rechtsanwältinnen/Rechtsanwälten sowie den sonstigen Beratungspersonen.","يستطيع المواطنون و المواطنات اصحاب الدخل الصغير ان يحصلوا على مساعدة استشارية للاستشارة القانونية و للوكالة القانونية في حالة انها ضرورية. من الممكن منح المساعدة الاستشارية في كل من المجالات القانونية. تستطيع الحصل على معلومات اخرى من المحاكم او من المحامين او المحاميات او من المستشارين الآخرين."
"Wer erhält Beratungshilfe, was sind die Voraussetzungen dafür?","مَن الذي يحصل على المساعدة الاستشارية و ما شروطها؟"
"Beratungshilfe erhält, wer nach seinen persönlichen und wirtschaftlichen Verhältnissen die für eine Beratung oder Vertretung erforderlichen **Mittel nicht aufbringen kann**. Dies sind in der Regel Personen, die laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch („Sozialhilfe“) beziehen. Aber auch bei anderen Personen mit geringem Einkommen können die Voraussetzungen dafür vorliegen. Nähere Auskünfte erteilen ggf. die Amtsgerichte und die Beratungspersonen.","تقدم المساعدة الاستشارية لكل من لا يستطيع الحصول على **الاموال الضرورية** لاستشارته او لوكالته بسبب خاص او اقتصادي. عادة هم الاشخاص الذين يحصلوا على اعالة بموجب كتاب القانون الاجتماعي الثاني عشر („Sozialhilfe“). يستطيع ايضا الاشخاص الاخرون اصحاب الدخل صغيرة ان يفوا بالشروط. يمكن الحصول على معلومات اخرى عن هذا الموضوع من المحاكم او من المستشارين الآخرين."
"Es darf Ihnen zudem **keine andere Möglichkeit** zur kostenlosen **Beratung und/oder Vertretung** in der von Ihnen genannten Angelegenheit zur Verfügung stehen (wie z. B. in der Regel als Mitglied in einer Gewerkschaft, einem Mieterverein oder wenn Sie eine Rechtsschutzversicherung abgeschlossen haben). Es darf Ihnen in **derselben Angelegenheit** auch **nicht bereits Beratungshilfe** bewilligt oder vom Gericht versagt worden sein. Ob es sich um dieselbe Angelegenheit handelt, muss ggf. im Einzelfall beurteilt werden.","لا يمكن الحصول ايضا على **امكانية اخرى** للحصول على **استشارة/وكالة** مجانية في هذا الامر، مثلا في حالة عضوية النقابة او عضوية جميعة المستأجرين او تأمين المصاريف القضائية). ايضا لم يقم احد بالموافقة او الرفض على مساعدة استشارية في **هذا الأمر** **وحتى الآن**. . من الممكن مراجعة المحكمة اذا توفر نفس الأمر او غيره."
"Da die Beratungshilfe für die Wahrnehmung von Rechten außerhalb eines gerichtlichen Verfahrens gewährt wird, darf in derselben Angelegenheit **kein gerichtliches Verfahren** anhängig sein. Dazu gehört z. B. auch ein Streitschlichtungsverfahren vor einer Gütestelle, das in einigen Ländern vor Erhebung einer Klage durchgeführt werden muss (obligatorisches Güteverfahren nach § 15a des Gesetzes betreffend die Einführung der Zivilprozessordnung). Wer sich in einem gerichtlichen Verfahren vertreten lassen möchte, kann Prozesskostenbeziehungsweise Verfahrenskostenhilfe bekommen.","يجب عدم وجود **اية محاكمة* في هذا الأمر، لان المساعدة الاستشارية محددة للاستخدام خارج المحاكمات. هذا يتضمن مثلا محاكمة التسوية التي يجب عليك ان تنفذها في بعض البلدان قبل ان تستطيع رفع دعوى اخرى (محاكمة إلزامية بموجوب ""15a§ Gesetzes betreffend die Einführung der Zivilprozessordnung""). مَن يريد الحصول وكالة في محاكمة فيستطيع الحصول على مساعدة لتكاليف الدعوى (Prozesskostenhilfe ) او مساعدة لتكاليف القضية (Verfahrenskostenhilfe)."
"Des Weiteren darf die beabsichtigte Inanspruchnahme der Beratungshilfe **nicht mutwillig** sein. Sie ist dann nicht mutwillig, wenn Sie nicht von Beratung absehen würden, wenn Sie die Kosten selbst tragen müssten.","ايضا يجب على طلب المساعدة الاستشارية ان يكون **غير متعمد**. و يكون غير متعمد في حالة انك تريد الحصول على الاستشارة ايضا حتى ولو كان عليك ان تدفعها بنفسك."
"Erforderlich ist ein **Antrag**, der mündlich oder schriftlich gestellt werden kann. Für einen schriftlichen Antrag ist das anhängende Formular zu benutzen. Sie können den Antrag bei dem Amtsgericht stellen oder Sie können unmittelbar eine der unten genannten Beratungspersonen Ihrer Wahl mit der Bitte um Beratungshilfe aufsuchen.","من الممكن تقديم الطلب مكتوبا او شفويا. للطلب المكتوب تستخدم الاستمارة الملحقة وللطلب الشفوي تستطيع تقديمه الى المحكمة الرسمية او عن طريق الذهاب مباشرة الى احد المستشارين الذين اسماءهم مكتوبة الى الاسفل."
"**In diesen Fällen muss der Antrag binnen 4 Wochen nach Beratungsbeginn beim Amtsgericht eingehen, sonst wird der Antrag auf Beratungshilfe abgelehnt.**","**في هذه الحالات يجب ان يصل الطلب الى المحكمة خلال اربع اسابيع والا سترفض المحكمة الطلب.**"
"Liegen die Voraussetzungen für die Gewährung von Beratungshilfe vor, stellt das Amtsgericht, sofern es nicht selbst die Beratung vornimmt, Ihnen einen **Berechtigungsschein für Beratungshilfe** durch eine Beratungsperson Ihrer Wahl aus. Gegen einen Beschluss des Amtsgerichts, durch den Ihr Antrag zurückgewiesen wird, ist der nicht befristete Rechtsbehelf der Erinnerung statthaft. Das bedeutet, dass Sie dem Gericht schriftlich darlegen können, warum Sie mit der Entscheidung nicht einverstanden sind.","في حالة انك تفي بشروط المساعدة الاستشارية فتُصدر المحكمة الرسمية لك **Berechtigungsschein für Beratungshilfe** * (ورقة الرخصة للمساعدة الاستشارية) الا و في حالة تنفذ المحكمة الاستشارة بنفسها. في حالة رفض المحكمة لطلبك فتستطيع استعمال Rechtsbehelf der Erinnerung (طلب التذكيرالقانوني) و هو ليس محدودا الاجل. و هذا يعني ان لديك امكانية ان تبين بشكل مكتوب الى المحكمة لماذا لا تتفق مع قرارها."
"Wer gewährt Beratungshilfe?","من الذي يمنح المساعدة الاستشارية؟"
"Die Beratungshilfe gewähren zum einen die **Beratungspersonen** (Rechtsanwältinnen und Rechtsanwälte sowie in Kammern zugelassene Rechtsbeistände, in steuerrechtlichen Angelegenheiten auch Steuerberater und Wirtschaftsprüfer; in Rentenangelegenheiten auch Rentenberater). Besondere **anwaltliche Beratungsstellen**, die aufgrund einer Vereinbarung mit den Landesjustizverwaltungen eingerichtet worden sind, gewähren ebenfalls Beratungshilfe. Sie alle sind – außer in besonderen Ausnahmefällen – zur Beratungshilfe verpflichtet.","يمنح المساعدة الاستشارية **المستشارون** (مثلا محامون و محاميات). تمنح المساعدات الأستشارية من قبل **المراكز الاستشارية** الخاصة ايضا. يجب عليهم منحهاـ الا في حالات استثنائية."
"Auch das **Amtsgericht** gewährt direkt Beratungshilfe. Es erteilt eine sofortige Auskunft, soweit Ihrem Anliegen dadurch entsprochen werden kann. Das Amtsgericht weist auch auf andere Möglichkeiten der Hilfe hin. Im Übrigen nimmt es Ihren Antrag auf Beratungshilfe oder Ihre Erklärung auf und stellt ggf. einen Berechtigungsschein aus.","تمنح **المحكمة الرسمية** المساعدة الاستشارية مباشرة ايضا. يتم تقديم المعلومات فورا في حالة انك تستطيع المساعدة بذلك. تقوم المحكمة بعرض امكانيات اخرى للمساعدة ايضا و تستلم المحكمة طلبك و تستطيع هي ان تملأ ورقة الرخصة."
"Was kostet mich die Beratungshilfe?","ما تكلفة المساعدة الاستشارية؟"
"Wird die Beratungshilfe nicht bereits durch das Amtsgericht selbst, sondern durch eine Beratungsperson gewährt, so haben Sie an die Beratungsperson 15 Euro zu bezahlen. Die Beratungsperson kann auf diese Gebühr auch verzichten. Alle übrigen Kosten der Beratungshilfe trägt in aller Regel die Landeskasse.","في حالة عدم منح المحكمة الرسمية المساعدة الاستشارية مباشرة، يتم منحها من قبل المستشار فيتوجب عليك دفع 15يورو. يستطيع المستشار ان يتنازل عنها ايضا. في العادة يدفع صندوق الولاية كل التكاليف الاخرى."
"**Weitergehende Gebühren** können auf Sie zukommen, wenn das Amtsgericht Ihren Antrag auf Beratungshilfe **ablehnt, nachdem eine Beratung bereits erfolgt ist**, oder die Bewilligung von Beratungshilfe wieder **aufgehoben** wird. In diesen Fällen müssen Sie die Kosten für die Beratungshilfe tragen. Nähere Auskünfte dazu erteilen ggf. die Amtsgerichte und die Beratungspersonen.","من الممكن وجود **رسوم اخرى** في حالة رفض المحكمة طلبك بعد ان تكون قد حصلت على الاستشارة او في حالة فسخ التصريح. في هذه الحالات عليك دفع ثمن المساعدة الاستشارية. يمكن الحصول على معلومات اخرى عن هذا الموضوع من المحاكم او من المستشارين الآخرين."
"**Weitere Kosten** können auch auf Sie zukommen, wenn Sie infolge der Beratung durch Beratungshilfe etwas erlangt haben. Die Beratungsperson kann dann den Antrag stellen, dass die Beratungshilfe aufgehoben wird und von Ihnen die vorher mit Ihnen für diesen Fall vereinbarten Gebühren verlangen. Darauf müssen Sie aber im Vorwege bei der Mandatsübernahme von der Beratungsperson schriftlich **hingewiesen** werden.","من الممكن وجود **تكاليف اخرى** في حالة الحصول على شيء بسبب المساعدة الاستشارية. اذاً يستطيع المستشار ان يقدم طلب فسخ المساعدة الاستشارية و يستطيع ان يطلب منك الثمن الذي اتفق معك عليه لتلك الحالة. ولكن يجب على المستشار ان **يُشارك** هذه الامكانية كتابياً قبل ان يتولى قبول توكيلك."
"Was ist bei der Antragstellung zu beachten?","ماذا يجب ان تراعي عند تقديم الطلب؟"
"Lesen Sie bitte das Antragformular sorgfältig durch und füllen Sie es gewissenhaft aus. Sie finden auf der nächsten Seite Hinweise, die Ihnen die Beantwortung der Fragen erleichtern sollen. Wenn Sie beim Ausfüllen Schwierigkeiten haben, wird Ihnen das Amtsgericht oder Ihre Beratungsperson behilflich sein.","قراءة استمارة الطلب بعناية من فضلك و ملؤها بأمانة. يمكن ايجاد الاشارات في الصفحة التالية و هي ستساعدك بإجابة الأسئلة. في حالة ان لديك مشاكل بملئ الاستمارة فستساعدك المحكمة الرسمية او مستشارك ايضاً."
"Sollte der Raum im Antragsformular nicht ausreichen, können Sie Angaben auf einem gesonderten Blatt machen. Bitte weisen Sie in dem betreffenden Feld auf das beigefügte Blatt hin.","في حالة عدم القدرة على تعبئة الحقول في الاستمارة للاجابة على الاسئلة من الممكن الكتابة في الصفخة الثانية. عليك الإشارة الى هذه الصفحة في ذلك الحلق من فضلك."
"Da die Mittel für Beratungshilfe von der Allgemeinheit durch Steuern aufgebracht werden, muss das Gericht prüfen, ob Sie Anspruch darauf haben. Das Formular soll diese Prüfung erleichtern. Haben Sie daher bitte Verständnis dafür, dass Sie Ihre persönlichen und wirtschaftlichen Verhältnisse darlegen müssen.","اموال المساعدة الاستشارية تأتي من ضرائب الجمهور. ولهذا السبب يجب على المحكمة ان تفحص حقك فيها. هذه الاستمارة تبسط ذلك الفحص. نود منك ان تكون متفهماً بأنه يجب عليك عرض اوضاعك الخاصة و الاقتصادية."
"Wichtig:","هام:"
"Bitte fügen Sie alle notwendigen *Belege* (insbesondere über Ihr Einkommen, Ihr Vermögen und Ihre Belastungen) in Kopie bei. Sie ersparen sich Rückfragen, die das Verfahren verzögern. Antworten Sie wahrheitsgemäß und vollständig, sonst kann schon bewilligte Beratungshilfe wieder aufgehoben werden und Sie müssen die angefallenen Kosten nachzahlen.","الرجاء ارفاق كل **الشواهد** بشكل منسوخ من فضلك (بشكل خاص عن ايراداتك و اموالك وديونك). بذاك تجنب الأسئلة التي قد تؤثر على سير الإجراءات. عليك الإجابة بشكل صحيح و كامل والا تستطيع المحكمة ان تقوم بفسخ قرارها عن المساعدة الاستشارية و عليك ان تدفع ثمن الاستشارة في موعدها."
"Das Gericht kann Sie auch auffordern, fehlende Belege nachzureichen und Ihre Angaben an Eides statt zu versichern. Wenn Sie angeforderte Belege nicht nachreichen, kann dies dazu führen, dass Ihr Antrag auf Bewilligung von Beratungshilfe zurückgewiesen wird. Bei bewusst falschen oder unvollständigen Angaben droht Ihnen außerdem strafrechtliche Verfolgung.","تستطيع المحكمة ان تطالبك بإرسال الأوراق الناقصة وايضاً الحلفان بالقَسم على معلوماتك. في حالة عدم ارسال باقي الأوراق المطلوبة يمكن للمحكمة رفض طلبك لهذا السبب. في حالة الحصول على معلومات غير صحيحة او غير مكتملة (عمداً) الملاحقة قانونياً ممكنة."
"Mit diesem Formular können Sie beim zuständigen Amtsgericht einen Antrag auf Beratungshilfe stellen. Wird dem Antrag stattgegeben, zahlt das Gericht eine Beratung durch eine Rechtsanwältin/einen Rechtsanwalt (Erstberatung).","بهذه الاستمارة لديك الامكانية ان تقدّم طلبا في المحكمة الرسمية لمساعدة استشارية. في حالة الموافقة على الطلب ستدفع المحكمة لك تكاليف استشارة المحامي(ة) القانونية."
"Sie können den Antrag per Post ans Amtsgericht schicken oder ihn persönlich beim Amtsgericht stellen.","بامكانك ان ترسل الاستمارة الى المحكمة بالبريد او ان توصلها شخصيا."
"Folgende Unterlagen sind in Kopie mitzusenden (Antrag Postweg), bzw. im Original mitzubringen (persönlicher Antrag vor Ort):","يجب عليك ارفاق الوثائق التالية كنسخة مصورة (بريديا) او احضارها نسخة أصلية (شخصيا):"
"- Personalausweis oder Reisepass mit polizeilicher Anmeldebescheinigung","ـ هوية او جواز سفر مع تسجيل محل اقامته."
"- Einkommensnachweise (z.B. Verdienstbescheinigungen, Alg II-Bescheid etc.)","ـ إثبات الدخل (مثلا قسيمة الراتب او قسيمة اعانة البطالة)"
"- Mietvertrag","ـ عقد الإيجار"
"- Kontoauszüge der letzten drei Monate","ـ كشف الحسابات البنكية من الشهور الثلاث الماضية"
"- Nachweise über laufende Zahlungsverpflichtungen und besondere Belastungen","ـ إثبات الديون الحالية و أعباء خاصة."
"- Unterlagen zu Ihrem rechtlichen Problem (z.B. Schreiben vom und an den Gegner)","ـ المستندات القانونية الخاصة (مثلا رسائل من الخصم او رسائل الى الخصم)."
"Siehe auch das Merkblatt zur Beratungshilfe: http://service.berlin.de/dienstleistung/326037/pdf/","بإمكانكَ أيضاً الإطلاع على ورقة التعليمات التالية للمساعدة الاستشارية (أنظر الرابط) http://service.berlin.de/dienstleistung/326037/pdf/"
