"An das","به"
"**Wichtig: Wenn Sie nicht alle diese Kästchen ankreuzen können, kann Beratungshilfe nicht bewilligt werden. Eine Beantwortung der weiteren Fragen ist dann *nicht* erforderlich.**","**مهم: اگر نتوانید تمام این گزینه ها را علامت بزنید، کمک مشاوره ی حقوقی به شما ارائه نخواهد شد.  درنتیجه *لازم نیست* که پرسش های بعدی را پاسخ دهید.**"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch („Sozialhilfe“) beziehen und den derzeit gültigen Bescheid einschließlich des Berechnungsbogens des Sozialamtes beifügen, müssen Sie keine Angaben zu den Feldern C bis G machen, es sei denn, das Gericht ordnet dies ganz oder teilweise an. Wenn Sie dagegen Leistungen nach dem Zweiten Buch Sozialgesetzbuch („Arbeitslosengeld II“) beziehen, müssen Sie die Felder ausfüllen.","اگر شما براساس کتاب دوازهم قوانین حقوق اجتماعی (""کمک اجتماعی"") مخارح زندگی اتان را دریافت می دارید و در این رابطه در حال حاضر نیز ورقه اعتبار دار تامین هزینه زندگی و جدول مقدار دریافت کمک های اجتماعی تان را دارید ، دیگر نباید در بخش C تا G جوابی بدهید مگر اینکه دادگاه اداری از شما بخواهد که بخشا و یا کاملا این قسمت را پر کنید. اگر شما بر طبق کتاب دوم قوانین حقوق اجتماعی (""حقوق بیکاری II"") مخارج زندگی اتان را دریافت می کنید باید این بخش ها را پر کنید."
"Ich habe monatliche Einkünfte in Höhe von brutto ...........................EUR, netto ........................... EUR."," درآمد ناخالص من در ماه ……… یورو، درآمد خالص…… یورو است."
"Mein Ehegatte/meine Ehegattin bzw. mein eingetragener Lebenspartner/meine eingetragene Lebenspartnerin hat monatliche Einkünfte von netto ...........................EUR.","درآمد خالص ماهانه همسرم یا شریک زندگیم…….. یورو است. "
"Meine Wohnung hat eine Größe von ................. m². Die Wohnkosten betragen monatlich insgesamt ...........................EUR. Ich zahle davon ....... EUR.","مساحت کل منزل من……………….متر مربع است. هزینه ی ماهانه ی منزل در مجموع………………..یورو است. من از این مقدار هزینه ………. یورو پرداخت می کنم."
"Ich bewohne diese Wohnung","من در این منزل"
"allein","تنها زندگی می کنم."
"mit ................. weiteren Person(en).","با………….. تعداد افراد دیگر زندگی می کنم."
"Welchen Angehörigen gewähren Sie Unterhalt?","هزینه کدام یک از افراد خانواده را تامین می کنید؟"
"Unterhalt kann in Form von Geldzahlungen, aber auch durch Gewährung von Unterkunft, Verpflegung etc. erfolgen. Bitte nennen Sie hier Name, Vorname dieser Angehörigen (Anschrift nur, wenn sie von Ihrer Anschrift abweicht)","این هزینه می تواند به صورت پرداخت پول، یا پرداخت اجاره محل زندگی، خورد و خوراک و غیره باشد. لطفا نام و نام خانوادگی این افراد را در اینجا ذکر کنید (آدرس آنها را اگر با آدرس شما متفاوت است نیز بنویسید)"
"Familienverhältnis des Angehörigen zu Ihnen (z.B. Ehegatte, Kind)","نسبت خانوادگی شما با این عضو خانواده (مثلا همسر، فرزند)"
"Wenn Sie den Unterhalt ausschließlich durch Zahlung leisten","اگر این هزینه را به صورت پول پرداخت می کنید "
"Ich zahle mtl. EUR:","من ماهانه …………. یورو می پردازم."
"Hat dieser Angehörige eigene Einnahmen? (z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil)","آیا این عضو خانواده درآمد شخصی خودش را دارد؟ (مثلا حقوق کارآموزی، هزینه ای که از والد دیگر دریافت می کند)"
"nein","خیر"
"ja, mtl. EUR netto:","بله، ماهانه………….. یورو به طور خالص دریافت می کند. "
"Bankkonten/Grundeigentum/Kraftfahrzeuge/Bargeld/Vermögenswerte","حساب های بانکی/ مالکیت زمین/ وسایل نقلیه/ پول نقد/ دارایی های مالی "
"Bitte geben Sie unter „Eigentümer/Inhaber“ an, wem dieser Gegenstand gehört: A = mir allein, B = meinem Ehegatten/eingetragenen Lebenspartner allein bzw. meiner Ehegattin/meiner eingetragenen Lebenspartnerin allein, C = meinem Ehegatten/eingetragenen Lebenspartner bzw. meiner Ehegattin/eingetragenen Lebenspartnerin und mir gemeinsam","لطفا برای گزینه “مالک/ صاحب حساب“ ذکر کنید به چه کسی این مالکیت تعلق دارد: A = فقط به من، B = فقط به همسرم/ شریک زندگیم، C = به من و همسرم/ شریک زندگیم به طور مشترک"
"Giro-, Sparkonten und andere Bankkonten, Bausparkonten, Wertpapiere","حساب جاری، حساب پس‌انداز و حساب های بانکی دیگر، اوراق بهادار"
"Nein","خیر"
"Ja","بلی"
"Inhaber:","صاحب حساب"
"Bezeichnung der Bank, Sparkasse/des sonstigen Kreditinstituts; bei Bausparkonten Auszahlungstermin und Verwendungszweck:","نوع بانک، صندوق پس‌انداز و یا موسسات مالی دیگر، برای حساب های Bausparen موعد پرداخت و دلیل پرداخت (مرجع):"
"Kontostand in EUR:","موجودی حساب بانکی به یورو"
"Grundeigentum","مالکیت زمین"
"(zum Beispiel Grundstück, Familienheim, Wohnungseigentum, Erbbaurecht)","(برای مثال قطعه زمین، منزل خانوادگی مشترک، خانه شخصی، حق ساخت و ساز و احداث بنا)"
"Eigentümer:","مالک"
"Bezeichnung nach Lage, Größe, Nutzungsart:","محل، وسعت و نوع استفاده از ملک را توضیح دهید: "
"Verkehrswert in EUR:","ارزش ملک در بازار آزاد به یورو"
"Kraftfahrzeuge","خودرو و وسایل نقلیه"
"Fahrzeugart, Marke, Typ, Bau-, Anschaffungsjahr, km-Stand:","نوع خودرو، مارک خودرو، سال ساخت، سال خریداری، مسافت پیموده شده بر حسب کیلومتر "
"Sonstige Vermögenswerte","دارایی های مالی دیگر"
"(zum Beispiel Kapitallebensversicherung, Bargeld, Wertgegenstände, Forderungen, Anspruch aus Zugewinnausgleich)"," (برای مثال بیمه عمر، پول نقد، اشیای باارزش، طلب، مطالبه تنظیم و تعدیل اموال پس از طلاق یا فوت همسر/ شریک زندگی)"
"Bezeichnung des Gegenstands:","شرح کالا"
"Rückkaufswert oder Verkehrswert in EUR:","ارزش بازخرید یا ارزش در بازار روز به یورو "
"Zahlungsverpflichtungen und sonstige besondere Belastungen","تعهدات مالی و بدهی های دیگر"
"Haben Sie oder Ihr Ehegatte/eingetragener Lebenspartner bzw. Ihre Ehegattin/eingetragene Lebenspartnerin Zahlungsverpflichtungen?","آیا شما یا همسرتان/ شریک زندگیتان هیچگونه تعهدات مالی دارید؟"
"Verbindlichkeit (z. B. „Kredit“)","قرض و بدهی (برای مثال “وام“)"
"Gläubiger (z.B. „Sparkasse“)","طلبکار(برای مثال بانک “شپارکاسه“) "
"Verwendungszweck:","دلیل"
"Raten laufen bis:","قسط ها باید تا این تاریخ پرداخت شوند."
"Restschuld EUR:","بدهی های باقی مانده به یورو"
"Ich zahle darauf mtl. EUR:","برای این بدهی ماهانه این مبلغ را پرداخت می کنم."
"Ehegatte/eingetr. Lebenspartner bzw. Ehegattin/eingetr. Lebenspartnerin zahlt darauf mtl. EUR :","همسرم/ شریک زندگی ام برای این بدهی ماهانه مبلغ زیر را پرداخت می کند"
"Haben Sie oder Ihr Ehegatte/eingetragener Lebenspartner bzw. Ihre Ehegattin/eingetragene Lebenspartnerin sonstige besondere Belastungen?","آیا شما یا همسرتان/ شریک زندگیتان بدهی های دیگری هم دارید؟ "
"Art der Belastung und Begründung dafür:","نوع بدهی و دلیل آن "
"Ich zahle dafür mtl. EUR:","برای این بدهی ماهانه مبلغ زیر را پرداخت می کنم"
"Ehegatte/eingetr. Lebenspartner bzw. Ehegattin/eingetr. Lebenspartnerin zahlt mtl. EUR:","همسرم/ شریک زندگی ام برای این بدهی ماهانه مبلغ زیر را پرداخت می کند"
"Ich habe mich unmittelbar an eine Beratungsperson gewandt. Die Beratung und/oder Vertretung hat erstmals am.............................................stattgefunden.","من تا به حال به یک مشاور مراجعه کرده ام و این مشاوره و/ یا نیابت در تاریخ......... انجام شده است."
"Name und Anschrift der Beratungsperson (ggf. Stempel):","نام و آدرس مشاور (همچنین مُهر)"
"Ich versichere, dass mir in derselben Angelegenheit Beratungshilfe weder gewährt noch durch das Gericht versagt worden ist und dass in derselben Angelegenheit kein gerichtliches Verfahren anhängig ist oder war.","گواهی می دهم که برای این مورد نه مشاور قانونی داشته ام و نه از طرف دادگاه برای مشاوره قانونی جواب رد گرفته ام، و همچنین این مورد درخواستی نه در جریان دادرسی است و نه پیش از این در جریان دادرسی بوده است."
"Ich versichere, dass meine Angaben vollständig und wahr sind. Die Allgemeinen Hinweise und die Ausfüllhinweise zu diesem Formular habe ich erhalten.","گواهی می دهم همه اطلاعاتی که داده ام کامل و صحیح می باشند. من اطلاعات کلی و دستورالعمل های لازم برای پر کردن این درخواست نامه را دریافت کرده ام. "
"Mir ist bekannt, dass das Gericht verlangen kann, dass ich meine Angaben glaubhaft mache und insbesondere auch die Abgabe einer Versicherung an Eides statt fordern kann.","آگاهم که به دادگاه باید  ظهاراتم را بباورانم و دادگاه حتی می تواند تقاضا کند که صحت اظهاراتم را با سوگند تضمین کنم."
"Mir ist bekannt, dass unvollständige oder unrichtige Angaben die Aufhebung der Bewilligung von Beratungshilfe und ggf. auch eine Strafverfolgung nach sich ziehen können.","من می دانم که اطلاعات ناقص و نادرست می تواند سبب لغو شدن کمک مشاوره حقوقی خواهد شد و در صورت لزوم به پیگرد قانونی می‌انجامد."
"Ort, Datum","محل سکونت، تاریخ"
"Unterschrift des Antragstellers/der Antragstellerin","امضای متقاضی"
"Dieses Feld ist nicht vom Antragsteller auszufüllen.","متقاضی نباید اینجا را پر کند."
"Hinweisblatt zum Antrag auf Beratungshilfe","برگه ی یادآوری های لازم در رابطه با تقاضانامه برای کمک مشاوره ی حقوقی"
"Allgemeine Hinweise","اطلاعات کلی"
"Wozu Beratungshilfe?","کمک مشاوره ی حقوقی برای چیست؟"
"Bürgerinnen und Bürger mit geringem Einkommen können Beratungshilfe bekommen, um sich rechtlich beraten und, soweit erforderlich, vertreten zu lassen. Beratungshilfe kann auf allen Rechtsgebieten erteilt werden. Näheres erfahren Sie bei den Gerichten und den Rechtsanwältinnen/Rechtsanwälten sowie den sonstigen Beratungspersonen.","همشهریانی که کم درآمد هستند می توانند برای مشاوره ی حقوقی، و درصورت لزوم نیابت قضایی، کمک مشاوره دریافت کنند. کمک مشاوره ی حقوقی می تواند به تمامی امورحقوقی تعلق بگیرد. جزئیات بیشتر را دردادگاه ها و یا از طریق وکلا وهمچنین مشاورین حقوقی دریافت می کنید."
"Wer erhält Beratungshilfe, was sind die Voraussetzungen dafür?","چه کسی کمک مشاوره ی حقوقی دریافت می کند و شرایط لازم برای دریافت این کمک چیست؟ "
"Beratungshilfe erhält, wer nach seinen persönlichen und wirtschaftlichen Verhältnissen die für eine Beratung oder Vertretung erforderlichen **Mittel nicht aufbringen kann**. Dies sind in der Regel Personen, die laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch („Sozialhilfe“) beziehen. Aber auch bei anderen Personen mit geringem Einkommen können die Voraussetzungen dafür vorliegen. Nähere Auskünfte erteilen ggf. die Amtsgerichte und die Beratungspersonen."," کمک مشاوره را کسانی دریافت میکنند که بدلیل شرایط شخصی و اقتصادی نتوانند برای امر مشاوره و یا وکیل ""هزینه لازم راتامین کنند"". این اشخاص در کل کسانی هستند که بطور مداوم برای تامین هزینه زندگی طبق کتاب دوازدهم قوانین حقوق اجتماعی  ( ""کمک های اجتماعی"") پول دریافت میدارند. اما اشخاص دیگری هم که کم درآمد هستند شامل این پیش شرط ها می شوند. اطلاعات بیشتر را میتوان از دادگاه های اداری و اشخاص مشاور دریافت نمود."
"Es darf Ihnen zudem **keine andere Möglichkeit** zur kostenlosen **Beratung und/oder Vertretung** in der von Ihnen genannten Angelegenheit zur Verfügung stehen (wie z. B. in der Regel als Mitglied in einer Gewerkschaft, einem Mieterverein oder wenn Sie eine Rechtsschutzversicherung abgeschlossen haben). Es darf Ihnen in **derselben Angelegenheit** auch **nicht bereits Beratungshilfe** bewilligt oder vom Gericht versagt worden sein. Ob es sich um dieselbe Angelegenheit handelt, muss ggf. im Einzelfall beurteilt werden.","علاوه براین برای مورد نامبرده نباید **هیچ امکان دیگری** برای دریافت **مشاوره و/ یا نیابت** رایگان دراختیارداشته باشید (برای مثال اگرعضو یک اتحادیه یا انجمن مستاجران هستید یا بیمه قضایی دریافت می کنید). همچنین نباید برای **مورد نامبرده** تا به حال **کمک مشاوره ی حقوقی** دریافت کرده باشید یا تقاضایتان از طرف دادگاه رد شده باشد. اگرمربوط به همان مورد قبلی است، باید به طورجداگانه بررسی شود."
"Da die Beratungshilfe für die Wahrnehmung von Rechten außerhalb eines gerichtlichen Verfahrens gewährt wird, darf in derselben Angelegenheit **kein gerichtliches Verfahren** anhängig sein. Dazu gehört z. B. auch ein Streitschlichtungsverfahren vor einer Gütestelle, das in einigen Ländern vor Erhebung einer Klage durchgeführt werden muss (obligatorisches Güteverfahren nach § 15a des Gesetzes betreffend die Einführung der Zivilprozessordnung). Wer sich in einem gerichtlichen Verfahren vertreten lassen möchte, kann Prozesskostenbeziehungsweise Verfahrenskostenhilfe bekommen.","از آنجائیکه کمک مشاوره حقوقی برای کسب حقوق بدون مراحل دادگاهی تصویب می شود نباید در همان مورد مشخص ""آئین دادرسی دادگاه"" در جریان باشد. که همچنین شامل مثلا  پروسه حل و فصل اختلافات در برابر یک نهاد حل اختلاف است که در برخی از استان ها قبل از اعلام شکایت باید این مرحله انجام شود ( مرحله مصالحه اجباری طبق ماده  15a قانون مربوط به اجرای آئین دادرسی مدنی). کسی که در یک روند دادگاهی بخواهد وکیل داشته باشد میتواند تقاضای تامین هزینه دادگاه و یا بعبارتی دیگر تقاضای کمک برای روند دعوی را بدهد."
"Des Weiteren darf die beabsichtigte Inanspruchnahme der Beratungshilfe **nicht mutwillig** sein. Sie ist dann nicht mutwillig, wenn Sie nicht von Beratung absehen würden, wenn Sie die Kosten selbst tragen müssten.","علاوه بر این استفاده از کمک مشاوره   ** نباید از روی بدخواهی** دنبال شود.  آن زمان از روی بدخواهی نیست که اگر  مخارج را خودتان باید پرداخت می کردید هم از مشاوره صرفنظر نمی کردید. "
"Erforderlich ist ein **Antrag**, der mündlich oder schriftlich gestellt werden kann. Für einen schriftlichen Antrag ist das anhängende Formular zu benutzen. Sie können den Antrag bei dem Amtsgericht stellen oder Sie können unmittelbar eine der unten genannten Beratungspersonen Ihrer Wahl mit der Bitte um Beratungshilfe aufsuchen.","ضروری است که یک **درخواستنامه** به صورت شفاهی یا کتبی ارائه شود. برای درخواستنامه کتبی فرم ضمیمه را استفاده کنید. می توانید درخواستنامه را در اداره دادگستری انجام دهید یا مستقیما به یکی از مشاورین زیر به دلخواه خودتان برای مشاوره مراجعه کنید."
"**In diesen Fällen muss der Antrag binnen 4 Wochen nach Beratungsbeginn beim Amtsgericht eingehen, sonst wird der Antrag auf Beratungshilfe abgelehnt.**","**دراین صورت باید درخواستنامه درعرض 4 هفته پس از شروع مشاوره به اداره دادگستری ارسال و دریافت شده باشد، وگرنه درخواست کمک مشاوره ی حقوقی رد خواهد شد.**"
"Liegen die Voraussetzungen für die Gewährung von Beratungshilfe vor, stellt das Amtsgericht, sofern es nicht selbst die Beratung vornimmt, Ihnen einen **Berechtigungsschein für Beratungshilfe** durch eine Beratungsperson Ihrer Wahl aus. Gegen einen Beschluss des Amtsgerichts, durch den Ihr Antrag zurückgewiesen wird, ist der nicht befristete Rechtsbehelf der Erinnerung statthaft. Das bedeutet, dass Sie dem Gericht schriftlich darlegen können, warum Sie mit der Entscheidung nicht einverstanden sind.","اگر پیش شرط های دادن کمک مشاوره وجود داشته باشد دادگاه در صورتی که خودش این مشاوره را نتواند ارائه دهد برای شما یک "" ورقه برخورداری از مشاوره حقوقی"" توسط یک مشاور انتخابی خودش صادر می کند. علیه  حکم دادگاه در مورد تقاضای شما، راهنمای حقوقی نامحدود یادآوری مجاز است.  یعنی اینکه شما کتبی برای دادگاه می توانید تشریح کنید که چرا با تصمیم آن موافق نیستید."
"Wer gewährt Beratungshilfe?","به چه کسی کمک مشاوره ی حقوقی داده می شود؟"
"Die Beratungshilfe gewähren zum einen die **Beratungspersonen** (Rechtsanwältinnen und Rechtsanwälte sowie in Kammern zugelassene Rechtsbeistände, in steuerrechtlichen Angelegenheiten auch Steuerberater und Wirtschaftsprüfer; in Rentenangelegenheiten auch Rentenberater). Besondere **anwaltliche Beratungsstellen**, die aufgrund einer Vereinbarung mit den Landesjustizverwaltungen eingerichtet worden sind, gewähren ebenfalls Beratungshilfe. Sie alle sind – außer in besonderen Ausnahmefällen – zur Beratungshilfe verpflichtet.","کمک مشاوره حقوقی برای ""اشخاص مشاور"" (وکلا و مشاورینی که توسط کانون اجازه حمایت حقوقی دارند ، مشاورین مالیاتی و مشاورین اقتصادی در موارد مربوط به مالیات ، مشاور امور بازنشستگی در موارد مربوط به بازنشستگی).  ""مراکز مشاوره وکلا"" ی ویژه که با توافق اداره دادکستری استان ایجاد شده اند هم کمک مشاوره حقوقی را تصویب می کنند. همه این مراکز جز در موارد خاصی ، باید کمک مشاوره حقوقی را بدهند."
"Auch das **Amtsgericht** gewährt direkt Beratungshilfe. Es erteilt eine sofortige Auskunft, soweit Ihrem Anliegen dadurch entsprochen werden kann. Das Amtsgericht weist auch auf andere Möglichkeiten der Hilfe hin. Im Übrigen nimmt es Ihren Antrag auf Beratungshilfe oder Ihre Erklärung auf und stellt ggf. einen Berechtigungsschein aus.",""" دادگاه بخش یا شهرستان"" هم کمک مشاوره را تقبل می کند.  در صورتی که مورد شما پس از درخواست پذیرفته شود سریعا به شما پاسخ می دهند. دادگاه بخش یا شهرستان به شما اطلاعات لازم در باره امکانات دیگر کمکی را می دهد. و بعلاوه درخواست کمک شما و یا توضیحات شما را گرفته و در صورت لزوم ورقه تقبل هزینه را به شما می دهد."
"Was kostet mich die Beratungshilfe?","چقدر باید برای کمک مشاوره ی حقوقی بپردازم؟"
"Wird die Beratungshilfe nicht bereits durch das Amtsgericht selbst, sondern durch eine Beratungsperson gewährt, so haben Sie an die Beratungsperson 15 Euro zu bezahlen. Die Beratungsperson kann auf diese Gebühr auch verzichten. Alle übrigen Kosten der Beratungshilfe trägt in aller Regel die Landeskasse.","اگر کمک مشاوره نه از طریق خود دادگاه بلکه از طریق شخص مشاور تصویب شود شما موظف به پرداخت 15 یورو به شخص مشاور هستید. شخص مشاور می تواند از این کارمزد صرفنظر کند. بقیه مخارج  کمک مشاوره کلا از طریق بودجه استان تامین می شود."
"**Weitergehende Gebühren** können auf Sie zukommen, wenn das Amtsgericht Ihren Antrag auf Beratungshilfe **ablehnt, nachdem eine Beratung bereits erfolgt ist**, oder die Bewilligung von Beratungshilfe wieder **aufgehoben** wird. In diesen Fällen müssen Sie die Kosten für die Beratungshilfe tragen. Nähere Auskünfte dazu erteilen ggf. die Amtsgerichte und die Beratungspersonen.","برای شما می تواند ** کارمزد های بیشتری**ببار بیاید اگر دادگاه بخش/ شهرستان تقاضای کمک مشاوره شما را "" پس از مشاوره رد کرده باشد"" یا اینکه  کمک مشاوره  تصویب شده دوباره ** لغو** شود. در این شرایط باید خودتان هزینه کمک مشاوره را بپردازید. اطلاعات بیشتر در این باره را در صورت لزوم دادگاه و یا اشخاص مشاور میتوانند به شما بدهند."
"**Weitere Kosten** können auch auf Sie zukommen, wenn Sie infolge der Beratung durch Beratungshilfe etwas erlangt haben. Die Beratungsperson kann dann den Antrag stellen, dass die Beratungshilfe aufgehoben wird und von Ihnen die vorher mit Ihnen für diesen Fall vereinbarten Gebühren verlangen. Darauf müssen Sie aber im Vorwege bei der Mandatsübernahme von der Beratungsperson schriftlich **hingewiesen** werden.","شما مجبور به پرداخت ** هزینه های دیگر** می شوید اگر از طریق مشاوره ای که با کمک مشاوره پرداخت شده چیزی بدست بیاورید. شخص مشاور میتواند درخواست دهد که کمک مشاوره لغو شود و از شما مبلغی را که قبلا برای این مورد با شما توافق کرده بود بخواهد. برای این مورد شخص مشاور  هنگام پذیرش وکالت شما را باید کتبا به این مسئله ** توجه داده باشد**."
"Was ist bei der Antragstellung zu beachten?","برای انجام درخواست نامه به چه چیزهایی باید توجه کرد؟"
"Lesen Sie bitte das Antragformular sorgfältig durch und füllen Sie es gewissenhaft aus. Sie finden auf der nächsten Seite Hinweise, die Ihnen die Beantwortung der Fragen erleichtern sollen. Wenn Sie beim Ausfüllen Schwierigkeiten haben, wird Ihnen das Amtsgericht oder Ihre Beratungsperson behilflich sein.","لطفا دوباره با دقت درخواستنامه را بخوانید و دقیق و درست آن را پر کنید. در صفحه ی بعد نکاتی را پیدا می کنید که پاسخ به این پرسشها را برایتان آسانتر می کنند. اگر هنگام پاسخگویی به مشکلی برخوردید، اداره دادگستری یا مشاورتان به شما کمک خواهند کرد."
"Sollte der Raum im Antragsformular nicht ausreichen, können Sie Angaben auf einem gesonderten Blatt machen. Bitte weisen Sie in dem betreffenden Feld auf das beigefügte Blatt hin.","اگر در صفحه درخواستنامه به اندازه کافی جا برای نوشتن ندارید، می توانید پاسخ هایتان را بر روی یک ورقه ی جداگانه بنویسید. لطفا این ورقه ی جداگانه را در محل مناسب ذکر کنید."
"Da die Mittel für Beratungshilfe von der Allgemeinheit durch Steuern aufgebracht werden, muss das Gericht prüfen, ob Sie Anspruch darauf haben. Das Formular soll diese Prüfung erleichtern. Haben Sie daher bitte Verständnis dafür, dass Sie Ihre persönlichen und wirtschaftlichen Verhältnisse darlegen müssen.","از ان جائیکه مخارج کمک مشاوره از بودجه عمومی از مالیاتها تامین میشود، دادگاه باید کنترل کند که آیا شما حق استفاده از آن را دارید. این فرم باید این کنترل را ساده سازد.  به این دلیل لطفا تفاهم داشته باشید که باید موقعیت شخصی و اقتصادی خود را توضیح دهید."
"Wichtig:","مهم"
"Bitte fügen Sie alle notwendigen *Belege* (insbesondere über Ihr Einkommen, Ihr Vermögen und Ihre Belastungen) in Kopie bei. Sie ersparen sich Rückfragen, die das Verfahren verzögern. Antworten Sie wahrheitsgemäß und vollständig, sonst kann schon bewilligte Beratungshilfe wieder aufgehoben werden und Sie müssen die angefallenen Kosten nachzahlen.","لطفا کپی همه * مدارک * لازم ( بویژه در باره درآمد ، دارائی و مخارج تان ) را ضمیمه کنید. در این صورت از پرسش های دوباره محفوظ می مانید که مراحل تصمیم گیری را طولانی می سازند. اطبق حقیقت و کامل پاسخ دهید چون کمک شاوره تصویب شده میتواند دوباره لغو شود و شما بعدا مجبور به پرداخت هزینه های ببار آمده می شوید."
"Das Gericht kann Sie auch auffordern, fehlende Belege nachzureichen und Ihre Angaben an Eides statt zu versichern. Wenn Sie angeforderte Belege nicht nachreichen, kann dies dazu führen, dass Ihr Antrag auf Bewilligung von Beratungshilfe zurückgewiesen wird. Bei bewusst falschen oder unvollständigen Angaben droht Ihnen außerdem strafrechtliche Verfolgung.","دادگاه میتواند از شما درخواست کند مدارکی را که کم هستند بعدا بفرستید وصحت اطلاعات تان را با سوگند تضمین کنید. اگرمدارکی را که از شما خواسته اند نفرستید میتواند منجر به رد شدن درخواست کمک مشاوره برای شما بشود. در صورت دادن اطلاعات غلط و یا ناکامل شما در خطر پیگرد کیفری قرار می گیرید."
"Mit diesem Formular können Sie beim zuständigen Amtsgericht einen Antrag auf Beratungshilfe stellen. Wird dem Antrag stattgegeben, zahlt das Gericht eine Beratung durch eine Rechtsanwältin/einen Rechtsanwalt (Erstberatung).","با این فرم میتوانید در دادگاه های مربوطه درخواست کمک مشاوره را بدهید. اگر درخواست پذیرفته شود، دادگاه مخارج مشاوره نزد یک وکیل را می پردازد (مشاوره اولیه)."
"Sie können den Antrag per Post ans Amtsgericht schicken oder ihn persönlich beim Amtsgericht stellen.","می توانید درخواست نامه را به اداره دادگستری  پست کنید یا به طور حضوری در اداره دادگستری ارائه دهید."
"Folgende Unterlagen sind in Kopie mitzusenden (Antrag Postweg), bzw. im Original mitzubringen (persönlicher Antrag vor Ort):","کپی مدارک زیر را با پست بفرستید (اگر درخواست نامه را پستی انجام می دهید)، ویا اصل مدارک را حضوری ارائه دهید ( اگر درخواست نامه را حضوری در محل انجام می دهید):"
"- Personalausweis oder Reisepass mit polizeilicher Anmeldebescheinigung","کارت شناسایی یا گذرنامه به همراه گواهی سکونت که از جانب پلیس صادر شده است."
"- Einkommensnachweise (z.B. Verdienstbescheinigungen, Alg II-Bescheid etc.)","مدرک درآمد (برای مثال برگه ی حقوق، گواهی Alg II و غیره.)"
"- Mietvertrag","اجاره نامه"
"- Kontoauszüge der letzten drei Monate","صورت حساب بانکی درسه ماه گذشته"
"- Nachweise über laufende Zahlungsverpflichtungen und besondere Belastungen","مدارک در رابطه با تعهدات مالی و بدهی های جاری"
"- Unterlagen zu Ihrem rechtlichen Problem (z.B. Schreiben vom und an den Gegner)","مدارک دررابطه با مشکل حقوقی تان (برای مثال نامه به یا از طرف مورد دعوی)"
"Siehe auch das Merkblatt zur Beratungshilfe: http://service.berlin.de/dienstleistung/326037/pdf/","برگه حاوی اطلاعات لازم در رابطه با کمک مشاوره ی حقوقی را نیزدرآدرس زیر مشاهده کنید.http://service.berlin.de/dienstleistung/326037/pdf/"
