An das,
"Das Gericht kann Sie auch auffordern, fehlende Belege nachzureichen und Ihre Angaben an Eides statt zu versichern. Wenn Sie angeforderte Belege nicht nachreichen, kann dies dazu führen, dass Ihr Antrag auf Bewilligung von Beratungshilfe zurückgewiesen wird. Bei bewusst falschen oder unvollständigen Angaben droht Ihnen außerdem strafrechtliche Verfolgung.",
"Mit diesem Formular können Sie beim zuständigen Amtsgericht einen Antrag auf Beratungshilfe stellen. Wird dem Antrag stattgegeben, zahlt das Gericht eine Beratung durch eine Rechtsanwältin/einen Rechtsanwalt (Erstberatung).",
Sie können den Antrag per Post ans Amtsgericht schicken oder ihn persönlich beim Amtsgericht stellen.,
"Folgende Unterlagen sind in Kopie mitzusenden (Antrag Postweg), bzw. im Original mitzubringen (persönlicher Antrag vor Ort):",
- Personalausweis oder Reisepass mit polizeilicher Anmeldebescheinigung,
"- Einkommensnachweise (z.B. Verdienstbescheinigungen, Alg II-Bescheid etc.)",
- Mietvertrag,
- Kontoauszüge der letzten drei Monate,
- Nachweise über laufende Zahlungsverpflichtungen und besondere Belastungen,
- Unterlagen zu Ihrem rechtlichen Problem (z.B. Schreiben vom und an den Gegner),
Siehe auch das Merkblatt zur Beratungshilfe: http://service.berlin.de/dienstleistung/326037/pdf/,
