Bezirksamt,Районное управление
Privatrechtliche geldwerte Ansprüche,частноправовые денежные притязания
"(z. B. Beköstigung, Wohnrecht, Taschengeld, Leibrente, Pflegegeld)","(например деньги за довольствие, право жительства, карманные деньги, пожизненная рента, пособие по уходу за больным)"
Steuererstattung,возврат налогов
Kapitalerträge (z. B. Zinsen),доходы из капитала (например проценты)
Sonstige Einkünfte,прочие доходы
(z.B. Schadensersatzansprüche),(например претензии по возмещению убытков)
Kein Einkommen,нет дохода
"Sind Leistungen nach Nr. VIII. beantragt, über die noch nicht entschieden wurde?","Поданы заявления на пособия по номеру VIII, решение о которых еще не принято?"
Personenziffer,личный номер
Antragsdatum,дата подачи
Art der Leistung,вид пособия
Dienststelle und Geschäftszeichen,ведомство и номер документа
"Werden einmalige Einnahmen erwartet, z. B. eine Steuerrückzahlung?","Вы ждёте однократных доходов, например возврата налогов?"
Zeitpunkt,дата
EUR,евро
Vom Einkommen evtl. absetzbare Beträge,"израсходованная сумма доходов, возможно необлагаемая налогом"
**Keine absetzbaren Beträge**,"**нет израсходованной суммы доходов, необлагаемой налогом**"
Ausgaben mtl. Betrag,ещемесячный расходы
Einkommensteuer*,подоходный налог
Krankenversicherung*,страхование на случай болезни
Pflegeversicherung*,страхование на случай потребности в уходе
Arbeitslosenversicherung*,страхование по безработице
Rentenversicherung*,пенсионное страхование
Kirchensteuer*,церковный налог
Unfallversicherung,страхование от несчастных случаев
Altersvorsorgebeiträge,инвестирование в пенсию по старости
Hausratsversicherung,страхование домашнего имущества
Sterbeversicherung,страхование смерти
Lebensversicherung,страхование жизни
Haftpflichtversicherung,страхование от ответственности за причинение вреда
Aufwendungen für Arbeitsmittel,расходы на средства труда
Beiträge für Berufsverbände,взносы в профессиональные ассоциации
Mehraufwendungen für doppelte Haushaltsführung,дополнительные расходы на двойное ведение домашнего хозяйства
\* Angabe nicht erforderlich soweit die Beträge bereits vom Arbeitgeber oder Rententräger abgesetzt wurden,"\* информация не требуется, если работодатель или организауия, управляющая пенсионным страхованием, уже очислали эти суммы"
Entfernung zwischen Wohnung und Arbeitsstelle Fahrkosten zur Arbeitsstelle mit,"расстояние между квартирой и местом работы, со стоимость проезда в"
km,км
öffentlichen Verkehrsmitteln,общественный транспорт
PKW,легковой автомобиль
Kleinst-PKW (bis 500 ccm),маленький легковой автомобиль (до 550 куб.см.)
Motorrad,мотоцикл
Mofa,мотовелосипед
Sonstiges,прочие
Nähere Begründung zu „Sonstiges“,"подробное обоснование категории ""прочие"""
Vermögensverhältnisse (ggf. auf gesondertem Blatt fortsetzen),имущественное положение (при необходимости продолжите на дополнительном листе)
Sparguthaben / Bargeld,сберегатальный вклад/наличные
Wertpapiere,ценные бумаги
Sachwerte von besonderem Wert,ценные предметы особенной ценности
Art,вид
sonstiges Vermögen (Forderungen und anderes),прочее имущество
Verschenktes Vermögen innerhalb der letzten 10 Jahre (auch Grundvermögen),подаренное в течении последних 10 лет имущество (даже земельное имущество)
Kraftfahrzeug,автотранспортное средство
amtl. Kennzeichen,государственный регистрационный знак
Fabrikat,тип
Baujahr,год выпуска
Halter,владелец
Hauseigentum oder Grundbesitz,домовладение или землевладение
**Bitte Anlage 3 ausfüllen**,"**заполните, пожалуйста, приложение 3**"
Staatlich geförderte private Altersvorsorge,частное инвестирование в пенсию при поддерже государства
"Ansprüche aus Übertragsverträgen (z. B. Wohnrecht, Nießbrauch, Altenteilsrechte)","претензии на основании договоров переноса (например право жительства, право пользования, право на отцовский надел)"
Sonstiges Vermögen,прочее имущество
"**Sonstige Angaben,**",**дополнительная информация**
"z. B. über persönliche, familiäre, gesundheitliche Verhältnisse","например личное, семейное, медицинское положение"
Leistungen für besondere Mehrbedarfe,пособия на особие дополнительные потребности
"Unter bestimmten Voraussetzungen können Leistungen für Mehrbedarfe erbracht werden, die nicht durch die Regelleistung abgedeckt sind und aus den vorgenannten Angaben nicht zu beurteilen sind. Dies gilt für alle Personen innerhalb des Haushalts.","При определённых условиях могут быто предоставлены пособия на дополнительные потребности, которые не покрываются решулярным пособием, и которые нельзя оценить с помощью вышеприведенных данных. Это распространяется на всех лиц совместного домохозяйства."
Folgende Mehrbedarfe werden geltend gemacht:,Я заявляю следующие дополнительные потребности:
Für werdende Mütter nach der 12. Schwangerschaftswoche,для будущих матерей после 12. недели беременности
Vorlage Mutterschaftspass erforderlich,"требуется представление паспорта материнства [паспорт материнства - это документ, который будущие матери получают у врача]"
Vorname:,имя
Voraussichtlicher Geburtstermin,предполагаемая дата родов
"Schwerbehinderte Menschen, die das 15. Lebensjahr vollendet haben und Leistungen zur Teilhabe am Arbeitsleben erhalten","лица с тяжёлым физическим или психическим недостатком, которые достигнули возраста 15 лет и получают пособия на участие в трудовой деятельности"
Vorlage des Bewilligungsbescheides,представление решения о согласии
Kostenaufwendige Ernährung aus medizinischen Gründen,затратное питание по медицинским показаниям
vom Sozialamt erhältlicher Vordruck ist vom behandelnden Arzt auszufüllen,"бланк, который может быть получен у учреждения социального обеспечения, должен быть заполнен лечащим врачом"
Bestandteile des Antrages sind die Anlagen,составной частью заявки являются приложения
1 - Unterhalt,1 - алименты
2 - Ausländer,2 - иностранцы
3 - Grundbesitz,3 - землевладение
4 – Eingliederungshilfe,4 - оказание помощи вернувшимся из заключения в устройстве на работу
6 – Mietschulden,5 - задолженности по квартирной плате
Dem Antrag sind folgende Unterlagen beigefügt,К заявлению прилагаются следующие приложения:
Die Angaben im Antrag und den dazugehörigen Anlagen habe ich vollständig und wahrheitsgemäß gemacht.,"Информация в заявлении и в принадлежащих приложениях я дал/а полностью, они соответствуют действительности."
"Ich werde den Träger der Leistungen (Land Berlin, vertreten durch die Bezirksämter v. Berlin, Geschäftsbereich Sozialwesen / Geschäftsbereich Jugend und Sport bzw. Landesamt für Gesundheit und Soziales Berlin / ZLA) gem. § 60 Abs. 1 Ziff. 2 SGB I unverzüglich informieren, wenn","В соответствии с § 60, абзац 1 п. 2 SGB I (кодекс социального права) я немедленно извещу ведомство, предоставляющее пособие (земля Берлин, представленную районным управлением Берлина, сектор социальное обеспечение / молодежь и спорт, или земельное ведомство по делам здоровоохранения и социального обеспечения / ЦЛА [центральное учреждение для соискателей статуса беженца]), если"
- sich meine persönlichen und wirtschaftlichen Verhältnisse ändern.,- меняется мое личное или экономическое положение
- sich die Verhältnisse meiner Haushaltsangehörigen ändern.,- меняются положения членов домохозяйства
- ich Renten oder ähnliche Leistungen beantrage.,- я подаю заявление на пенсию или похожие пособия
"Des Weiteren bin ich hinreichend darüber informiert worden, dass im Falle eines konkreten Betrugsverdachts die Ermittlungen des Sachverhalts gemäß §§ 20, 21, 69 und 71 SGB X von Amts wegen – ohne meine Beteiligung – erfolgen können.","Также меня достаточно информировали о тем, что в случае определённого подозрения в обмане в служебном порядке в соответствии с §§ 20, 21, 69 и 71 SGB X (кодекс социального права) данные об обостоятельствах дела могут собираться - без моего участия."
"Leistungen werden von mir zurückgefordert, sofern ich sie zu Unrecht erhalten habe, z. B. weil ich vorsätzlich oder grob fahrlässig falsche Angaben gemacht habe.","Услуги будут потребованы обратно от меня в том случае, если я их получил(а) несправедливо, например, потому, что я заведомо или по грубой несторожности дал(а) ложные сведения."
"Der Träger der Leistungen nach SGB XII bzw. AsylbLG kann für die Zeit, für die ich Leistungen erhalte, meine Ansprüche gegen einen anderen auf entsprechende Leistungen in Höhe seiner Aufwendungen auf sich überleiten.","Ведомство, предоставляющее пособие по SGB XII (кодексу социального права) AsylbLG (закону о предоставлении социальной помощи лицам, претендующим на убещице) в тот период, в которой я получаю услуги от него, имеет право переносить на себе претензии на пособия, которые я могу заявить к другому ведомству, предоставляющемк пособие."
"Der Sozialhilfeträger behält sich vor, bei Vorliegen des entsprechenden Sachverhalts Aufwendungsersatz nach den §§ 19 Abs. 5, 27 Abs. 3 oder § 92 Abs. 1 SGB XII bzw. §§ 7, 9 AsylbLG geltend zu machen. In diesem Umfang habe ich dem Träger der Leistungen die Aufwendungen zu ersetzen.","Ведомство, предоставляющее пособие в соответствии с §§ 19, абзац 5, 27 абзац 3 или § 92 абзац 1 SGB XII [кодекс социального права] или §§ 7, 9 AsylbLG [закон о предоставлении социальной помощи лицам, претендующим на убещице] оставит за собой право при наличии данных обостоятельств дела предъявить требование о возмещении расходов. В этом размере я буду обязан возмещать расходы ведомству, предоставляющему пособие."
"Dies gilt auch, wenn der Erstattungsanspruch des Trägers der Sozialleistung gegen andere vorrangig verpflichtete Leistungsträger (z.B. Rententräger, Krankenkasse) aus Verfahrensgründen nicht befriedigt werden kann und ich für den gleichen Zeitraum von beiden Leistungsträgern Aufwendungen erhalten habe. In diesen Fällen sind die gewährten Leistungen nach SGB XII / AsylbLG von mir zu erstatten.","Это действительно и в том случае, если требование ведомства, предоставляющего пособие о возмещении к другим преимущественным обязанным ведомствам, предоставляющим пособие (например больничная или пенсионная касса) из-за причин судопроизводства не может быть удовлетворено, и поэтому я в тот самый период получил(а) пособия от обоих ведомств. В этих случаях я буду обязан возместить пособия, данные по SGB XII / AsylbLG (кодексу социального права / закону о предоставлении социальной помощи лицам, претендующим на убещице)"
"Ich bin davon in Kenntnis gesetzt, dass die Überweisung der Beiträge für meine freiwillige Kranken- und Pflegeversicherung direkt an die Kranken- bzw. Pflegekasse vorgenommen wird.","Меня поставили в известность о тём, что взносы на мое довровольное страхование на случай болезни или на случай потребности в уходе переводятся прямо в больничную кассу или в кассу по уходу"
Unterschrift des Antragstellers/Datum,"подпись заявителя, дата"
ggf. Unterschrift des nicht getrennt lebenden Ehegatten,по возможности подпись в совместном проживании супруга/и
Falls vom Antragsteller nicht selbst oder nicht vollständig ausgefüllt,Если заявитель не сам(а) или не полностью заполнил(а) заявку
"Name, Anschrift, ggf. Dienststelle und Unterschrift des Aufnehmenden/Datum","фамилия, имя, адрес, по возможности учреждение и подпись принимающего, дата"
Merkblatt zum Antrag auf Sozialhilfe nach dem SGB XII bzw. Leistungen nach AsylbLG,"памятка заявления о предоставлении о социальной помощи по SGB XII [кодексу социального права] или о пособиях по AsylLG [закону о предоставлении социальной помощи лицам, претендующим на убещице]"
"Nach § 60 SGB I muss der Antragsteller / die Antragstellerin bei der Aufklärung des Sachverhaltes und der Feststellung der für die Sozialleistung bestehenden Voraussetzungen mitwirken. Die Nichtbeantwortung von Fragen kann im Einzelfall zur Folge haben, dass die beantragte Leistung nicht gewährt werden kann. Die Grenzen der Mitwirkung sind in § 65 SGB I geregelt.","В соответствии с § 60 SGB I [кодекс социального права] заявитель должен/должна содействовать разъяснению обостоятельств дела и установлению предпосылок для социальных выплат. Отсутствие ответов может привести к тому, что заявленные пособия не предоставят. Пределы содействования установлены § 65 SGB I [кодекс социального права]."
"Im folgenden werden Ihnen die Rechtsgrundlagen benannt, aufgrund derer die erforderlichen Daten erhoben wurden:","Далее вам назовут юридические основания, в силу которых собрали необходимую информацию."
"**\*Die nachfolgenden Passagen haben wir nicht übersetzt. Wenn Sie sich zu den gesetzlichen Grundlagen kundig machen wollen, suchen Sie sich bitte die Hilfe einer Person, die über ausreichende deutsche Sprachkenntnisse verfügt.**","**\*Следующие абзацы мы не переводили. Если Вы хотите полунить информацию о законных основаниях, пожалуйста, обратитесь за помощью к человеку, который достаточно знает немецкий язык.**"
