"Bezirksamt","District authority"
"Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?","Can you – according to your own estimation – perform **at least three hours per day** work on the general labor market?"
"Nein, weil","No, because"
"Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?","Can he/she – according to your estimation – perform **at least three hours per day** work on the general labor market?"
"Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente)","Do you have an accredited loss of earning capability in accordance with Paragraph 43 Sub-section 2 of the SGB VI (Volume 6 of the German Code of Social Law)"
"unbefristet:","for unlimited time"
"für welchen Zeitraum?","For what period?"
"Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?","Are you in need of nursing care as defined by the SGB XI Pflegeversicherungsgesetz (Long-Term Care Insurance Act, Volume 11 of the German Code of Social Law)?"
"Stufe:","Level:"
"Auszubildender/Student - auch in Schulausbildung -","Trainee/student - including those attending school -"
"Ja, in Ausbildung / Studium als","Yes, in apprenticeship/university studies for"
"Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule","Name and address of current employer or school information"
"Unterbringung in einer stationären Einrichtung","Placement in an inpatient facility"
"Ja, Zuweisung","Yes, assigned"
"vom","from"
"Wenn Ja: Bitte legen Sie entsprechende Unterlagen vor.","If yes: Please provide the relevant documentation."
"\* **Wichtige Hinweise:** Wenn Sie oder Ihr Partner/Ihre Partnerin **das 23. Lebensjahr noch nicht vollendet haben**, können Sie oder Ihr Partner/Ihre Partnerin bei einem Elternteil **familienversichert** werden. Wenn Sie oder Ihr Partner/Ihre Partnerin von Ihrem Ehegatten/eingetragenen Lebenspartner **getrennt** leben, ist zu prüfen, ob Sie dennoch über diesen **familienversichert** werden können.","\* **Important notice:** If you or your partner **have not reached the age of 24**, you or your partner can be **covered as a familymember**. If you or your partner live **separated** from your spouse/registered civil partner, it must be checked whether you can still be **covered as a familymember**."
"Haben Sie Leistungen nach dem SGB II beantragt?","Have you applied for benefits in accordance with Social Security Code II (SGB II)?"
"Nachweis bzw. Bewilligungs- oder Ablehnungsbescheid vorlegen","Submit documentation or notice of approval or refusal"
"Kunden-Nr. der Agentur für Arbeit (falls vorhanden)","Employment Agency customer number (if you have one)"
"**\- Nicht vom Antragsteller ausfüllen/Vermerk der Behörde**","**\- Not to be completed by the applicant/agency annotation**"
"Mögliche Ausschlussgründe für die Hilfe zum Lebensunterhalt","Possible reasons for exclusion from welfare allowance"
"Bankverbindung","Bank details"
"Geldinstitut","Financial institution"
"Bankleitzahl","Branch number"
"Kontonummer","Account number"
"Kontoinhaber/in","Account holder"
"IBAN","IBAN"
"BIC","Bank Identifier Code"
"Aufenthalt","Residence"
"Anschrift","Address"
"Lage der Wohnung/Etage","Floor"
"Telefonnummer (freiwillige Angabe)","Telephone number (optional)"
"in Berlin seit","in Berlin since"
"im Bezirk seit","in district since"
"zuletzt wohnhaft","last place of residence"
"Unterkunft","Type of accommodation"
"Mietwohnung","Rental apartment/flat"
"Hauptmieter/in","Main tenant"
"Untermieter/in","Subtenant"
"Name und Anschrift des Vermieters","Name and address of landlord"
"Name des Hauptmieters","Name of main tenant"
"Eigenheim","privately owned home"
"Eigentumswohnung","privately owned apartment/flat"
"verwandt","related"
"Wirtschaftsgemeinschaft","Shared house"
"Bitte Anlage 3 ausfüllen, dann weiter bei V.2","Please fill out Annex 3, then continue at V.2"
"Miete insgesamt (EUR/mtl.)","Total rent (EUR/month)"
"Warmwasserkosten","Warm water costs"
"(EUR/mtl.)","(EUR/month)"
"Heizkostenvorschuss (EUR/mtl.)","(EUR/month)"
"Kabelfernsehen (EUR/mtl.)","Cable television (EUR/month)"
"Miete bezahlt bis","Rent paid until"
"Bitte Nachweis beifügen","Please enclose proof"
"Mietrückstände (von/bis/EUR)","Past rent that is due (from/until/EUR)"
"Gekündigt zum","Cancelled as of"
"Bitte Anlage 6 ausfüllen","Please fill out Annex 6"
"Größe der Unterkunft des Antragstellers","Size of the applicant's accommodation"
"Anzahl der Zimmer ohne Küche/Bad","Number of rooms, not counting kitchen/bathroom"
"Gesamtwohnfläche (m2)","Total floor space (m2)"
"Wohngeld wird gezahlt","Receiving housing benefits"
"Wohngeld wird nicht gezahlt","Not receiving housing benefits"
"Bitte Bescheid beifügen","Please enclose notification"
"Heizungsart/Warmwasser","Heating method/water heating"
"Sammelheizung","Central heating"
"Zentrale Warmwasserversorgung","Central hot water supply"
"Ofenheizung","Stove heating"
"Gasheizung","Gas heating"
"Nachtstromspeicherheizung","Off-peak storage heating"
"Wohnraum wird untervermietet","Living space is sublet"
"Wohnraum kann untervermietet werden","Living space can be sublet"
"Wohnraum kann nicht untervermietet werden","Living space cannot be sublet"
"Zahl vermieteter Leerzimmer","Number of empty rooms let"
"Miete (EUR/mtl.)","Rent (EUR/month)"
"Zahl vermieteter möblierter Zimmer","Number of furnished rooms let"
"Grund","Reason"
"Ich/Wir habe/n freies Wohnrecht bei:","I/We have right of abode with:"
"Name:","Last name:"
"Wenn Sie in einer stationären Einrichtung (z. B. Heim, Betreute Wohngemeinschaft, Krankenhaus) leben: **Wo haben Sie vorher gewohnt** (gewöhnlicher Aufenthaltsort)?","If you live in a residential institution (e.g. a home, assisted/sheltered living, hospital): **Where have you lived before** (main residence)?"
"Anschrift der Wohnung **vor der Aufnahme** in die Einrichtung","Address of the flat **before accommodation** in the institution"
"Persönliche Verhältnisse der mit dem Antragsteller/der Antragstellerin in einem Haushalt lebenden weiteren Personen","Personal relationship with the main applicant of other people living in the same household"
"Leben weitere Personen im gemeinsamen Haushalt?","Do other individuals live in the joint household?"
"**Wenn Ja, tragen Sie bitte die weiteren Personen in der Reihenfolge des Geburtsdatums ein.**","**If yes, list the other individuals in order of birth date.**"
"Bei vier oder mehr Personen bitte **Zusatzblatt** verwenden.","If there are four or more, please use an **additional sheet**."
"Personenziffer 3","Person number 3"
"Personenziffer 4","Applicant 4"
"Personenziffer 5","Applicant 5"
"Name (ggf. Geburtsname)","Name (and maiden name if applicable)"
"Vorname","First name"
"Verwandtschaftsverhältnis zum/zur Antragsteller/in / Partner/in","Family relationship to applicant/partner"
"Geschlecht","Gender"
"weiblich","female"
"männlich","male"
"Geburtsort","Place of birth"
"seit","since"
"andere","other"
"(sofern bereits eine Arbeitsgenehmigung erteilt wurde, bitte beifügen)","(If a work permit has already been issued, please enclose it.)"
"Erwerbsfähigkeit (Angabe nur ab vollendetem 15. Lebensjahr erforderlich)","Ability to work (only necessary for individuals who have reached the age of 16)"
"Haben die o.g. Personen Leistungen nach dem SGB II beantragt?","Have the individuals listed above applied for benefits in accordance with Social Security Code II (SGB II)?"
"Unterhaltspflichtige Angehörige außerhalb des Haushalts (Kinder, Eltern)","Dependants requiring support living outside the household (children, parents)"
"Geburtstag, bzw. Alter","Date of birth or age"
"Verwandtschaftsverhältnis zum Antragsteller","Family relationship to applicant"
"ausgeübte Tätigkeit","work performed:"
"Art und Höhe des Unterhaltsbeitrages","Type and amount of maintenance/support"
"Einkünfte aller Haushaltsangehörigen","Income of all persons in the household"
"Beträge (EUR) und Angabe des Zeitraumes (mtl./wöchentl./tgl.)","Amounts (EUR) and frequency of payments (monthly/weekly/daily)."
"Bitte Nachweise beifügen","Please enclose evidence."
"Bezeichnung","Designation"
"Bewilligungsstelle","Awarding authority"
"Geschäftszeichen, Rentenabrechnungsnummer, o. ä.","Company reference number, pension reference etc"
"Nichtselbständige Tätigkeit","Income from employment"
"(Erwerbseinkommen, Ausbildungsvergütung, Entgelt der Werkstatt für behinderte Menschen)","(Job income, education maintenance, renumeration from sheltered workshop)"
"Leistungen der Krankenkasse","Benefits from health insurance"
"(einschl. Arbeitgeberzuschuss)","(including employer contribution)"
"Gewerbebetrieb","Commercial operation"
"Land- und Forstwirtschaft","Agriculture and forestry"
"Sonstige selbständige Tätigkeiten","Other self-employed activities"
"Vermietung und Verpachtung","Rent and lease from property"
"Wohngeld/Lastenzuschuss","Housing Benefits"
"Renten/Pensionen","Annuities/Pension"
"(z. B. Rente wg. Erwerbsminderung, Altersrente, Unfallrente, landwirtschaftliches Altersgeld, Witwen- oder Waisenrente, Erziehungsrente, Kinderzuschuss /-zulage, Pflegegeld zur Rente, Werksrente, Kindererziehungsleistung, Sonstige Renten / Pensionen)","(e.g. Annuities due to reduction in earning capacity, old age pension, accident annuity, agricultural pension, widow's/orphan's pension, child benefits, child allowance, care allowance on top of pension, company pensions, any other forms of annuities or pension)"
"Sozialhilfeleistungen","Social Welfare Benefits"
"Grundsicherungsleistungen","Basic Social Benefits"
"Asylbewerberleistung","Asylum seeker's benefits"
"Leistungen nach dem Bundesversorgungsgesetz","Benefits in accordance with the Federal Law on War Pensions (Bundesversorgungsgesetz)"
"Leistungen des Lastenausgleichsamtes","Benefits from the Lastenausgleichsamtes"
"(z. B. Unterhaltshilfe, Pflegegeld, Entschädigungsrente)","(e.g. maintenance assistance, care allowance, compensation pension)"
"Leistungen der Agentur für Arbeit","Benefits from the Employment Agency"
"(z. B. Arbeitslosengeld, Arbeitslosengeld II, Eingliederungshilfe, Berufsausbildungsbeihilfe, Arbeitsförderungsgeld u. a.)","(e.g. unemployment, integration support, vocational training assistance, active employment promotion, or similar)"
"Kindergeld","Child allowance"
"Kindergeldzuschlag","Child allowance supplement"
"Elterngeld","Parental allowance"
"Ausbildungsförderung","Educational support"
"Unterhalt","Maintenance"
"Unterhaltsvorschuss","Maintenance advance"
"Privatrechtliche geldwerte Ansprüche","Private-law cash value claims"
"(z. B. Beköstigung, Wohnrecht, Taschengeld, Leibrente, Pflegegeld)","(e.g. boarding, right of abode, spending allowance, life annuity, care allowance)"
"Steuererstattung","Tax refund"
"Kapitalerträge (z. B. Zinsen)","Return on capital employed (e.g. interest)"
"Sonstige Einkünfte","Other income"
"(z.B. Schadensersatzansprüche)","(e.g. damage claims)"
"Kein Einkommen","No income"
"Sind Leistungen nach Nr. VIII. beantragt, über die noch nicht entschieden wurde?","Have benefits in accordance with No. VIII been applied for but not yet decided upon?"
"Personenziffer","Person number"
"Antragsdatum","Application date"
"Art der Leistung","Type of benefits"
"Dienststelle und Geschäftszeichen","Sub-office and reference number"
"Werden einmalige Einnahmen erwartet, z. B. eine Steuerrückzahlung?","Are one-time payments expected, e.g. tax refunds?"
"Zeitpunkt","Time"
"EUR","EUR"
"Vom Einkommen evtl. absetzbare Beträge","Income deductible amounts"
"**Keine absetzbaren Beträge**","**No deductible amounts**"
"Ausgaben mtl. Betrag","Monthly expenses amount"
"Einkommensteuer*","Income tax*"
"Krankenversicherung*","Health insurance*"
"Pflegeversicherung*","Nursing care insurance*"
"Arbeitslosenversicherung*","Unemployment insurance*"
"Rentenversicherung*","Pension fund*"
"Kirchensteuer*","Church tax*"
"Unfallversicherung","Accident insurance*"
"Altersvorsorgebeiträge","Retirement provision contributions"
"Hausratsversicherung","Household insurance"
"Sterbeversicherung","Burial insurance"
"Lebensversicherung","Life insurance"
"Haftpflichtversicherung","Liability insurance"
"Aufwendungen für Arbeitsmittel","Expenditure for work equipment"
"Beiträge für Berufsverbände","Dues for professional associations"
"Mehraufwendungen für doppelte Haushaltsführung","Additional expenditure for runnung a second household"
"\* Angabe nicht erforderlich soweit die Beträge bereits vom Arbeitgeber oder Rententräger abgesetzt wurden","\* Information not required if the contributions are already offset by employer or pension provider."
"Entfernung zwischen Wohnung und Arbeitsstelle Fahrkosten zur Arbeitsstelle mit","Distance between residence and place of employment and travel costs to place of employment"
"km","km"
"öffentlichen Verkehrsmitteln","public transportation"
"PKW","passenger car"
"Kleinst-PKW (bis 500 ccm)","Micro-compact vehicle (up to 500ccm)"
"Motorrad","Motorcycle"
"Mofa","Moped"
"Sonstiges","Other"
"Nähere Begründung zu „Sonstiges“","Further description of ""other"""
"Vermögensverhältnisse (ggf. auf gesondertem Blatt fortsetzen)","Financial circumstances (use separate sheet if necessary)"
"Sparguthaben / Bargeld","Savings balance / Cash"
"Wertpapiere","Securities"
"Sachwerte von besonderem Wert","Particularly valuable possessions"
"Art","Type"
"sonstiges Vermögen (Forderungen und anderes)","Other assets (Outstanding debits and other)"
"Verschenktes Vermögen innerhalb der letzten 10 Jahre (auch Grundvermögen)","Donations made within the last 10 years (including property assets)"
"Kraftfahrzeug","Vehicle"
"amtl. Kennzeichen","License plate no."
"Fabrikat","Make"
"Baujahr","Year"
"Halter","Owner"
"Hauseigentum oder Grundbesitz","Home ownership or estate holdings"
"**Bitte Anlage 3 ausfüllen**","**Please fill out Annex 3**"
"Staatlich geförderte private Altersvorsorge","State subsidised private pension"
"Ansprüche aus Übertragsverträgen (z. B. Wohnrecht, Nießbrauch, Altenteilsrechte)","Do you have any right or claim by assignment (e.g. right of abode, life estate, or retirement rights)"
"Sonstiges Vermögen","Other assets"
"**Sonstige Angaben,**","**Other information**"
"z. B. über persönliche, familiäre, gesundheitliche Verhältnisse","e.g. about personal, familial, health circumstances"
"Leistungen für besondere Mehrbedarfe","Benefits for special increased demands"
"Unter bestimmten Voraussetzungen können Leistungen für Mehrbedarfe erbracht werden, die nicht durch die Regelleistung abgedeckt sind und aus den vorgenannten Angaben nicht zu beurteilen sind. Dies gilt für alle Personen innerhalb des Haushalts.","Under certain circumstances, benefits for increased requirements can be provided, should the standard benefits not cover them and should they not be evident from information provided previously. This applies to all individuals in the household."
"Folgende Mehrbedarfe werden geltend gemacht:","I hereby wish to make a claim for the following increased demands"
"Für werdende Mütter nach der 12. Schwangerschaftswoche","For pregnant women after the 12th week of pregnancy"
"Vorlage Mutterschaftspass erforderlich","Submission of maternity card necessary"
"Vorname:","First name:"
"Voraussichtlicher Geburtstermin","Expected delivery date"
"Schwerbehinderte Menschen, die das 15. Lebensjahr vollendet haben und Leistungen zur Teilhabe am Arbeitsleben erhalten","Severely disabled people, who are over the age of 16 and who receive benefits as part of a programme for participation in working life"
"Vorlage des Bewilligungsbescheides","Submission of official notification of approval"
"Kostenaufwendige Ernährung aus medizinischen Gründen","Expensive dietary requirements because of medical reasons"
"vom Sozialamt erhältlicher Vordruck ist vom behandelnden Arzt auszufüllen","A form (available from the Sozialamt) is to be filled out by a doctor"
"Bestandteile des Antrages sind die Anlagen","Attachments to be included in this application"
"1 - Unterhalt","1 - Maintenance"
"2 - Ausländer","2 - Foreigner"
"3 - Grundbesitz","3 - Real estate holdings"
"4 – Eingliederungshilfe","4 - Integration assistance"
"6 – Mietschulden","6 - Rental arrears"
"Dem Antrag sind folgende Unterlagen beigefügt","The following documents are enclosed with the application"
"Die Angaben im Antrag und den dazugehörigen Anlagen habe ich vollständig und wahrheitsgemäß gemacht.","The information in this application and its enclosures are complete and correct."
"Ich werde den Träger der Leistungen (Land Berlin, vertreten durch die Bezirksämter v. Berlin, Geschäftsbereich Sozialwesen / Geschäftsbereich Jugend und Sport bzw. Landesamt für Gesundheit und Soziales Berlin / ZLA) gem. § 60 Abs. 1 Ziff. 2 SGB I unverzüglich informieren, wenn","I will inform the responsible institution (State Berlin, represented by the local district offices within Berlin, Welfare Office / Office for Youth and Sport or, as the case may be, the State Office for Health and Social Affairs Berlin) without delay, if:"
"- sich meine persönlichen und wirtschaftlichen Verhältnisse ändern.","- my personal and financial situation changes."
"- sich die Verhältnisse meiner Haushaltsangehörigen ändern.","- the situation of the members of my household changes."
"- ich Renten oder ähnliche Leistungen beantrage.","- I apply for a pension or similar benefits."
"Des Weiteren bin ich hinreichend darüber informiert worden, dass im Falle eines konkreten Betrugsverdachts die Ermittlungen des Sachverhalts gemäß §§ 20, 21, 69 und 71 SGB X von Amts wegen – ohne meine Beteiligung – erfolgen können.","Furthermore, I have been informed that in the case of suspected fraud, an investigation into the circumstances of the case can be carried out by the administrative office – without my participation – in accordance with Chapters 20, 21, 69 and 71 of Sozialgesetzbuch X."
"Leistungen werden von mir zurückgefordert, sofern ich sie zu Unrecht erhalten habe, z. B. weil ich vorsätzlich oder grob fahrlässig falsche Angaben gemacht habe.","I can be required to pay back benefits that I have received improperly, such as by intentionally or through gross negligence supplying incorrect information."
"Der Träger der Leistungen nach SGB XII bzw. AsylbLG kann für die Zeit, für die ich Leistungen erhalte, meine Ansprüche gegen einen anderen auf entsprechende Leistungen in Höhe seiner Aufwendungen auf sich überleiten.","According to SGB XII or AsylbLG, during the time that I receive benefits, the institution providing the benefits is entitled to claim obligations I have towards others to the amount of the benefits it would otherwise provide me with."
"Der Sozialhilfeträger behält sich vor, bei Vorliegen des entsprechenden Sachverhalts Aufwendungsersatz nach den §§ 19 Abs. 5, 27 Abs. 3 oder § 92 Abs. 1 SGB XII bzw. §§ 7, 9 AsylbLG geltend zu machen. In diesem Umfang habe ich dem Träger der Leistungen die Aufwendungen zu ersetzen.","The welfare acgency reserves the right to apply reimbursement of payments if applicable according to Paragraph 19 Sub-section 5, 27 Sub-sub-section 3 or Paragraph 92 Sub-section 1 of SGB XII or Paragraphs 7, 9 of AsylbLG. In this case, I have to refund the received benefits to the agency."
"Dies gilt auch, wenn der Erstattungsanspruch des Trägers der Sozialleistung gegen andere vorrangig verpflichtete Leistungsträger (z.B. Rententräger, Krankenkasse) aus Verfahrensgründen nicht befriedigt werden kann und ich für den gleichen Zeitraum von beiden Leistungsträgern Aufwendungen erhalten habe. In diesen Fällen sind die gewährten Leistungen nach SGB XII / AsylbLG von mir zu erstatten.","This also applies if the reimbursement claim of the welfare agency towards other agencies with higher priority (e.g. pension providers, health insurance) cannot be satisfied for procedural reasons and if I received benefits from both agencies for the same time period. In these cases I will have to refund the provided benefits according to SGB XII / AsylLG."
"Ich bin davon in Kenntnis gesetzt, dass die Überweisung der Beiträge für meine freiwillige Kranken- und Pflegeversicherung direkt an die Kranken- bzw. Pflegekasse vorgenommen wird.","I have been informed that payments to my optional health or nursing care insurance will be transferred directly to the relevant fund."
"Unterschrift des Antragstellers/Datum","Applicant signature/date"
"ggf. Unterschrift des nicht getrennt lebenden Ehegatten","if applicable, signature of non-separated spouse"
"Falls vom Antragsteller nicht selbst oder nicht vollständig ausgefüllt","If the applicant has not personally or completely filled out this form"
"Name, Anschrift, ggf. Dienststelle und Unterschrift des Aufnehmenden/Datum","Name, Address, if applicable government department and signature of the registrar/date"
"Merkblatt zum Antrag auf Sozialhilfe nach dem SGB XII bzw. Leistungen nach AsylbLG","Instruction pamphlet for Application for Social Welfare in Accordance with Sozialgesetzbuch XII or rather Benefits in Accordance with AsylbLG (Asylbewerberleistungsgesetz, Asylum Seekers Benefits Law)"
"Nach § 60 SGB I muss der Antragsteller / die Antragstellerin bei der Aufklärung des Sachverhaltes und der Feststellung der für die Sozialleistung bestehenden Voraussetzungen mitwirken. Die Nichtbeantwortung von Fragen kann im Einzelfall zur Folge haben, dass die beantragte Leistung nicht gewährt werden kann. Die Grenzen der Mitwirkung sind in § 65 SGB I geregelt.","In accordance with Chapter 60 of the Sozialgesetzbuch, the applicant must cooperate with any clarification of the facts of the case and with the determining of prerequisites for Social Welfare. Failure to answer questions can in some cases mean that applied for benefits can not be validated. The limits of cooperation are outlined in Chapter 65 of Sozialgesetzbuch I."
"Im folgenden werden Ihnen die Rechtsgrundlagen benannt, aufgrund derer die erforderlichen Daten erhoben wurden:","Below you will find the legal foundation for the collection of the required information:"
"**\*Die nachfolgenden Passagen haben wir nicht übersetzt. Wenn Sie sich zu den gesetzlichen Grundlagen kundig machen wollen, suchen Sie sich bitte die Hilfe einer Person, die über ausreichende deutsche Sprachkenntnisse verfügt.**","**\*We did not translate the following passages. If you wish to gather information about the legal basis, please seek assistance from someone who is sufficiently fluent in German.**"
