Bezirksamt,اداره ی منطقه
Betreuung der Krankenkassen nach § 264 SGB V,§ 264 SGB V تقبل بيمه هاى درمانى طبق
Umfang bzw. Ausschluss der Erwerbsfähigkeit,اندازه ى ساعات كارى
Personenziffer 1,شخص شماره ی 1
Personenziffer 2,شخص شماره ی 2
Sind Sie zurzeit erwerbstätig?,در حال حاضر شاغل هستيد؟
Tätigkeit:,شغل
Arbeitgeber:,كارفرما
Umfang der Erwerbsfähigkeit,اندازه ى ساعات كارى
Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,مى توانيد- به نظر خودتان- [روزانه حداقل سه ساعت] يك كار را در بازار كار به عهده بگيريد
"Nein, weil",نه، چون
Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,می تواند او -به نظر شما- [حداقل روزانه 3 ساعت] در یک شغل معمولی در بازارکار فعالیت کند؟
Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente),در حال حاضر شما یک فرد با توانایی کاری محدود هستید طبق § 43 Abs. 2 SGB VI ؟ ( بازنشستگی - ناتوانی کاری)
unbefristet:,نامحدود
für welchen Zeitraum?,براى بازه ى زمانى؟
Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?,؟SGB XI نيازمند به پرستارى هستيد بر اساس قانون بيمه ى پرستارى
Stufe:,سطح
Auszubildender/Student - auch in Schulausbildung -,كارآموز/دانشجو -همچنين دانش آموز-
"Ja, in Ausbildung / Studium als",بله، در كارآموزى / تحصيل به عنوان
Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule,نام و آدرس كارفرما ى حال حاضر همينطور اطلاعات مدرسه
Unterbringung in einer stationären Einrichtung,اسكان در يك محل با امكانات دولتى مثلا براى پناهجويان
"Ja, Zuweisung",بله، مخصوص
vom,از
Wenn Ja: Bitte legen Sie entsprechende Unterlagen vor.,اگر بله : لطفا مدارك مربوطه را ارائه دهيد
"\* **Wichtige Hinweise:** Wenn Sie oder Ihr Partner/Ihre Partnerin **das 23. Lebensjahr noch nicht vollendet haben**, können Sie oder Ihr Partner/Ihre Partnerin bei einem Elternteil **familienversichert** werden. Wenn Sie oder Ihr Partner/Ihre Partnerin von Ihrem Ehegatten/eingetragenen Lebenspartner **getrennt** leben, ist zu prüfen, ob Sie dennoch über diesen **familienversichert** werden können.",*[اطلاعات مهم :] اگر شما يا شريك زندگيتان [23 -مین سال را هنوز تمام نکرده اید]، می توانیداز طرف یکی از والدینتان بیمه ی خانوادگی شوید. اگر شما یا شریک زندگیتان از یکدیگر [جدا] زندگی می کنید، باید بررسی شود، که شما با این وجود می توانید [ بیمه ی خوانوادگی] شوید.
Haben Sie Leistungen nach dem SGB II beantragt?,شما درخواست کمک داده اید بر اساس SGB II؟
Nachweis bzw. Bewilligungs- oder Ablehnungsbescheid vorlegen,مدرک و همچنین گواهی پذیرش یا رد درخواست را ارائه دهید
Kunden-Nr. der Agentur für Arbeit (falls vorhanden),شماره عضویت در اداره ی کار (درصورت دسترسی)
**\- Nicht vom Antragsteller ausfüllen/Vermerk der Behörde**,-درخواست دهنده پر نکند/مخصوص اداره
Mögliche Ausschlussgründe für die Hilfe zum Lebensunterhalt,دلایل احتمالی برای برای رد درخواست کمک هزینه ی زندگی
Bankverbindung,حساب بانکی
Geldinstitut,موسسه ی مالی
Bankleitzahl,کد بانک
Kontonummer,شماره حساب
Kontoinhaber/in,صاحب حساب
IBAN,ایبان
BIC,بیک
Aufenthalt,اقامت
Anschrift,آدرس
Lage der Wohnung/Etage,موقعیت خانه / طبقه
Telefonnummer (freiwillige Angabe),شماره ی تلفن همراه ( داوطلبانه)
in Berlin seit,ساکن برلین از تاریخ
im Bezirk seit,ساکن محله از تاریخ
zuletzt wohnhaft,آدرس قبلی
Unterkunft,محل زندگی
Mietwohnung,خانه ی اجاره ای
Hauptmieter/in,مستاجر اصلی
Untermieter/in,مستاجر غیراصلی
Name und Anschrift des Vermieters,نام و آدرس صاحب خانه
Name des Hauptmieters,نام مستاجر اصلی
Eigenheim,منزل شخصی
Eigentumswohnung,خانه ی شخصی
verwandt,شراکت فامیلی
Wirtschaftsgemeinschaft,شراکت اقتصادی
"Bitte Anlage 3 ausfüllen, dann weiter bei V.2",لطفا ضمیمه ی 3 را پرکنید، سپس با V.2 ادامه دهید
Miete insgesamt (EUR/mtl.),کل اجاره ( ماهانه/یورو)
Warmwasserkosten,هزینه ی آب گرم
(EUR/mtl.),(ماهانه/یورو)
Heizkostenvorschuss (EUR/mtl.),هزینه ی گرمایی (ماهانه/یورو)
Kabelfernsehen (EUR/mtl.),تلویزیون کابلی (ماهانه/یورو)
Miete bezahlt bis,اجازه پرداخت شده است تا تاریخ
Bitte Nachweis beifügen,لطفا مدارک مربوطه را ضمیمه کنید
Mietrückstände (von/bis/EUR),اجاره ی عقب افتاده (از/تا/یورو)
Gekündigt zum,تاریخ فسخ قرارداد
Bitte Anlage 6 ausfüllen,لطفا ضمیمه 6 را پر کنید
Größe der Unterkunft des Antragstellers,مساحت محل زندگی درخواست دهنده
Anzahl der Zimmer ohne Küche/Bad,تعداد اتاق ها غیر از آشپزخانه/حمام
Gesamtwohnfläche (m2),مساحت کل (مترمربع)
Wohngeld wird gezahlt,کمک هزینه مسکن پرداخت شده
Wohngeld wird nicht gezahlt,کمک هزینه مسکن پرداخت نشده
Bitte Bescheid beifügen,لطفا گواهی را ضمیمه کنید
Heizungsart/Warmwasser,نوع وسیله ی گرمایشی/آب گرم
Sammelheizung,وسایل گرمایشی جمعی
Zentrale Warmwasserversorgung,آب گرمکن مرکزی
Ofenheizung,وسیله گرمایشی شومینه
Gasheizung,وسیله گرمایشی گازی
Nachtstromspeicherheizung,وسیله ی گرمایشی با ذخیره کننده ی برق شبانه
Wohnraum wird untervermietet,محل زندگی به مستاجر دیگری اجاره داده شده
Wohnraum kann untervermietet werden,محل زندگی می تواند به مستاجر دیگری اجاره داده شود
Wohnraum kann nicht untervermietet werden,محل زندگی نمی تواند به مستاجر دیگری اجاره داده شود
Zahl vermieteter Leerzimmer,تعداد اتاق های خالی اجاره داده شده
Miete (EUR/mtl.),اجاره ی ماهانه
Zahl vermieteter möblierter Zimmer,تعداد اتاق های اجاره داده شده ی مبله
Grund,دلیل اجاره
Ich/Wir habe/n freies Wohnrecht bei:,ما اجازه سکونت در یک خانه را داریم
Name:,نام خانوادگی:
"Wenn Sie in einer stationären Einrichtung (z. B. Heim, Betreute Wohngemeinschaft, Krankenhaus) leben: **Wo haben Sie vorher gewohnt** (gewöhnlicher Aufenthaltsort)?",اگر شما در یک مرکز اسکان اضطراری ( مثل: خوابگاه، خوابگاه به همراه پرستار، بیمارستان) زندگی می کنید:[ قبل از آن کجا ساکن بودید ](جاهایی که عموما اقامت داشته اید)؟
Anschrift der Wohnung **vor der Aufnahme** in die Einrichtung,آدرس محل سکونت [قبل از پذیرش ] در خوابگاه
Persönliche Verhältnisse der mit dem Antragsteller/der Antragstellerin in einem Haushalt lebenden weiteren Personen,رابطه ی شخصی افراد دیگر ساکن در خانه با شخص درخواست دهنده
Leben weitere Personen im gemeinsamen Haushalt?,آیا کسان دیگری با شما در خانه یا محل زندگیتان زندگی می کنند؟
"**Wenn Ja, tragen Sie bitte die weiteren Personen in der Reihenfolge des Geburtsdatums ein.**",اگر بله، لطفا نام افراد را به ترتیب تاریخ تولد وارد کنید
Bei vier oder mehr Personen bitte **Zusatzblatt** verwenden.,در صورتی که این افراد از 4 نفر بیشتر هستند لطفا از [برگه ی اضافی] استفاده کنید
Personenziffer 3,نفر شماره ی 3
Personenziffer 4,شخص شماره ی 4
Personenziffer 5,نفر شماره ی 5
Name (ggf. Geburtsname),نام خانوادگی ( در صورت وجود، نام خانوادگی در هنگام تولد)
Vorname,نام
Verwandtschaftsverhältnis zum/zur Antragsteller/in / Partner/in,رابطه ی خانوادگی نسبت به درخواست دهنده
Geschlecht,جنسیت
weiblich,زن
männlich,مرد
Geburtsort,محل تولد
seit,از تاریخ
andere,غیره
"(sofern bereits eine Arbeitsgenehmigung erteilt wurde, bitte beifügen)",(در صورتی که اجازه کار داده شده است، لطفا ضمیمه کنید)
Erwerbsfähigkeit (Angabe nur ab vollendetem 15. Lebensjahr erforderlich),شغل ( فقط در صورتی که 15 سال تمام شده است لازم است که وارد کنید)
Haben die o.g. Personen Leistungen nach dem SGB II beantragt?,آیا افراد نامبرده شده در بالا درخواست کمک هزینه ی بیکاری داده اند طبق SGB II؟
"Unterhaltspflichtige Angehörige außerhalb des Haushalts (Kinder, Eltern)",خویشاوندان خارج از خانه که وابسته به شما هستند ( فرزندان ، والدین)
"Geburtstag, bzw. Alter",تاریخ تولد همچنین سن
Verwandtschaftsverhältnis zum Antragsteller,رابطه ی فامیلی با درخواست دهنده
ausgeübte Tätigkeit,شغل انجام داده
Art und Höhe des Unterhaltsbeitrages,نوع و سقف پرداخت هزینه
Einkünfte aller Haushaltsangehörigen,درآمد های تمام اعضای خانه
Beträge (EUR) und Angabe des Zeitraumes (mtl./wöchentl./tgl.),مبالغ پرداختی(یورو) و اعلام بازه های پرداخت (ماهانه/هفتگی /روزانه) لطفا رسید را ارائه دهید
Bitte Nachweise beifügen,لطفا رسید را ارائه دهید
Bezeichnung,شناسه
Bewilligungsstelle,محل موافقت با درخواست
"Geschäftszeichen, Rentenabrechnungsnummer, o. ä.",شماره ی پیگیری، شماره ی واریز حقوق بازنشستگی
Nichtselbständige Tätigkeit,کار غیرمستقل
"(Erwerbseinkommen, Ausbildungsvergütung, Entgelt der Werkstatt für behinderte Menschen)",(دستمزد، درآمد از حرفه آموزی، دستمزد کارگاه برای افراد معلول)
Leistungen der Krankenkasse,حقوق از بیمه ی درمانی
(einschl. Arbeitgeberzuschuss),(دستمزد اضافی از کارفرما)
Gewerbebetrieb,مغازه
Land- und Forstwirtschaft,کشاورزی و صنعت چوب
Sonstige selbständige Tätigkeiten,فعالیت های مستقل دیگر
Vermietung und Verpachtung,اجاره ی ملک
Wohngeld/Lastenzuschuss,کمک هزینه ی اجاره ی خانه\کمک هزینه ی نگهداری از ملک شخصی
Renten/Pensionen,حقوق بازنشستگی\مزایای بازنشستگی
"(z. B. Rente wg. Erwerbsminderung, Altersrente, Unfallrente, landwirtschaftliches Altersgeld, Witwen- oder Waisenrente, Erziehungsrente, Kinderzuschuss /-zulage, Pflegegeld zur Rente, Werksrente, Kindererziehungsleistung, Sonstige Renten / Pensionen)",(به عنوان مثال: بازنشستگی به علت کاهش توانایی، بازنشستگی به علت سن، بازنشستگی به علت حادثه، هزینه ی بازنشستگی کشاورزی، بازنشستگی بیوه شدگان، بازنشستگی به علت تربیت، کمک هزینه ی فرزندان، کمک هزینه ی مراقبت بازنشستگان، خدمات تربیت فرزندان، انواع دیگر بازنشستگی و مزایا)
Sozialhilfeleistungen,خدمات اجتماعی
Grundsicherungsleistungen,خدمات تضمین حداقل امکانات برای زندگی
Asylbewerberleistung,خدمات پناهجویان
Leistungen nach dem Bundesversorgungsgesetz,خدمات از قانون تامین و رسیدگی کشور
Leistungen des Lastenausgleichsamtes,هزینه ی جبران خسارات
"(z. B. Unterhaltshilfe, Pflegegeld, Entschädigungsrente)",(مثلا : کمک هزینه ی اسکان، هزینه ی پرستاری، بازنشستگی و جبران خسارت)
Leistungen der Agentur für Arbeit,خدمات سازمان کار
"(z. B. Arbeitslosengeld, Arbeitslosengeld II, Eingliederungshilfe, Berufsausbildungsbeihilfe, Arbeitsförderungsgeld u. a.)",(مثلا: حقوق بیکاری،حقوق بیکاری2، کمک هزینه ی ادغام، کمک هزینه ی یادگیری حرفه، کمک هزینه ی حمایت از کار و غیره)
Kindergeld,هزینه ی فرزندان
Kindergeldzuschlag,اضافه بر کمک هزینه ی کودکان
Elterngeld,هزینه ی والدین
Ausbildungsförderung,حمایت از حرفه آموزی
Unterhalt,هزینه ی معاش
Unterhaltsvorschuss,پیش پرداخت هزینه ی معاش
Privatrechtliche geldwerte Ansprüche,نیازهای مالی
"(z. B. Beköstigung, Wohnrecht, Taschengeld, Leibrente, Pflegegeld)",(مثلا: خورد و خوراک، حق اسکان، پول توی جیبی، بیمه ی مستمری عمر،هزینه ی پرستاری)
Steuererstattung,برگشت مالیات
Kapitalerträge (z. B. Zinsen),سود سرمایه( مثلا: بهره)
Sonstige Einkünfte,عواید دیگر
(z.B. Schadensersatzansprüche),(مثلا: مطالبه ی جبران خسارت)
Kein Einkommen,بدون درآمد
"Sind Leistungen nach Nr. VIII. beantragt, über die noch nicht entschieden wurde?",خدماتی براساس شماره ی VIII. درخواست شده، که هنوز در مورد آن تصمیم گیری نشده است؟
Personenziffer,نفر شماره ی
Antragsdatum,تاریخ درخواست
Art der Leistung,نوع خدمات
Dienststelle und Geschäftszeichen,محل خدمات و کد محل
"Werden einmalige Einnahmen erwartet, z. B. eine Steuerrückzahlung?",آیا عوایدی صرفا برای یک بار انتظار می رود، مثلا بازگشت مالیات؟
Zeitpunkt,تاریخ
EUR,یورو
Vom Einkommen evtl. absetzbare Beträge,از درآمد ، در صوت وجود مبالغی معاف از مالیات
**Keine absetzbaren Beträge**,هیچ وجه معاف از مالیات
Ausgaben mtl. Betrag,مخارج ماهانه
Einkommensteuer*,مالیات بر درآمد
Krankenversicherung*,بیمه درمانی
Pflegeversicherung*,بیمه پرستاری
Arbeitslosenversicherung*,بیمه ی بیکاری
Rentenversicherung*,بیمه ی بازنشستگی
Kirchensteuer*,مالیات کلیسا
Unfallversicherung,بیمه ی حوادث
Altersvorsorgebeiträge,سهم بیمه ی عمر
Hausratsversicherung,بیمه ی صدمات خانه و امول
Sterbeversicherung,بیمه ی فوت
Lebensversicherung,بیمه ی زندگی
Haftpflichtversicherung,بیمه ی شخص ثالث
Aufwendungen für Arbeitsmittel,هزینه ی تجهیزات کار
Beiträge für Berufsverbände,هزینه ی حق عضویت در سندیکای کارگزاران
Mehraufwendungen für doppelte Haushaltsführung,هزینه ی اضافی برای زندگی جداگانه از همسر
\* Angabe nicht erforderlich soweit die Beträge bereits vom Arbeitgeber oder Rententräger abgesetzt wurden,*در صورتی که در حال حاضر هزینه ها از طریق کارفرما یا بیمه کننده پرداخت شده است لازم به وارد کردن نیست
Entfernung zwischen Wohnung und Arbeitsstelle Fahrkosten zur Arbeitsstelle mit,فاصله بین محل سکونت و محل کار و هزینه ی تردد تا محل کار
km,کیلومتر
öffentlichen Verkehrsmitteln,وسایل حمل و نقل عمومی
PKW,خودروی شخصی
Kleinst-PKW (bis 500 ccm),خودروی شخصی کوچک (تا 500 سانتیمتر مکعب)
Motorrad,موتورسیکلت
Mofa,موتورگازی
Sonstiges,غیره
Nähere Begründung zu „Sonstiges“,"دلایل مربوط به انتخاب گزینه ی ""غیره"""
Vermögensverhältnisse (ggf. auf gesondertem Blatt fortsetzen),شرایط مالی ( در صورت نیاز در یک برگه ی جدا ادامه دهید)
Sparguthaben / Bargeld,سپرده های پس انداز/ پول نقد
Wertpapiere,اوراق بهادار
Sachwerte von besonderem Wert,دارایی هایی غیر نقدی بار ارزش قابل توجه
Art,نوع
sonstiges Vermögen (Forderungen und anderes),دارایی های غیره ( مطالبات و موارد دیگر)
Verschenktes Vermögen innerhalb der letzten 10 Jahre (auch Grundvermögen),دارایی ها هدیه گرفته شده در طول 10 سال گذشته (همچنین دارایی های پایه)
Kraftfahrzeug,وسیله ی نقلیه ی موتوری
amtl. Kennzeichen,شماره ثبت شده
Fabrikat,شرکت سازنده
Baujahr,سال ساخت
Halter,دارنده
Hauseigentum oder Grundbesitz,مالکیت خانه یا زمین
**Bitte Anlage 3 ausfüllen**,لطفا ضمیمه ی 3 را پرکنید
Staatlich geförderte private Altersvorsorge,ارائه ی خدمات بازنشستگی خصوصی توسط دولت
"Ansprüche aus Übertragsverträgen (z. B. Wohnrecht, Nießbrauch, Altenteilsrechte)",اعاده از قرارداد انتقال( مثلا: حق اسکان، حق عمر، حقوق قسمت های قدیمی)
Sonstiges Vermögen,دارایی های دیگر
"**Sonstige Angaben,**",داده های دیگر
"z. B. über persönliche, familiäre, gesundheitliche Verhältnisse",به عنوان مثال در مورد وضعیت شخصی، خانوادگی و سلامتی
Leistungen für besondere Mehrbedarfe,خدمات برای نیازهای ضروری
"Unter bestimmten Voraussetzungen können Leistungen für Mehrbedarfe erbracht werden, die nicht durch die Regelleistung abgedeckt sind und aus den vorgenannten Angaben nicht zu beurteilen sind. Dies gilt für alle Personen innerhalb des Haushalts.",در صورت وجود پیش نیازهای لازم امکان پرداخت خدمات بیشتر وجود دارد، که زیر پوشش خدمات معمولی قرار نمی گیرند و تصیم در مورد آنها با داده های وارد شده ناممکن است. این حق شامل تمام افراد خانواده خانواده می شود دلایل خود را ارائه دهند و در صورت موافقت خدمات اضافی دریافت کنند.
Folgende Mehrbedarfe werden geltend gemacht:,نیازهای اضافی زیر اظهار می شود:
Für werdende Mütter nach der 12. Schwangerschaftswoche,برای مادر شدن بعد از گذشت 12 هفته ی بارداری
Vorlage Mutterschaftspass erforderlich,ارائه ی کارت مادری لازم است
Vorname:,نام:
Voraussichtlicher Geburtstermin,تاریخ تولد پیش بینی شده
"Schwerbehinderte Menschen, die das 15. Lebensjahr vollendet haben und Leistungen zur Teilhabe am Arbeitsleben erhalten",افراد با معلولیت بالا، که 15 سال را به اتمام رسانده اند و برای مشارکت در زندگی کاری خدمات دریافت می کنند.
Vorlage des Bewilligungsbescheides,ارائه ی مدرک موافقت با درخواست
Kostenaufwendige Ernährung aus medizinischen Gründen,تغذیه پرهزینه به دلایل پزشکی
vom Sozialamt erhältlicher Vordruck ist vom behandelnden Arzt auszufüllen,فرم دریافت شده از اداره ی رفاه باید توسط پزشک معالج پر شود
Bestandteile des Antrages sind die Anlagen,ضمیمه های زیر شامل درخواست هستند:
1 - Unterhalt,1 - هزینه ی معیشت
2 - Ausländer,2 - خارجیها
3 - Grundbesitz,3 - املاک و مستغلات
4 – Eingliederungshilfe,4 - کمک هزینه ی ادغام
6 – Mietschulden,5 - اجاره ی عقب افتاده
Dem Antrag sind folgende Unterlagen beigefügt,مدارک زیر به درخواست ضمیمه شده اند
Die Angaben im Antrag und den dazugehörigen Anlagen habe ich vollständig und wahrheitsgemäß gemacht.,داده های در درخواست و ضمیمه های شامل آن را کامل و بر اساس حقیقت پر کرده ام
"Ich werde den Träger der Leistungen (Land Berlin, vertreten durch die Bezirksämter v. Berlin, Geschäftsbereich Sozialwesen / Geschäftsbereich Jugend und Sport bzw. Landesamt für Gesundheit und Soziales Berlin / ZLA) gem. § 60 Abs. 1 Ziff. 2 SGB I unverzüglich informieren, wenn",من ارائه دهنده ی خدمات را ( ایالت برلین، نمایندگی شده از طرف اداره ی مناطق برلین،سازمان رفاه/ سازمان ورزش و جوانان و همچنین اداره سلامت و رفاه برلین ZLA ) بر اساس § 60 Abs. 1 Ziff. 2 SGB I بدون وقفه مطلع کنم اگر:
- sich meine persönlichen und wirtschaftlichen Verhältnisse ändern.,- وضعیت شخصی و اقتصادی من تغییر کند.
- sich die Verhältnisse meiner Haushaltsangehörigen ändern.,- وضعیت افراد زندگی کننده با من تغییر کند.
- ich Renten oder ähnliche Leistungen beantrage.,- من درخواست بازنشستگی یا خدمات مشابه بدهم.
"Des Weiteren bin ich hinreichend darüber informiert worden, dass im Falle eines konkreten Betrugsverdachts die Ermittlungen des Sachverhalts gemäß §§ 20, 21, 69 und 71 SGB X von Amts wegen – ohne meine Beteiligung – erfolgen können.","همچنین من کافی مطلع شده ام که در صورت وضوح سوء ظن به تقلب بررسی حقایق مطابق از طرف اداره ی مربوطه براساس §§ 20, 21, 69 71 SGB X - بدون حضور من- می تواند صورت بپذیرد."
"Leistungen werden von mir zurückgefordert, sofern ich sie zu Unrecht erhalten habe, z. B. weil ich vorsätzlich oder grob fahrlässig falsche Angaben gemacht habe.",خدمات از من پس گرفته می شود و، در صورتی که من به ناحق دریافت کرده باشم، مثلا چون اطلاعات اشتباه داده باشم.
"Der Träger der Leistungen nach SGB XII bzw. AsylbLG kann für die Zeit, für die ich Leistungen erhalte, meine Ansprüche gegen einen anderen auf entsprechende Leistungen in Höhe seiner Aufwendungen auf sich überleiten.",تامین کننده ی خدمات می تواند طبق SGB XII bzw. AsylbLG برای زمانی که من خدمات دریافت می کنم، ادعای من نسبت به شخص دیگری به اندازه ی خدماتی که من دریافت می کنم را به خود انتقال دهد.
"Der Sozialhilfeträger behält sich vor, bei Vorliegen des entsprechenden Sachverhalts Aufwendungsersatz nach den §§ 19 Abs. 5, 27 Abs. 3 oder § 92 Abs. 1 SGB XII bzw. §§ 7, 9 AsylbLG geltend zu machen. In diesem Umfang habe ich dem Träger der Leistungen die Aufwendungen zu ersetzen.","تامین کننده ی خدمات حق خود می داند، در صورت پدید آمدن شرایطی بر اساس قانون §§ 19 Abs. 5, 27 Abs. 3 oder § 92 Abs. 1 SGB XII bzw. §§ 7, 9 AsylbLG معادل هزینه ها را به اجرا بگذارد. بر طبق قانون من باید هزینه های دریافت شده را به صورت کامل پرداخت کنم."
"Dies gilt auch, wenn der Erstattungsanspruch des Trägers der Sozialleistung gegen andere vorrangig verpflichtete Leistungsträger (z.B. Rententräger, Krankenkasse) aus Verfahrensgründen nicht befriedigt werden kann und ich für den gleichen Zeitraum von beiden Leistungsträgern Aufwendungen erhalten habe. In diesen Fällen sind die gewährten Leistungen nach SGB XII / AsylbLG von mir zu erstatten.",این قانون همچنین قابل اعمال است وقتی که بازپرداخت هزینه های تامین کننده ی خدمات علیه دیگر خدمات دهندگان که در اولویت هستند (مانند : بیمه ی درمانی و بیمه ی بازنشستگی) دلایل محکمه پسندی ارائه نشود و من در این بازه ی زمانی از هر دوی خدمات دهنده، خدمات دریافت کرده ام. در این صورت طبق قانون SGB XII / AsylbLG هزینه ها از طرف من قابل پرداخت است.
