"Name und Vorname der antragstellenden Person","Ihr Nachname und Vorname"
"(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)","Wenn das Kind in mehrere Jobs hat, schreiben Sie diese bitte auf ein anderes Blatt."
"Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit: ........ Stunden","Wie viele Stunden arbeitet das Kind pro Woche (laut dem Arbeitsvertrag)?"
"Angaben zum Vorliegen einer Behinderung","Hat das Kind eine Behinderung?"
"Liegt bei dem Kind eine Behinderung vor, welche vor Vollendung des 25. Lebensjahres eingetreten ist?","Hat das Kind eine Behinderung? Wenn ja: Hat es die Behinderung bekommen, bevor es 25 Jahre alt war?"
"nein","nein"
"Haben Sie oder eine unter Punkt 2 genannte Person für dieses Kind bereits Kindergeld beantragt oder erhalten?","Haben Sie für dieses Kind schon einen Antrag auf Kindergeld gestellt? Haben Sie für dieses Kind schon Kindergeld bekommen?
Hat jemand anderes (jemand von Punkt 2) für dieses Kind schon einen Antrag gestellt oder Kindergeld bekommen?"
"ja, bitte hier Angaben machen","Wenn ja: Geben Sie bitte hier Informationen."
"Familienname, Vorname der antragstellenden bzw. kindergeldbeziehenden Person","Nachname, Vorname von Ihnen oder der Person, die Kindergeld für das Kind bekommt."
"Zeitraum (ab/von – bis)","Von wann bis wann haben Sie (oder eine andere Person) für das Kind Kindergeld bekommen?"
"Familienkasse, Anschrift","Von welcher Familienkasse haben Sie (oder die andere Person) das Kindergeld bekommen?"
"Kindergeldnummer","Kindergeldnummer"
"Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung im öffentlichen Dienst tätig?","Haben Sie in den letzten 5 Jahren im öffentlichen Dienst (staatliche oder kommunale Arbeitgeber; Bezahlung z.B. nach TVöD oder TV-L, oder Beamte/r) gearbeitet? Oder hat das andere Elternteil (die Person unter Punkt 2) in den letzten 5 Jahren dort gearbeitet?"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers bzw. der Dienststelle","Name des Arbeitgebers (der Name steht zum Beispiel im Arbeitsvertrag)"
"Anschrift des Dienstherrn/Arbeitgebers","Adresse des Arbeitgebers"
"Name und Anschrift der zuständigen Familienkasse, sofern abweichend vom Dienstherrn/Arbeitgeber","Name und Adresse der Familienkasse. Wenn die Familienkasse die gleiche Adresse hat wie der Arbeitgeber, müssen Sie hier nichts schreiben."
"Familienname, Vorname der beziehenden Person","Nachname, Vorname von Ihnen oder der anderen Person, die das Geld bekommen hat"
"Leistung","Welche Art von finanzieller Hilfe haben Sie bekommen?"
"leistende Stelle, Anschrift"," Amt, Arbeitgeber oder Institution, die das Geld gegeben hat, Adresse"
"Aktenzeichen","Aktenzeichen (Reihe von Zahlen und Buchstaben)"
"Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung","Haben Sie oder der andere Elternteil (die Person unter Punkt 2) in den letzten 5 Jahren"
"außerhalb Deutschlands als Arbeitnehmer(in), Selbständige(r), Entwicklungshelfer(in) tätig?","in einem anderen Land gearbeitet? Zum Beispiel angestellt, angestellt, in der Entwicklungshilfe?"
"in Deutschland bei einer Dienststelle oder Einrichtung eines anderen Staates oder als Angehörige(r) der NATO-Streitkräfte tätig?","in einer Institution von einem anderen Land in Deutschland gearbeitet (zum Beispiel in einem Konsulat) oder für die NATO gearbeitet?"
"in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt (z. B. entsandte Person)?","in Deutschland gearbeitet bei einer Firma, die ihre Zentrale in einem anderen Land hat?"
"Wenn ja, bitte hier Angaben machen:","Wenn ja, geben Sie hier Informationen:"
"Familienname, Vorname des Beschäftigten","Nachname, Vorname von Ihnen oder von der anderen Person"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung","Name von dem Arbeitgeber, von der Firma oder von der Institution. Wenn Sie eine Personalnummer haben, geben Sie diese an."
"Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung","Adresse von dem Arbeitgeber, von der Firma oder von der Institution."
"Ort/Land der Erwerbstätigkeit","Der Ort / Das Land, in dem Sie (oder die andere Person) gearbeitet haben"
"Hinweis zum Datenschutz:","Hier können Sie lesen, wie mit den Informationen von Ihnen umgegangen wird:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","Hier wird Ihnen erklärt, warum Sie Ihre Informationen Angeben müssen um Kindergeld zu bekommen. Die Informationen über Sie werden wegen dem §§ 31, 62 bis 78 Einkommenssteuergesetz (das ist ein Gesetz das bestimmt, wieviel Geld Sie von Ihrer Arbeit an den Staat zahlen müssen), der Abgabenordnung, des Bundeskindergeldgesetzes und des Sozialgesetzbuches (im Sozialgesetzbuch stehen Regeln über das Kindergeld oder die Rente)  gebraucht."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","Hier wird Ihnen gesagt, wo Sie mehr Informationen finden können"
"Datum","Datum"
"Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung","Ihre Unterschrift oder die von Ihrem Vertreter/Ihrer Vertreterin nach dem Gesetz"
