"Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren","أقرباء تم منحهم مساعدات مالية نقدا أو إعاشات"
"Name, Vorname, Anschrift","اسم العائلة، الاسم الأول، العنوان"
"(sofern sie von Ihrer Anschrift abweicht)","في حال اختلف العنوان عن العنوان الخاص بكم"
"Verhältnis","العلاقة"
"(z. B. Ehegatte, Kind, Mutter)","(على سبيل المثال: زوج، طفل، أم)"
"Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren","المبلغ الشهري، في حال تم منح المساعدات نقدا"
"Haben diese Angehörigen eigene Einnahmen?","هل لدى هؤلاء الأقرباء دخل خاص؟"
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.","على سبيل المثال: دفع من التدريب المهني، نفقة من ولي أمر أخر وهكذا."
"mtl. EUR netto","المبلغ الصافي شهريا باليورو"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an.","اذا كنتم تتلقون حاليا معاش وفق المادة 12 من قانون الضمان الاجتماعي، وارفقتم كامل المستندات الخاصة بقرار الإعانة المالية بما فيها مستند الدخل، فمن غير الضروري ملئ *الاجزاء E حتى J*، إلا إذا طلبت المحكمة ذلك."
"Bruttoeinnahmen","إجمالي الدخل"
"Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden.","المستندات المثبتة مثل: شاهدة الراتب، إقرار ضريبي، إخبار الاعتماد مع أوراق الحساب- يجب إرفاق نسخ من المستندات."
"1. Haben Sie Einnahmen aus","1. لديكم إيرادات من"
"(bitte die monatlichen Bruttobeträge in EUR angeben)","(الايراد الشهري الكامل)"
"Nichtselbständiger Arbeit?","عمل غير مستقل (عمل وظيفي)"
"mtl. EUR brutto","شهري يورو صافي"
"Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?","عمل مستقل, منشأة تجارية ,زراعة او إدارة الغابات"
"Vermietung und Verpachtung?","إيجار او تأجير"
"Kapitalvermögen?","رأس المال"
"Kindergeld/ Kinderzuschlag?","إعانة مالية خاصة بالأطفال - علاوة للأطفال"
"Wohngeld?","إعانة الإسكان"
"Unterhalt?","نفقة"
"Rente/ Pension?","تقاعد -معاش"
"Arbeitslosengeld?","إعانة بطالة"
"Arbeitslosengeld II?","إعانة بطالة II"
"Krankengeld?","إعانة مالية بسبب المرض"
"Elterngeld?","اعانه الوالدين"
"2. Haben Sie andere Einnahmen?","2. هل لديكم ايراد آخر؟"
"auch einmalige oder unregelmäßige","ايرادات لمرة واحدة او إيرادات غير منتظمة"
"Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben","إذا كانت الإجابة بنعم, برجاد ذكر قدر ونوع والفترة الزمنية الخاصة بالإيراد"
"z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl.","مثلا نقود عيد الميلاد، نقود العطلة السنوية، مسترجعات ضريبية سنوي، BAföG شهري"
"EUR brutto","يورو كلى"
"3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus","3. لدى الزوج / الزوجة، شريك الحياة المسجل إيرادات من؟"
"4. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin andere Einnahmen?","4. لدى الزوج / الزوجة، شريك الحياة المسجل إيرادات أخرى؟"
"5. Falls zu den Einnahmen alle Fragen verneint werden: Auf welche Umstände ist dies zurückzuführen? Wie bestreiten Sie Ihren Lebensunterhalt?","5. إذا كانت كل الإجابات بالنفي، برجاء التوضيح كيف تقومون باسيفاء مصاريف المعيشة؟"
"Angaben hierzu sind auf einem gesonderten Blatt beizufügen!","برجاء ذكر التفاصيل في ورقة إضافية يتم ارفاقها"
"Abzüge","استقطاع"
"Art der Abzüge bitte kurz bezeichnen (z. B. Lohnsteuer, Pflichtbeiträge, Lebensversicherung). Belege müssen in Kopie beigefügt werden.","برجاد ذكر نوع الاستقطاع (الدخل ,اشتراكات اجبارية, تأمين على الحياة) يجب ارفاق صور من المستندات الدالة"
"1. Welche Abzüge haben Sie?","1. اية من الاستقطاعات لديكم؟"
"Beleg","المستند الدال"
"Steuern/ Solidaritätszuschlag","ضرائب، ضربية التضامنالتضامن"
"EUR mtl.","يورو شهري"
"Sozialversicherungsbeiträge","مساهمات تأمين الإجتماعي"
"Sonstige Versicherungen","مصاريف تأمين اخرى"
"Fahrt zur Arbeit (Kosten für öffentliche Verkehrsmittel oder einfache Entfernung bei KFZ-Nutzung)","الرحلة الى مكان العمل (تكاليف المواصلات العامة او ذكر السافة في حالة استخدام سيارة)"
"Sonstige Werbungskosten/ Betriebsausgaben","مصاريف إعلان او مصاريف تشغيل اخرى"
"2. Welche Abzüge hat Ihr Ehegatte/ eing. Lebenspartner","2. اية من الاستقطاعات تفرض على دخل زوج/زوجة او شريك الحياة؟"
"Bankkonten/ Grundeigentum/ Kraftfahrzeuge/ Bargeld/ Vermögenswerte","حسابات بنكية، عقارات، مركبات، اموال سائلة، أصول..."
"Verfügen Sie oder Ihr Ehegatte/ Ihre Ehegattin bzw. Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin allein oder gemeinsam über...","هل تمتلك، مشتركا او منفردا، او زوجك او شريك حياتك المسجل"
"1. Bank-, Giro-, Sparkonten oder dergleichen?","1. حاسب في بنك، حساب جاري، حساب توفير او اي شئ من هذا القبيل؟"
"Angaben zu allen Konten sind auch bei fehlendem Guthaben erforderlich.","يجب ذكر بيانات كل الحسابات البنكية حتى بالنسبة للحسابات التي بدون رصيد"
"Art des Kontos, Kontoinhaber, Kreditinstitut","نوع الحاسب، ملبغ المدع بالحساب، إسم البنك"
"Kontostand in EUR","ملبغ الحساب باليورو"
"2. Grundeigentum?","2. ملكية العقارات؟"
"z. B. Grundstück, Haus, Eigentumswohnung, Erbbaurecht","مثل: قطعة أرض، بناية، شقة، حق في بناء على أرض مملوكة للغير"
"Größe, Anschrift/ Grundbuchbezeichnung, Allein- oder Miteigentum, Zahl der Wohneinheiten","الحجم، العنوان، الإسم في سجل الأراضي، ملكية منفردة ام في شراكة، عدد الوحدات"
"Verkehrswert in EUR","القيمة باليورو"
"3. Kraftfahrzeuge?","3. مركبات؟"
"Marke, Typ, Baujahr, Anschaffungsjahr, Allein- oder Miteigentum, Kilometerstand","الماركة، النوع، سنة الصنع، سنة الاقتناء، ملكية منفردة او بشراكة، المسافة المسارة بالكيلومتر"
"4. Bargeld oder Wertgegenstände?","4. اموال سائلة او مقتنيات ثمينة؟"
"z. B. wertvoller Schmuck, Antiquitäten, hochwertige elektronische Geräte","امثلة: مجوهرات ثمينة، انتيكات، اجهزة الكترونية عالية الجودة"
"Bargeldbetrag in EUR, Bezeichnung der Wertgegenstände, Allein- oder Miteigentum","قيمة الاموال السائلة باليورو، وصف المقتنيات الثمينة، ملكية منفردة ام بشراكة"
"5. Lebens- oder Rentenversicherungen?","5. تأمين على الحياة او تأمين تقاعدي؟"
"Versicherung, Versicherungsnehmer, Datum des Vertrages/ Handelt es sich um eine zusätzliche Altersvorsorge gem. Einkommensteuergesetz, die staatlich gefördert wurde („Riester-Rente“)?","التأمين، الشخص المؤمن عليه، تاريخ التعاقد، هل هذا التأمين تأمين تقاعدي إضافي طبقا لقانون ضريبة الدخل ،التي شجعته الدولة (Riester-Rente)؟"
"Rückkaufswert in EUR","قيمة إعادة الشراء باليورو"
"6. sonstige Vermögenswerte?","6. أصول أخرى؟"
"z. B. Bausparverträge, Wertpapiere, Beteiligungen, Forderungen","مثلا العقد للمنزل،سندات،مشاركات،مستحقات"
"Bezeichnung, Allein- oder Miteigentum","اسم ملكية وحده او منفصل"
"Wohnkosten","تكلفة السكن"
"Belege sind in Kopie beizufügen (z. B. Mietvertrag, Heizkostenabrechnung, Kontoauszüge)","يجب إرفاق نسخ من المستندات المثبتة ( عقد إيجار، كشف تكاليف التدفئة، كشف حساب بنكي )"
"1. Gesamtgröße des Wohnraums, den Sie allein oder gemeinsam mit anderen Personen bewohnen:","1. إجمالي مساحة السكن المستخدمة سواء منفردين او مع اشخاص آخرين:"
"(Angabe in Quadratmeter)","(المساحة بالمتر المربع)"
"2. Zahl der Zimmer:","2. عدد الغرف:"
"3. Anzahl der Personen, die den Wohnraum","3. عدد الاشخاص الذين يستخدمون المكان"
"4. Nutzen Sie den Raum als Mieter oder in einem ähnlichen Nutzungsverhältnis?","4. هل تستخدم المكان كمستأجر وامر مشابه لذلك؟"
"Wenn ja, bitte die nachfolgenden Angaben in EUR pro Monat ergänzen","إذا كانت الإجابة بنعم، برجاد أكمال البيانات باليورو شهريا"
"Ja","نعم"
"Miete ohne Nebenkosten","قيمة الإيجار دون احتساب التكاليف الأضافية"
"Heizungskosten","تكلفة التدفئة"
"Übrige Nebenkosten","تكاليف اخرى"
"Gesamtbetrag","المبلغ كامل"
"Ich allein zahle davon","أدفع منفردا تكاليف..."
"5. Nutzen Sie den Raum als Eigentümer, Miteigentümer oder Erbbauberechtigter?","5. استخدم المكان كمالك، مستأج، وريث؟"
"Zinsen und Tilgung","الفوائد واصل الدين"
"6. Genaue Einzelangaben zu der Belastung aus Fremdmitteln bei Nutzung als (Mit-) Eigentümer usw.","6. بينات دقيقة حول الالتزامات المالية كمستخدم للمكان كمالك منفرد او شريك"
"z. B. Datum des Darlehensvertrages, Darlehensnehmer, Kreditinstitut, Darlehensrate pro Monat, Zahlungen laufen bis...","مثل تاريخ عقد القرض، اسم المقترض، مؤسسة مصرفية المقرضة، قسط القرض الشهري، تاريخ الانتهاء من سداد القرض"
"Restschuld in EUR","المبلغ المتبقي من الدين"
"Zinsen und Tilgung mtl.","الفوائد واصل الدين في الشهر"
"Sonstige Zahlungsverpflichtungen","التزامات مالية اخرى"
"Angabe, an wen, wofür, seit wann und bis wann die Zahlungen geleistet werden","بيانات عن، إلى من، لماذا، منذ متى، الى متى ومتى هذه الالتزامات المالية"
"z. B. Ratenkredit der ... Bank vom... für..., Raten laufen bis.../ Belege (z. B. Darlehensvertrag, Zahlungsnachweise) sind in Kopie beizufügen","مثلا المؤسسة المقرضة، بسبب، لصالح من، سداد القرض يستمر حتى تاريخ...، يجب إرفاق المستندات المثبتة كعقد الاقتراض او مستندات السداد"
"Gesamtbelastung mtl.","اجمالي الالتزامات المالية الشهرية"
"Besondere Belastungen","التزامات خاصة"
"Angaben sind zu belegen,","يجب تقديم الاثباتات"
"z. B. Mehrausgaben für körperbehinderten Angehörigen und Angabe des GdB/ Mehrbedarfe gemäß § 21 SGB II und § 30 SGB XII","مثلا مصروفات إضافية لقريب معاق وبيانات طبقا Gdb/ Mehrbedarfe gemäß § 21 SGB II و § 30"
"Ich versichere hiermit, dass meine Angaben vollständig und wahr sind. Das Hinweisblatt zu diesem Formular habe ich erhalten und gelesen.","أقر بأن البيانات كاملة وصحيحة وانني قد تسلمت وقرأت الورقة لشروط هذه الاستمارة."
"Mir ist bekannt, dass unvollständige oder unrichtige Angaben die Aufhebung der Bewilligung von Prozess-oder Verfahrenskostenhilfe und eine Strafverfolgung nach sich ziehen können. Das Gericht kann mich auffordern, fehlende Belege nachzureichen und meine Angaben an Eidesstatt zu versichern.","أقر بأنني على علم بان أي معلومات خاطئة أو منقوصة قد تتسبب بتوقيف المساعدة في تكاليف القضية او الاجراءات القانونية وقد تتسبب في تنفيذ عقوبات ومن حق القضاء طلب أي ادلة أخرى وتأكيد هذه البيانات من خلال قسم."
"Mir ist auch bekannt, dass ich während des Gerichtsverfahrens und innerhalb eines Zeitraums von vier Jahren seit der rechtskräftigen Entscheidung oder der sonstigen Beendigung des Verfahrens verpflichtet bin, dem Gericht wesentliche Verbesserungen meiner wirtschaftlichen Lage oder eine Änderung meiner Anschrift unaufgefordert und unverzüglich mitzuteilen. Bei laufenden Einkünften ist jede nicht nur einmalige Verbesserung von mehr als 100 Euro (brutto) im Monat mitzuteilen. Reduzieren sich geltend gemachte Abzüge, muss ich dies ebenfalls unaufgefordert und unverzüglich mitteilen, wenn die Entlastung nicht nur einmalig 100 Euro im Monat übersteigt. Ich weiß, dass die Bewilligung der Prozess- oder Verfahrenskostenhilfe bei einem Verstoß gegen diese Pflicht aufgehoben werden kann, und ich dann die gesamten Kosten nachzahlen muss.","اقر بانني على علم ايضا بانه خلال فترة القضية وخلال فترة الأربع سنوات من القرار النهائي، بأنه يجب على ابلاغ القضاء والمحكمة عن أي تحسن أو تغير في وضعي المالي. وأيضا ابلاغ القضاء عن أي تغيير في عنوان سكني، دون ان يطلب مني ذلك. وأن أقوم بالابلاغ عن أي زيادة في الدخل تزيد عن مائة يورو (100 يورو) شهريا خلال قترة القضية. بالاضافة للابلاغ عن أي نقصان في الدخل يزيد عن مائة يورو (100 يورو) شهريا خلال فترة القضية. والتزم بتطبيق ما ورد أعلاه و الالتزام بالابلاغ مباشرة. و وفي حالة عدم الالتزام سأقوم بدفع وتغطية مصاريف القضية كاملة على حسابي الشخصي."
"Anzahl der beigefügten Belege:","عدد الدلائل"
"Ort, Datum","المكان والتاريخ"
"Unterschrift der Partei oder Person, die sie gesetzlich vertritt","توقيع الشخص او ممثله/ممثلها القانوني"
"Aufgenommen:","سجل"
"Unterschrift/ Amtsbezeichnung","توقيع,إسم رسمي"
