"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","Name, Ort und Nummer von dem Gericht:"
"Name, Vorname, Anschrift","Name, Vorname, Adresse"
"(sofern sie von Ihrer Anschrift abweicht)","(wenn die Adresse nicht wie dieselbe wie Ihre Adresse ist)"
"Verhältnis","Wer ist dieser Mensch oder wer sind diese Menschen?"
"(z. B. Ehegatte, Kind, Mutter)","(zum Beispiel Ihre Ehefrau/Ihr Ehemann, Ihr Kind, Ihre Mutter)"
"Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren","Hilfe in Euro jeden Monat, wenn Sie nur Geld geben"
"Haben diese Angehörigen eigene Einnahmen?","Bekommen diese Menschen aus Ihrer Familie anderes Geld?"
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.","zum Beispiel Lohn für die Ausbildung, Hilfe von dem anderen Elternteil"
"mtl. EUR netto","Hilfe in Euro jeden Monat netto (was Sie ausgezahlt bekommen)"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an.","Wenn Sie Sozialhilfe bekommen, geben Sie die Papiere vom Amt zusammen mit diesem Formular ab. Sie brauchen dann die *Abschnitte E bis J* nicht auszufüllen. Die Abschnitte E bis J müssen Sie nur ausfüllen, wenn das Gericht das verlangt."
"Bruttoeinnahmen","Einkommen brutto (gesamtes Einkommen: Davon zahlen Sie noch Steuern und Geld, zum Beispiel an die Krankenversicherung.)"
"Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden.","Sie müssen die Papiere kopieren und zusammen mit diesem Formular abgeben (zum Beispiel: Lohnbescheinigung (vom Arbeitgeber), Steuerbescheid (vom Finanzamt), Bewilligungsbescheid mit Berechnungsbogen (vom Sozialamt))."
"1. Haben Sie Einnahmen aus","1. Woher bekommen Sie Geld?"
"(bitte die monatlichen Bruttobeträge in EUR angeben)","(Bitte schreiben Sie, wie hoch das Einkommen dieser Person brutto in Euro jeden Monat ist.)"
"Nichtselbständiger Arbeit?","Arbeitet die Person für eine Firma?"
"mtl. EUR brutto","Wie viel Euro brutto bekommt die Person dafür?"
"Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?","Arbeitet die Person selbständig? (Sie ist ihr eigener Chef.) / Als Handwerker? / In der Landwirtschaft oder in der Forstwirtschaft?"
"Vermietung und Verpachtung?","Vermietet die Person eine Wohnung, ein Gebäude oder ein Stück Land?"
"Kapitalvermögen?","Bekommt die Person Geld aus Geldanlagen?"
"Kindergeld/ Kinderzuschlag?","Bekommt die Person Kindergeld oder Kinderzuschlag?"
"Wohngeld?","Bekommt die Person Wohngeld?"
"Unterhalt?","Bekommt die Person eine Hilfe von jemandem aus Ihrer Familie?"
"Rente/ Pension?","Bekommt die Person eine Rente?"
"Arbeitslosengeld?","Bekommt die Person Arbeitslosengeld?"
"Arbeitslosengeld II?","Bekommt die Person Arbeitslosengeld II?"
"Krankengeld?","Bekommt die Person Krankengeld?"
"Elterngeld?","Bekommt die Person Elterngeld?"
"2. Haben Sie andere Einnahmen?","2. Bekommen Sie Geld von woanders her?"
"auch einmalige oder unregelmäßige","Schreiben Sie den Betrag, auch wenn die Person das Geld nur einmal oder nur ab und zu bekommt."
"Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben","Wenn ja: Schreiben Sie bitte, was für ein Geld das ist, wie viel Geld die Person bekommen hat und wann."
"z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl.","(zum Beispiel Weihnachtsgeld / Urlaubsgeld einmal im Jahr, Geld von dem Finanzamt einmal im Jahr, Geld für das Studium einmal im Monat (BAföG))"
"EUR brutto","Euro brutto"
"3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus","3. Woher bekommt Ihr Ehemann/Ihre Ehefrau oder Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin Geld?"
"4. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin andere Einnahmen?","4. Bekommt Ihr Ehemann/Ihre Ehefrau oder Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin Geld von woanders her?"
"5. Falls zu den Einnahmen alle Fragen verneint werden: Auf welche Umstände ist dies zurückzuführen? Wie bestreiten Sie Ihren Lebensunterhalt?","5. Wenn Sie alle Fragen zum Geld mit Nein beantworten: Warum? Woher haben Sie Geld zum Leben?"
"Angaben hierzu sind auf einem gesonderten Blatt beizufügen!","Bitte schreiben Sie das auf ein anderes Blatt!"
"Abzüge","Geld, das Sie zahlen müssen"
"Art der Abzüge bitte kurz bezeichnen (z. B. Lohnsteuer, Pflichtbeiträge, Lebensversicherung). Belege müssen in Kopie beigefügt werden.","Bitte schreiben Sie hier, was für Geld Sie zahlen müssen (zum Beispiel Lohnsteuer, Geld für die Rente, Lebensversicherung). Sie müssen die Belege kopieren und zusammen mit diesem Formular abgeben."
"1. Welche Abzüge haben Sie?","1. Welches Geld müssen Sie zahlen?"
"Beleg","Beleg"
"Steuern/ Solidaritätszuschlag","Steuern/ Solidaritätszuschlag"
"EUR mtl.","Euro jeden Monat"
"Sozialversicherungsbeiträge","Geld für die Sozialversicherung"
"Sonstige Versicherungen","Geld für andere Versicherungen"
"Fahrt zur Arbeit (Kosten für öffentliche Verkehrsmittel oder einfache Entfernung bei KFZ-Nutzung)","Fahrt zur Arbeit (Kosten für öffentliche Verkehrsmittel oder die Entfernung zwischen Ihrem Zuhause und Ihrer Arbeit, wenn Sie mit Ihrem eigenen Auto fahren)"
"Sonstige Werbungskosten/ Betriebsausgaben","Andere Kosten für Ihre Arbeit"
"2. Welche Abzüge hat Ihr Ehegatte/ eing. Lebenspartner","2. Welche Geld muss Ihr Ehemann/Ihre Ehefrau oder Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin zahlen?"
"Bankkonten/ Grundeigentum/ Kraftfahrzeuge/ Bargeld/ Vermögenswerte","Besitzen Sie ein Bankkonto/ eine Wohnung/ ein Motorrad oder ein Auto / Geld in Bar/ Geldanlagen?"
"Verfügen Sie oder Ihr Ehegatte/ Ihre Ehegattin bzw. Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin allein oder gemeinsam über...","Haben Sie oder hat Ihre Ehefrau / Ihr Ehemann oder Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin..."
"1. Bank-, Giro-, Sparkonten oder dergleichen?","1. ein Bankkonto oder ein Sparkonto?"
"Angaben zu allen Konten sind auch bei fehlendem Guthaben erforderlich.","Schreiben Sie hier die Nummern aller Konten, auch wenn darauf kein Geld ist."
"Art des Kontos, Kontoinhaber, Kreditinstitut","Schreiben Sie: Was ist das für ein Konto? (Girokonto, Sparkonto) Wer hat das Konto? Wie heißt die Bank?"
"Kontostand in EUR","Wie viel Euro ist auf diesem Konto?"
"2. Grundeigentum?","2. Besitzen Sie Grundeigentum?"
"z. B. Grundstück, Haus, Eigentumswohnung, Erbbaurecht","zum Beispiel ein Stück Land, ein Haus, eine Wohnung"
"Größe, Anschrift/ Grundbuchbezeichnung, Allein- oder Miteigentum, Zahl der Wohneinheiten","Größe, Adresse/ Nummer im Grundbuch. Sind Sie der einzige Besitzer? Wie viele Wohnungen gibt es in dem Haus?"
"Verkehrswert in EUR","Wert in Euro"
"3. Kraftfahrzeuge?","3. Besitzen Sie ein Fahrzeug mit Motor?"
"Marke, Typ, Baujahr, Anschaffungsjahr, Allein- oder Miteigentum, Kilometerstand","Marke? Typ? Von wann ist das Fahrzeug? Wann haben Sie das Fahrzeug gekauft? Sind Sie der einzige Besitzer? Wie viele Kilometer ist das Fahrzeug schon gefahren?"
"4. Bargeld oder Wertgegenstände?","4. Haben Sie Geld in bar oder wertvolle Dinge?"
"z. B. wertvoller Schmuck, Antiquitäten, hochwertige elektronische Geräte","zum Beispiel wertvoller Schmuck, wertvolle alte Dinge wie Möbel, wertvolle elektronische Geräte"
"Bargeldbetrag in EUR, Bezeichnung der Wertgegenstände, Allein- oder Miteigentum","Wie viel Geld in bar haben Sie in Euro? Welche wertvollen Dinge haben Sie? Sind Sie der einzige Besitzer?"
"5. Lebens- oder Rentenversicherungen?","5. Haben Sie eine Lebensversicherung oder eine Rentenversicherung?"
"Versicherung, Versicherungsnehmer, Datum des Vertrages/ Handelt es sich um eine zusätzliche Altersvorsorge gem. Einkommensteuergesetz, die staatlich gefördert wurde („Riester-Rente“)?","Namen der Versicherung? Wer hat die Versicherung abgeschlossen? Von wann ist der Vertrag mit der Versicherung? Ist die Versicherung eine „Riester-Rente“?"
"Rückkaufswert in EUR","Wie viel ist die Versicherung in Euro wert, wenn Sie sie jetzt verkaufen?"
"6. sonstige Vermögenswerte?","6. Haben Sie Geldanlagen?"
"z. B. Bausparverträge, Wertpapiere, Beteiligungen, Forderungen","zum Beispiel einen Bausparvertrag, Aktien, eine Beteiligung an einer Firma"
"Bezeichnung, Allein- oder Miteigentum","Wie heißen diese Papiere? Sind Sie der einzige Besitzer?"
"Wohnkosten","Kosten für Ihre Wohnung"
"Belege sind in Kopie beizufügen (z. B. Mietvertrag, Heizkostenabrechnung, Kontoauszüge)","Sie müssen die Belege kopieren und zusammen mit diesem Formular abgeben (zum Beispiel Mietvertrag, Abrechnung für die Heizkosten, Kontoauszüge)"
"1. Gesamtgröße des Wohnraums, den Sie allein oder gemeinsam mit anderen Personen bewohnen:","1. Größe von der Wohnung, in der Sie allein oder zusammen mit anderen Personen wohnen:"
"(Angabe in Quadratmeter)","(Größe in m²)"
"2. Zahl der Zimmer:","2. Zahl von den Zimmern:"
"3. Anzahl der Personen, die den Wohnraum","3. Zahl von den Personen, die in dieser Wohnung leben"
"4. Nutzen Sie den Raum als Mieter oder in einem ähnlichen Nutzungsverhältnis?","4. Mieten Sie diese Wohnung?"
"Wenn ja, bitte die nachfolgenden Angaben in EUR pro Monat ergänzen","Wenn ja: Schreiben Sie bitte, wie viel Euro Sie jeden Monat zahlen für..."
"Ja","ja"
"Miete ohne Nebenkosten","die Miete ohne Nebenkosten"
"Heizungskosten","die Heizungskosten"
"Übrige Nebenkosten","andere Nebenkosten"
"Gesamtbetrag","alle Kosten zusammen"
"Ich allein zahle davon","Sie allein zahlen davon"
"5. Nutzen Sie den Raum als Eigentümer, Miteigentümer oder Erbbauberechtigter?","5. Nutzen Sie diese Wohnung als Besitzer, als Mitbesitzer oder als Erbbauberechtigter?"
"Zinsen und Tilgung","die Zinsen und den Kredit"
"6. Genaue Einzelangaben zu der Belastung aus Fremdmitteln bei Nutzung als (Mit-) Eigentümer usw.","6. Wenn Sie Besitzer oder Mitbesitzer von der Wohnung sind: Schreiben Sie hier genaue Informationen zu dem Kredit."
"z. B. Datum des Darlehensvertrages, Darlehensnehmer, Kreditinstitut, Darlehensrate pro Monat, Zahlungen laufen bis...","zum Beispiel: Datum von dem Kreditvertrag? Name von der Person, die den Kredit aufgenommen hat? Name von der Bank? Wie viel Geld zahlen Sie jeden Monat zurück? Bis wann müssen Sie den Kredit zurückzahlen?"
"Restschuld in EUR","Wie viel Euro müssen Sie noch zurückzahlen?"
"Zinsen und Tilgung mtl.","Wie viel Euro zahlen Sie jeden Monat für die Zinsen und den Kredit?"
"Sonstige Zahlungsverpflichtungen","Geld, das Sie auch noch zahlen müssen"
"Angabe, an wen, wofür, seit wann und bis wann die Zahlungen geleistet werden","An wen, wofür, seit wann und bis wann müssen Sie Geld zahlen?"
"z. B. Ratenkredit der ... Bank vom... für..., Raten laufen bis.../ Belege (z. B. Darlehensvertrag, Zahlungsnachweise) sind in Kopie beizufügen","(zum Beispiel: Kredit der Bank (Name von der Bank) vom (Datum) für den Kauf von einem Auto; Sie zahlen für den Kredit noch bis (Datum) / Sie müssen die Belege (zum Beispiele Kreditvertrag; Papiere, die zeigen, dass Sie zahlen) kopieren und zusammen mit diesem Formular abgeben."
"Gesamtbelastung mtl.","Alles Geld, das Sie jeden Monat zahlen"
"Besondere Belastungen","Belastungen (Geld, das Sie auch noch zahlen müssen)"
"Angaben sind zu belegen,","Sie müssen die Belege dafür zusammen mit diesem Formular abgeben,"
"z. B. Mehrausgaben für körperbehinderten Angehörigen und Angabe des GdB/ Mehrbedarfe gemäß § 21 SGB II und § 30 SGB XII","zum Beispiel: Sie haben Ausgaben, weil jemand in Ihrer Familie behindert ist. Geben Sie den Grund der Behinderung an. Geben Sie die ""Mehrbedarfe"" nach den Gesetzen § 21 SGB II und § 30 SGB XII an."
"Ich versichere hiermit, dass meine Angaben vollständig und wahr sind. Das Hinweisblatt zu diesem Formular habe ich erhalten und gelesen.","Sie sagen, dass Sie alle Informationen gegeben haben und dass alle Informationen richtig sind. Sie haben das Hilfe-Papier zu diesem Formular bekommen und gelesen."
"Mir ist bekannt, dass unvollständige oder unrichtige Angaben die Aufhebung der Bewilligung von Prozess-oder Verfahrenskostenhilfe und eine Strafverfolgung nach sich ziehen können. Das Gericht kann mich auffordern, fehlende Belege nachzureichen und meine Angaben an Eidesstatt zu versichern.","Sie wissen: Wenn Sie nicht alle Informationen geben oder Sie falsche Informationen geben: Dann bekommen Sie keine Hilfe für Prozesskosten. Und es kann sein, dass das Gericht aus diesem Grund einen Prozess gegen Sie macht. Das Gericht kann verlangen, dass ich Sie noch weitere Belege abgeben. Das Gericht kann auch verlangen, dass Sie schwören: Dass alle Ihre Informationen richtig sind."
"Mir ist auch bekannt, dass ich während des Gerichtsverfahrens und innerhalb eines Zeitraums von vier Jahren seit der rechtskräftigen Entscheidung oder der sonstigen Beendigung des Verfahrens verpflichtet bin, dem Gericht wesentliche Verbesserungen meiner wirtschaftlichen Lage oder eine Änderung meiner Anschrift unaufgefordert und unverzüglich mitzuteilen. Bei laufenden Einkünften ist jede nicht nur einmalige Verbesserung von mehr als 100 Euro (brutto) im Monat mitzuteilen. Reduzieren sich geltend gemachte Abzüge, muss ich dies ebenfalls unaufgefordert und unverzüglich mitteilen, wenn die Entlastung nicht nur einmalig 100 Euro im Monat übersteigt. Ich weiß, dass die Bewilligung der Prozess- oder Verfahrenskostenhilfe bei einem Verstoß gegen diese Pflicht aufgehoben werden kann, und ich dann die gesamten Kosten nachzahlen muss.","Sie wissen auch: Wenn sich während dem Prozess und 4 Jahre nach dem Prozess etwas Wichtiges an Ihrer Geld-Situation ändert (Zum Beispiel: Wenn Sie über 100 Euro mehr jeden Monat bekommen. Oder wenn sich Ihre Adresse ändert.): Dann müssen Sie das Gericht sofort informieren. Wenn Sie weniger Geld zahlen müssen (mindestens 100 Euro weniger jeden Monat): Auch dann müssen Sie das Gericht sofort informieren. Sie wissen: Wenn Sie das Gericht nicht informieren: Dann bekommen Sie keine Hilfe für Prozesskosten. Sie müssen alles Geld zurückzahlen, das Sie als Hilfe bekommen haben."
"Anzahl der beigefügten Belege:","Zahl der Belege, die Sie zusammen mit diesem Formular abgeben:"
"Ort, Datum","Ort, Datum"
"Unterschrift der Partei oder Person, die sie gesetzlich vertritt","Unterschrift von der Organisation oder von der Person (zum Beispiel ein Rechtsanwalt), die Sie in dem Prozess vertritt"
"Aufgenommen:","Das Dokument ist bei dem Amt angekommen:"
"Unterschrift/ Amtsbezeichnung","Unterschrift/ Name von dem Amt"
