"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?","У Вас есть родственики, которые являются обязанными выплачивать Вам алименты (даже если на самом деле не выплачивают)?"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","например мать, отец, супруг/а, гражданский партнёр"
"Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind.","Фамилия и имя лицa, обязанного оказывать материальную помощь. На дополнительном экземпляре этого бланка предоставьте, пожалуйста, сведения о личном и экономическом положении этого лица, если они не полностью явствуют из следующих частей."
"Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren","родственики, которым Вы предоставляете наличное или натуральное содержание"
"Name, Vorname, Anschrift","фамилия, имя, адрес"
"(sofern sie von Ihrer Anschrift abweicht)","(если отличается от Вашего адреса)"
"Verhältnis","отношение"
"(z. B. Ehegatte, Kind, Mutter)","(например муж, ребёнок, мать)"
"Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren","Ежемесячный взнос в евро, если Вы предоставляете только платёжное содержание"
"Haben diese Angehörigen eigene Einnahmen?","Есть ли у этих родных свои доходы?"
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.","например, оплата труда в период профессионального обучения, алименты другого родителя и так далее"
"mtl. EUR netto","месячная сумма-нетто в евро"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an.","Если Вы получаете пособия по поддержанию жизни в соответствии с двенадцатым томом Социального кодекса (социальная помощь) и прилагаете актуальное решение включая ведомости расчёта, Вам не нужно заполнять *части Д до И*, если только это не предпишет суд."
"Bruttoeinnahmen","валовой доход"
"Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden.","справки (например справка об уплате налога на доходы физических лиц, выдаваемая работодателем наёмному работнику, платёжное извещение, решение о согласии c ведомостью расчёта) нужно приложить в копиях"
"1. Haben Sie Einnahmen aus","1. У Вас доходы от"
"(bitte die monatlichen Bruttobeträge in EUR angeben)","(пожалуйста сообщите месячную валовую сумму в евро)"
"Nichtselbständiger Arbeit?","наёмного труда?"
"mtl. EUR brutto","месячная валовая сумма в евро"
"Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?","самостоятельной работы / предприятия / сельского и лесного хозяства?"
"Vermietung und Verpachtung?","аренды?"
"Kapitalvermögen?","капитального имущества?"
"Kindergeld/ Kinderzuschlag?","пособия на ребёнка / надбавки на ребёнка?"
"Wohngeld?","пособия на аренду жилья?"
"Unterhalt?","иждивения?"
"Rente/ Pension?","пенсии?"
"Arbeitslosengeld?","пособия по безработице [ALG I]?"
"Arbeitslosengeld II?","пособия по безработице II [ALG II / Hartz IV]?"
"Krankengeld?","пособия по болезни?"
"Elterngeld?","родительского пособия?"
"2. Haben Sie andere Einnahmen?","2. У Вас есть другие доходы?"
"auch einmalige oder unregelmäßige","даже однократные или нерегулярные"
"Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben","если да, пожалуйста сообщите вид, отчётный период и размер"
"z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl.","например, ежегодное рождественское денежное вознаграждение / ежегодные отпускные деньги, ежегодный возврат налогов, месячная ссуда на обучение от государства [BAföG]"
"EUR brutto","валовая сумма в евро"
"3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus","3. У Вашего супруга (-и) / зарегистрированного гражданского партнёра доходы от"
"4. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin andere Einnahmen?","4. Имеются ли у Вашего супруга (-и) / зарегистрированного гражданского партнёра другие доходы?"
"5. Falls zu den Einnahmen alle Fragen verneint werden: Auf welche Umstände ist dies zurückzuführen? Wie bestreiten Sie Ihren Lebensunterhalt?","5. Если Вы ответили все вопросы о доходах отрицательно, то с чем это связано? Как Вы добываете средства к существованию?"
"Angaben hierzu sind auf einem gesonderten Blatt beizufügen!","Данные об этом нужно приложить на отдельном листе!"
"Abzüge","удержания"
"Art der Abzüge bitte kurz bezeichnen (z. B. Lohnsteuer, Pflichtbeiträge, Lebensversicherung). Belege müssen in Kopie beigefügt werden.","Коротко опишите, пожалуйста, вид удержаний (например, подоходный налог, обязательные взносы, страхование жизни). Справки нужно приложить в копиях."
"1. Welche Abzüge haben Sie?","1. Какие удержания у Вас есть?"
"Beleg","справка"
"Steuern/ Solidaritätszuschlag","налоги / налог солидарности"
"EUR mtl.","евро ежемесячно"
"Sozialversicherungsbeiträge","отчисления на социальное страхование"
"Sonstige Versicherungen","другие виды страхования"
"Fahrt zur Arbeit (Kosten für öffentliche Verkehrsmittel oder einfache Entfernung bei KFZ-Nutzung)","поездка на работу (стоимость общественного транспорта или прямое расстояние, если Вы управляете машиной)"
"Sonstige Werbungskosten/ Betriebsausgaben","прочие издержки, связанные с профессиональной деятельностью / эксплуатационные расходы предприятия"
"2. Welche Abzüge hat Ihr Ehegatte/ eing. Lebenspartner","2. Какие удержания у Вашего супруга (-и) / гражданского партнёра?"
"Bankkonten/ Grundeigentum/ Kraftfahrzeuge/ Bargeld/ Vermögenswerte","банковские счета / земельная собственность / моторные транспортные средства / наличные средства / имущественные ценности"
"Verfügen Sie oder Ihr Ehegatte/ Ihre Ehegattin bzw. Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin allein oder gemeinsam über...","Обладаете ли Вы единолично или совместно с Вашим супругом (-ой) или зарегистрированным партнёром (-ей)"
"1. Bank-, Giro-, Sparkonten oder dergleichen?","1. Банковским, расчётным, сберегательным или подобным счётом?"
"Angaben zu allen Konten sind auch bei fehlendem Guthaben erforderlich.","Данные о всех счетах нужно предоставить даже в случае отсутствия средств на них"
"Art des Kontos, Kontoinhaber, Kreditinstitut","вид счёта, владелец счёта, кредитное учреждение"
"Kontostand in EUR","состояние счёта в евро"
"2. Grundeigentum?","2. Земельной собственностью?"
"z. B. Grundstück, Haus, Eigentumswohnung, Erbbaurecht","например, земельным наделом, домом, частной квартирой, наследственным правом застройки"
"Größe, Anschrift/ Grundbuchbezeichnung, Allein- oder Miteigentum, Zahl der Wohneinheiten","размер, адрес / название в поземельной книге (земельном кадастре), исключительная или коллективная собственность, число квартир"
"Verkehrswert in EUR","рыночная цена в евро"
"3. Kraftfahrzeuge?","3. Моторными транспортными средствами?"
"Marke, Typ, Baujahr, Anschaffungsjahr, Allein- oder Miteigentum, Kilometerstand","марка, вид, год производства, год приобретения, исключительная или коллективная собственность, пройденное число километров"
"4. Bargeld oder Wertgegenstände?","4. Наличными средствами или ценными предметами?"
"z. B. wertvoller Schmuck, Antiquitäten, hochwertige elektronische Geräte","например, ценными украшениями, антикварными вещами, высококачественными электроприборами"
"Bargeldbetrag in EUR, Bezeichnung der Wertgegenstände, Allein- oder Miteigentum","сумма наличных в евро, название ценных вещей, исключительная или коллективная собственность"
"5. Lebens- oder Rentenversicherungen?","5. Страховками жизни или пенсионными страховками?"
"Versicherung, Versicherungsnehmer, Datum des Vertrages/ Handelt es sich um eine zusätzliche Altersvorsorge gem. Einkommensteuergesetz, die staatlich gefördert wurde („Riester-Rente“)?","Страховка, застрахованное лицо, дата договора / Идёт ли речь о дополнительных пенсионных накоплениях в соответсвии с законом о подоходном налоге при поддерже государства (""пенсия Ристера"")"
"Rückkaufswert in EUR","выкупная цена в евро"
"6. sonstige Vermögenswerte?","6. Прочими иммущественными ценностями?"
"z. B. Bausparverträge, Wertpapiere, Beteiligungen, Forderungen","Например, договорами о выдаче ссуды на индивидуальное строительство, ценными бумагами, капиталовложениями, требованиями"
"Bezeichnung, Allein- oder Miteigentum","название, исключительная или коллективная собственность"
"Wohnkosten","Расходы на жилье"
"Belege sind in Kopie beizufügen (z. B. Mietvertrag, Heizkostenabrechnung, Kontoauszüge)","Справки (например, договор аренды, отчёт о расходах на отопление, банковские выписки) нужно приложить в копиях."
"1. Gesamtgröße des Wohnraums, den Sie allein oder gemeinsam mit anderen Personen bewohnen:","1. Общая площадь жилого помещения, на которой Вы в одиночку или совместно с другими лицами проживаете"
"(Angabe in Quadratmeter)","(показание в метрах квадратных)"
"2. Zahl der Zimmer:","2. Число комнат"
"3. Anzahl der Personen, die den Wohnraum","3. Число лиц, проживающих на данной площади"
"4. Nutzen Sie den Raum als Mieter oder in einem ähnlichen Nutzungsverhältnis?","4. Вы пользуетесь квартирой как съёмщик или в подобном отношении пользования?"
"Wenn ja, bitte die nachfolgenden Angaben in EUR pro Monat ergänzen","Если да, предоставьте, пожалуйста, следующие данные в евро в месяц"
"Ja","да"
"Miete ohne Nebenkosten","арендная плата без коммунальных расходов"
"Heizungskosten","расходы на отопление"
"Übrige Nebenkosten","прочие коммунальные расходы"
"Gesamtbetrag","общая сумма"
"Ich allein zahle davon","Самостоятельно я оплачиваю от этой суммы"
"5. Nutzen Sie den Raum als Eigentümer, Miteigentümer oder Erbbauberechtigter?","5. Вы пользуетесь квартирой как владелец, совладелец или наследный застройщик?"
"Zinsen und Tilgung","проценты и платёж"
"6. Genaue Einzelangaben zu der Belastung aus Fremdmitteln bei Nutzung als (Mit-) Eigentümer usw.","6. Подробные индивидуальные данные о дебетовании из заёмных средств при пользовании квартирой в качестве владельца или совладельца и так далее"
"z. B. Datum des Darlehensvertrages, Darlehensnehmer, Kreditinstitut, Darlehensrate pro Monat, Zahlungen laufen bis...","например, дата договора займа, должник, кредитное учреждение, взнос займа в месяц, платежи осуществляются до..."
"Restschuld in EUR","остаток долга в евро"
"Zinsen und Tilgung mtl.","проценты и платёж ежемесячно"
"Sonstige Zahlungsverpflichtungen","Другие платёжные обязательства"
"Angabe, an wen, wofür, seit wann und bis wann die Zahlungen geleistet werden","Данные, за кого, за что, с какого и до какого времени Вы вносите платежи"
"z. B. Ratenkredit der ... Bank vom... für..., Raten laufen bis.../ Belege (z. B. Darlehensvertrag, Zahlungsnachweise) sind in Kopie beizufügen","например, потребительский кредит от ... [какого] банка от... [дата] на ... [что], взносы истекают до... [дата] / справки (например договор займа, платёжные квитанции) нужно приложить в копиях"
"Gesamtbelastung mtl.","Общая сумма в месяц"
"Besondere Belastungen","особые обременения"
"Angaben sind zu belegen,","Данные нужно подтвердить документально"
"z. B. Mehrausgaben für körperbehinderten Angehörigen und Angabe des GdB/ Mehrbedarfe gemäß § 21 SGB II und § 30 SGB XII","например, дополнительные расходы на родственников, имеющих физические недостатки, и данные о группе инвалидности / дополнительных потребностях в соответствии с § 21 и § 30 SGB XII [Кодекс социального права]"
"Ich versichere hiermit, dass meine Angaben vollständig und wahr sind. Das Hinweisblatt zu diesem Formular habe ich erhalten und gelesen.","Я уверяю, что все данные полные и достоверные. Я получил/-а и ознакомился/-лась с информационным листом к этому бланку."
"Mir ist bekannt, dass unvollständige oder unrichtige Angaben die Aufhebung der Bewilligung von Prozess-oder Verfahrenskostenhilfe und eine Strafverfolgung nach sich ziehen können. Das Gericht kann mich auffordern, fehlende Belege nachzureichen und meine Angaben an Eidesstatt zu versichern.","Я знаю, что неполные или неверные данные могут повлечь за собой отказ в предоставлении помощи по оплате процессуальных расходов или расходов производства по делу и уголовное преследование. Суд может обязать меня предоставить недостающие справки и письменно удостоверить правдивость моих данных."
"Mir ist auch bekannt, dass ich während des Gerichtsverfahrens und innerhalb eines Zeitraums von vier Jahren seit der rechtskräftigen Entscheidung oder der sonstigen Beendigung des Verfahrens verpflichtet bin, dem Gericht wesentliche Verbesserungen meiner wirtschaftlichen Lage oder eine Änderung meiner Anschrift unaufgefordert und unverzüglich mitzuteilen. Bei laufenden Einkünften ist jede nicht nur einmalige Verbesserung von mehr als 100 Euro (brutto) im Monat mitzuteilen. Reduzieren sich geltend gemachte Abzüge, muss ich dies ebenfalls unaufgefordert und unverzüglich mitteilen, wenn die Entlastung nicht nur einmalig 100 Euro im Monat übersteigt. Ich weiß, dass die Bewilligung der Prozess- oder Verfahrenskostenhilfe bei einem Verstoß gegen diese Pflicht aufgehoben werden kann, und ich dann die gesamten Kosten nachzahlen muss.","Мне также известно, что в течение судебного производства и на протяжении 4 лет от принятия решения, вступившего в законную силу, или другого окончания судебного производства я обязан (-а) добровольно и незамедлительно информировать суд о существенном улучшении моего экономического положения или об изменении адреса. О каждом повышении текущего дохода, не только однократного характера и превышающего 100 евро (брутто), тоже нужно известить. О сокращении предъявленных удержаний тоже необходимо добровольно и незамедлительно известить, если уменьшение выплат не тольно однократное и больше 100 евро. Я знаю, что решение о предоставлении помощи по оплате процессуальных расходов или расходов производства по делу может быть аннулировано при невыполнении этих обязанностей и в таком случае мне придётся оплатить все расходы."
"Anzahl der beigefügten Belege:","число прилагаемых документов"
"Ort, Datum","место, дата"
"Unterschrift der Partei oder Person, die sie gesetzlich vertritt","подпись стороны истца или лица, представляющего её"
"Aufgenommen:","принято:"
"Unterschrift/ Amtsbezeichnung","подпись / официальное название"
