"Weiterbewilligungsantrag","Weiterbewilligungsantrag"
"Vorname","Vorname"
"Familienname","Familienname"
"Geburtsdatum","Geburtsdatum"
"Straße, Hausnummer","Straße, Hausnummer"
"Postleitzahl","Postleitzahl"
"Wohnort","Wohnort"
"Nummer der Bedarfsgemeinschaft","Nummer der Bedarfsgemeinschaft"
"Allgemeine Angaben zu meinem Haushalt","Allgemeine Angaben zu meinem Haushalt"
"Anzahl der Personen in meiner Unterkunft (insgesamt):","Anzahl der Personen in meiner Unterkunft (insgesamt):"
"Mein beziehungsweise der Familienstand eines Mitglieds meiner Bedarfsgemeinschaft hat sich geändert oder wird sich ändern.","Mein beziehungsweise der Familienstand eines Mitglieds meiner Bedarfsgemeinschaft hat sich geändert oder wird sich ändern."
"Name der Person","Name der Person"
"Art der Änderung","Art der Änderung"
"Tag der Änderung","Tag der Änderung"
"Meine gesamte Bedarfsgemeinschaft wird am … in eine neue Wohnung ziehen oder ist bereits zu dem Tag in eine neue Wohnung gezogen.","Meine gesamte Bedarfsgemeinschaft wird am … in eine neue Wohnung ziehen oder ist bereits zu dem Tag in eine neue Wohnung gezogen."
"Bitte füllen Sie die **Anlage KDU** aus.","Bitte füllen Sie die **Anlage KDU** aus."
"Eine oder mehrere Person/en meiner Bedarfsgemeinschaft oder Haushaltsgemeinschaft ist/sind ein- oder ausgezogen oder wird/werden ein- oder ausziehen.","Eine oder mehrere Person/en meiner Bedarfsgemeinschaft oder Haushaltsgemeinschaft ist/sind ein- oder ausgezogen oder wird/werden ein- oder ausziehen."
"Einzug am","Einzug am"
"Auszug am","Auszug am"
"Bitte legen Sie eine **Meldebescheinigung** für jede Person vor, die eingezogen ist.","Bitte legen Sie eine **Meldebescheinigung** für jede Person vor, die eingezogen ist."
"Füllen Sie bitte für Ihre Partnerin/Ehegattin beziehungsweise Ihren Partner/Ehegatten sowie für unverheiratete Kinder zwischen 15 und 24 Jahren die **Anlage WEP** aus","Füllen Sie bitte für Ihre Partnerin/Ehegattin beziehungsweise Ihren Partner/Ehegatten sowie für unverheiratete Kinder zwischen 15 und 24 Jahren die **Anlage WEP** aus"
"Für unverheiratete Kinder unter 15 Jahren füllen Sie bitte die **Anlage KI** aus.","Für unverheiratete Kinder unter 15 Jahren füllen Sie bitte die **Anlage KI** aus."
"Für sonstige Verwandte oder Verschwägerte (zum Beispiel Großeltern, Geschwister über 25 Jahre, verheiratete Kinder, Tanten oder Onkel) reichen Sie bitte die **Anlage HG** ein.","Für sonstige Verwandte oder Verschwägerte (zum Beispiel Großeltern, Geschwister über 25 Jahre, verheiratete Kinder, Tanten oder Onkel) reichen Sie bitte die **Anlage HG** ein."
"Einkommensverhältnisse der Mitglieder der Bedarfsgemeinschaft","Einkommensverhältnisse der Mitglieder der Bedarfsgemeinschaft"
"Hier müssen Sie Ihr Einkommen und das Einkommen der Mitglieder der Bedarfsgemeinschaft eintragen.","Hier müssen Sie Ihr Einkommen und das Einkommen der Mitglieder der Bedarfsgemeinschaft eintragen."
"Bürgergeld zählt nicht zum Einkommen und ist hier nicht anzugeben.","Bürgergeld zählt nicht zum Einkommen und ist hier nicht anzugeben."
"Bei einer Antragstellung ist grundsätzlich die Vorlage von Kontoauszügen erforderlich. Bitte legen Sie daher Kontoauszüge der letzten drei Monate vor.","Bei einer Antragstellung ist grundsätzlich die Vorlage von Kontoauszügen erforderlich. Bitte legen Sie daher Kontoauszüge der letzten drei Monate vor."
"Arbeitseinkommen aus Erwerbstätigkeit (haupt- und nebenberuflich/Minijob)","Arbeitseinkommen aus Erwerbstätigkeit (haupt- und nebenberuflich/Minijob)"
"Bitte legen Sie eine **Verdienstabrechnung** vor.","Bitte legen Sie eine **Verdienstabrechnung** vor."
"Auf Aufforderung des Jobcenters lassen Sie bitte auch eine **Einkommensbescheinigung** vom Arbeitgeber ausfüllen.","Auf Aufforderung des Jobcenters lassen Sie bitte auch eine **Einkommensbescheinigung** vom Arbeitgeber ausfüllen."
"Name und Firmenanschrift des Arbeitgebers","Name und Firmenanschrift des Arbeitgebers"
"Die Tätigkeit wird/wurde als Ferienjob ausgeübt.","Die Tätigkeit wird/wurde als Ferienjob ausgeübt."
"gemeinnützige oder ehrenamtliche Tätigkeit, für die (steuerfreie) **Aufwandsentschädigungen** gezahlt werden","gemeinnützige oder ehrenamtliche Tätigkeit, für die (steuerfreie) **Aufwandsentschädigungen** gezahlt werden"
"Art der Tätigkeit","Art der Tätigkeit"
"Zahlungseingang","Zahlungseingang"
"Bitte legen Sie aktuelle Nachweise über die konkrete Tätigkeit, die Art und Höhe der Aufwandsentschädigung, den Zahlungseingang und die in diesem Zusammenhang entstehenden Aufwendungen vor.","Bitte legen Sie aktuelle Nachweise über die konkrete Tätigkeit, die Art und Höhe der Aufwandsentschädigung, den Zahlungseingang und die in diesem Zusammenhang entstehenden Aufwendungen vor."
"Ausübung einer **selbständigen Tätigkeit** (auch in der Land- und Forstwirtschaft)","Ausübung einer **selbständigen Tätigkeit** (auch in der Land- und Forstwirtschaft)"
"Bitte füllen Sie die **Anlage EKS** aus.","Bitte füllen Sie die **Anlage EKS** aus."
"**Arbeitslosengeld** nach dem Dritten Buch Sozialgesetzbuch","**Arbeitslosengeld** nach dem Dritten Buch Sozialgesetzbuch"
"Bitte legen Sie den Bewilligungsbescheid der Agentur für Arbeit vor.","Bitte legen Sie den Bewilligungsbescheid der Agentur für Arbeit vor."
"**Renten** (zum Beispiel aus der gesetzlichen Sozialversicherung wie Altersrente, Knappschaftsausgleichsleistungen, Unfall-/Verletztenrente, Hinterbliebenenrente und Grundrente), Betriebsrenten, Pensionen, ausländische Renten, Arbeitsmarktrenten","**Renten** (zum Beispiel aus der gesetzlichen Sozialversicherung wie Altersrente, Knappschaftsausgleichsleistungen, Unfall-/Verletztenrente, Hinterbliebenenrente und Grundrente), Betriebsrenten, Pensionen, ausländische Renten, Arbeitsmarktrenten"
"Rentenart","Rentenart"
"Bitte legen Sie einen aktuellen Nachweis über Art und Umfang der erhaltenen Zahlungen vor.","Bitte legen Sie einen aktuellen Nachweis über Art und Umfang der erhaltenen Zahlungen vor."
"Wenn Sie und/oder ein Mitglied Ihrer Bedarfsgemeinschaft die nachfolgend aufgeführten **laufenden** und **regelmäßigen** Einnahmen haben/hat, tragen Sie bitte die Art der Einnahmen in die unten stehende Tabelle ein und legen aktuelle Nachweise vor.","Wenn Sie und/oder ein Mitglied Ihrer Bedarfsgemeinschaft die nachfolgend aufgeführten **laufenden** und **regelmäßigen** Einnahmen haben/hat, tragen Sie bitte die Art der Einnahmen in die unten stehende Tabelle ein und legen aktuelle Nachweise vor."
"Einnahmen aus **Vermietung, Untervermietung oder Verpachtung** (auch aus Land- und Forstwirtschaft)","Einnahmen aus **Vermietung, Untervermietung oder Verpachtung** (auch aus Land- und Forstwirtschaft)"
"sonstige **Entgeltersatzleistungen** (zum Beispiel Übergangsgeld, Krankengeld)","sonstige **Entgeltersatzleistungen** (zum Beispiel Übergangsgeld, Krankengeld)"
"**Sachbezüge** (zum Beispiel kostenfreie Verpflegung)","**Sachbezüge** (zum Beispiel kostenfreie Verpflegung)"
"**Wohngeld, Sozialhilfe, weitere Sozialleistungen**","**Wohngeld, Sozialhilfe, weitere Sozialleistungen**"
"**BAföG, Berufsausbildungsbeihilfe, Ausbildungsgeld**","**BAföG, Berufsausbildungsbeihilfe, Ausbildungsgeld**"
"sonstige **laufende Einnahmen** (zum Beispiel Elterngeld, Mutterschaftsgeld, Pflegegeld, Trinkgelder, Einnahmen aus einem Bundesfreiwilligendienst)","sonstige **laufende Einnahmen** (zum Beispiel Elterngeld, Mutterschaftsgeld, Pflegegeld, Trinkgelder, Einnahmen aus einem Bundesfreiwilligendienst)"
"Einkommens-/Leistungsart","Einkommens-/Leistungsart"
"**einmalige** Einnahmen und **unregelmäßige** Einnahmen (zum Beispiel Steuerrückerstattungen, Insolvenzgeld, Zinsen, sonstige Kapitalerträge, Erbschaften, Schenkungen)","**einmalige** Einnahmen und **unregelmäßige** Einnahmen (zum Beispiel Steuerrückerstattungen, Insolvenzgeld, Zinsen, sonstige Kapitalerträge, Erbschaften, Schenkungen)"
"Einkommensart","Einkommensart"
"Einkommenshöhe","Einkommenshöhe"
"Zahlungseingang am","Zahlungseingang am"
"Bitte legen Sie aktuelle Nachweise vor.","Bitte legen Sie aktuelle Nachweise vor."
"**Kindergeld**","**Kindergeld**"
"Bitte legen Sie den Kindergeldbescheid vor.","Bitte legen Sie den Kindergeldbescheid vor."
"Die Mitglieder der Bedarfsgemeinschaft haben **keines der oben genannten Einkommen**.","Die Mitglieder der Bedarfsgemeinschaft haben **keines der oben genannten Einkommen**."
"Absetzungen vom Einkommen (Werbungskosten)","Absetzungen vom Einkommen (Werbungskosten)"
"Die Absetzungen vom Einkommen (Werbungskosten) haben sich geändert:","Die Absetzungen vom Einkommen (Werbungskosten) haben sich geändert:"
"Ja","Ja"
"Nein","Nein"
"Art der Absetzung","Art der Absetzung"
"Monatliche Höhe in Euro","Monatliche Höhe in Euro"
"Kosten für Unterkunft und Heizung","Kosten für Unterkunft und Heizung"
"Mir entstehen Kosten für Unterkunft und Heizung.","Mir entstehen Kosten für Unterkunft und Heizung."
"Ich wohne zur Miete.","Ich wohne zur Miete."
"Höhe der tatsächlichen monatlichen Kosten für die Unterkunft","Höhe der tatsächlichen monatlichen Kosten für die Unterkunft"
"Grundmiete (ohne Nebenkosten)","Grundmiete (ohne Nebenkosten)"
"Nebenkosten (ohne Heizkosten)","Nebenkosten (ohne Heizkosten)"
"Heizkosten","Heizkosten"
"sonstige Wohnkosten","sonstige Wohnkosten"
"Bitte legen Sie aktuelle Nachweise mit Angabe der jeweiligen Fälligkeit vor.","Bitte legen Sie aktuelle Nachweise mit Angabe der jeweiligen Fälligkeit vor."
"Ich wohne im Eigentum.","Ich wohne im Eigentum."
"Höhe der tatsächlichen monatlichen Kosten für das Eigentum","Höhe der tatsächlichen monatlichen Kosten für das Eigentum"
"Schuldzinsen ohne Tilgungsraten","Schuldzinsen ohne Tilgungsraten"
"Weitere Änderungen","Weitere Änderungen"
"Bitte geben Sie hier alle Änderungen zu Ihren Angaben im (Erst-) Antrag an, die Sie noch nicht mitgeteilt haben, zum Beispiel (keine abschließende Aufzählung):","Bitte geben Sie hier alle Änderungen zu Ihren Angaben im (Erst-) Antrag an, die Sie noch nicht mitgeteilt haben, zum Beispiel (keine abschließende Aufzählung):"
"- Sie haben oder ein Mitglied Ihrer Bedarfsgemeinschaft hat eine eheähnliche Gemeinschaft begründet oder sich von der Partnerin/dem Partner getrennt.","- Sie haben oder ein Mitglied Ihrer Bedarfsgemeinschaft hat eine eheähnliche Gemeinschaft begründet oder sich von der Partnerin/dem Partner getrennt."
"- Die Anschrift oder die Bankverbindung hat sich geändert oder wird sich ändern.","- Die Anschrift oder die Bankverbindung hat sich geändert oder wird sich ändern."
"- Sie möchten oder ein Mitglied Ihrer Bedarfsgemeinschaft möchte nun einen Anspruch auf Mehrbedarf geltend machen (zum Beispiel Mehrbedarf für Schwangere, Mehrbedarf kostenaufwändige Ernährung).","- Sie möchten oder ein Mitglied Ihrer Bedarfsgemeinschaft möchte nun einen Anspruch auf Mehrbedarf geltend machen (zum Beispiel Mehrbedarf für Schwangere, Mehrbedarf kostenaufwändige Ernährung)."
"- Es haben sich Änderungen zur Kranken- oder Pflegeversicherung ergeben oder werden sich ergeben.","- Es haben sich Änderungen zur Kranken- oder Pflegeversicherung ergeben oder werden sich ergeben."
"- Es haben sich Änderungen zum Vermögen ergeben oder werden sich ergeben.","- Es haben sich Änderungen zum Vermögen ergeben oder werden sich ergeben."
"Bildung und Teilhabe","Bildung und Teilhabe"
"Beachten Sie bitte, dass Personen unter 25 Jahren einen Anspruch auf Leistungen für Bildung und Teilhabe haben können. Weitere Informationen erhalten Sie bei Ihrem Jobcenter/dem zuständigen kommunalen Träger.","Beachten Sie bitte, dass Personen unter 25 Jahren einen Anspruch auf Leistungen für Bildung und Teilhabe haben können. Weitere Informationen erhalten Sie bei Ihrem Jobcenter/dem zuständigen kommunalen Träger."
"Beachten Sie bitte, dass Ihr Antrag in der Regel auf den Ersten des Monats zurückwirkt (§ 37 Absatz 2 Satz 2 SGB II) und Sie deshalb Angaben – insbesondere zum Zufluss von Einkommen – für den kompletten Monat Ihrer Antragstellung machen müssen.","Beachten Sie bitte, dass Ihr Antrag in der Regel auf den Ersten des Monats zurückwirkt (§ 37 Absatz 2 Satz 2 SGB II) und Sie deshalb Angaben – insbesondere zum Zufluss von Einkommen – für den kompletten Monat Ihrer Antragstellung machen müssen."
"Meine Mitwirkungspflichten","Meine Mitwirkungspflichten"
"Personen, die Leistungen nach dem SGB II beantragen oder erhalten, sind **mitwirkungspflichtig**: Das bedeutet, **alle Angaben** im Antrag und in den hierzu eingereichten Anlagen **müssen richtig und vollständig** sein. **Änderungen**, die nach der Antragstellung eintreten und sich auf die Leistungen auswirken können (zum Beispiel Arbeitsaufnahme, Umzug), sind dem zuständigen Jobcenter **unverzüglich mitzuteilen**. Die Mitwirkungspflichten sind **von allen Mitgliedern einer Bedarfsgemeinschaft zu beachten**.","Personen, die Leistungen nach dem SGB II beantragen oder erhalten, sind **mitwirkungspflichtig**: Das bedeutet, **alle Angaben** im Antrag und in den hierzu eingereichten Anlagen **müssen richtig und vollständig** sein. **Änderungen**, die nach der Antragstellung eintreten und sich auf die Leistungen auswirken können (zum Beispiel Arbeitsaufnahme, Umzug), sind dem zuständigen Jobcenter **unverzüglich mitzuteilen**. Die Mitwirkungspflichten sind **von allen Mitgliedern einer Bedarfsgemeinschaft zu beachten**."
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten."
"Ein Verstoß gegen die Mitwirkungspflichten kann zusätzlich zu einem **Ordnungswidrigkeiten- oder Strafverfahren** gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (zum Beispiel Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt.","Ein Verstoß gegen die Mitwirkungspflichten kann zusätzlich zu einem **Ordnungswidrigkeiten- oder Strafverfahren** gegen die Person führen, die die oben genannten Pflichten missachtet hat. Das Jobcenter holt im Wege eines automatisierten Datenabgleichs bei verschiedenen Stellen Auskünfte über Einkommen und Vermögen ein (zum Beispiel Arbeitsentgelte, Kapitalerträge, Renten). Verschwiegene Einkommen und Vermögen werden daher regelmäßig nachträglich bekannt."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt."
"Bitte legen Sie einen Nachweis über die Betreuung vor (Bestallungsurkunde oder Ausweis der Betreuerin/des Betreuers).","Bitte legen Sie einen Nachweis über die Betreuung vor (Bestallungsurkunde oder Ausweis der Betreuerin/des Betreuers)."
"Name der Betreuten/des Betreuten","Name der Betreuten/des Betreuten"
"Ort/Datum","Ort/Datum"
"Unterschrift Betreuerin/Betreuer","Unterschrift Betreuerin/Betreuer"
"Ich bestätige, dass die Angaben richtig sind.","Ich bestätige, dass die Angaben richtig sind."
"Unterschrift Antragstellerin/Antragsteller","Unterschrift Antragstellerin/Antragsteller"
"(bei Minderjährigen: Unterschrift der/des gesetzlichen Vertreterin/Vertreters)","(bei Minderjährigen: Unterschrift der/des gesetzlichen Vertreterin/Vertreters)"
