"Einkommenserklärung","Ein Formular, wo Sie schreiben, wie viel Geld Sie mit Ihrer Arbeit verdienen."
"sind Rücklagen (Ansparabschreibungen) aufgelöst oder gebildet worden","Von diesem Geld wurde Geld fest gespart oder gespartes Geld freigegeben (Anspar-Abschreibungen)."
"ist ein steuerpflichtiger Teil enthalten, für den das Halbeinkünfteverfahren bzw. ab dem Veranlagungszeitraum 2009 das Teileinkünfteverfahren gilt","Für einen Teil von diesem Geld haben Sie Steuern bezahlt, aber Sie haben eine Ermäßigung bekommen (Halbeinkünfte-Verfahren, Teileinkünfte-Verfahren)."
"Ich versichere die Richtigkeit und Vollständigkeit aller in vorstehender Erklärung gemachten Angaben.","Sie sagen, dass alle Informationen, die Sie gegeben haben, richtig und vollständig sind."
"Datum","Datum"
"Unterschrift / gesetzlicher Vertreter","Ihre Unterschrift / Unterschrift von Ihrem Vater oder von Ihrer Mutter / Unterschrift von Ihrem Vormund"
"Erläuterungen zur Einkommenserklärung","Erklärungen zur Einkommens-Erklärung"
"Grundsätzlich hat **jeder** Haushaltsangehörige eine Einkommenserklärung abzugeben. Bei Minderjährigen ist die Erklärung vom gesetzlichen Vertreter zu unterschreiben.","**Jeder** Mensch, der mit Ihnen zusammen wohnt, muss eine Einkommens-Erklärung abgeben. Für Menschen unter 18 muss ein Elternteil oder der Vormund den Antrag unterschreiben."
"Weitere Vordrucke - u. a. auch weitere **Hinweise** zu dem Vordruck - **Bau Wohn 504** - erhalten Sie bei den Bürgerberatungsstellen der Bezirksämter oder können im Internet unter *www.stadtentwicklung.berlin.de/service/formulare/de/wohnen.shtml* abgerufen werden.","Sie bekommen weitere Formulare vom Amt (zum Beispiel weitere **Erklärungen** zum Formular **Bau Wohn 504**) bei der Bürgerberatungsstelle im Bezirksamt oder im Internet unter *www.stadtentwicklung.berlin.de/service/formulare/de/wohnen.shtml*."
"Geben Sie **alle Einnahmen / Einkünfte / Leistungen** an, unabhängig davon, ob sie versteuert werden oder unversteuert bleiben. Die Einkommensberechnung richtet sich nach den Bestimmungen der §§ 20 - 24 WoFG.  Welche Einkommensarten nach § 21 WoFG zum Jahreseinkommen gehören, können Sie dem Hinweis zur Einkommenserklärung (**Bau Wohn 504-Hinweis**) entnehmen.","Schreiben Sie in das Formular **alle Gelder, die Sie bekommen haben oder verdient haben**. Also alle Gelder, für die Sie Steuern zahlen müssen und für die Sie keine Steuern zahlen müssen. Wie das Amt Ihr Einkommen berechnet, steht im Gesetz §§ 20 - 24 WoFG. In den Erklärungen zur Einkommens-Erklärung (**Bau Wohn 504-Hinweis**) können Sie lesen, welche Gelder als Einkommen zählen."
"**Beantworten Sie bitte jede Frage und fügen Sie die entsprechenden Belege bei.** So kann die Bearbeitungszeit reduziert werden","**Bitte beantworten Sie jede Frage. Legen Sie Papiere dazu, wo steht, dass richtig ist, was Sie schreiben.** Wenn Sie das so machen, müssen Sie so nicht lange auf den Bescheid vom Amt warten."
"Zu 1.1","Erklärungen zu 1.1"
"Lassen Sie bitte die Einkommensbescheinigung von Ihrem Arbeitgeber (Vordruck BauWohn 504a) ausfüllen und fügen Sie die letzte **Verdienstabrechnung** bei. Haben Sie mehrere Arbeitsverhältnisse, lassen Sie bitte für jedes Arbeitsverhältnis eine Einkommensbescheinigung ausfüllen.","Bitten Sie Ihren Arbeitgeber, die Einkommens-Bescheinigung  (Formular ""BauWohn 504a"") auszufüllen. Bitte geben Sie Ihre letzte **Verdiensabrechnung** ab. Auf diesen Papier steht, wie viel Sie verdient haben. Wenn Sie für mehrere Arbeitgeber arbeiten, muss jeder Arbeitgeber eine Einkommens-Bescheinigung ausfüllen."
"Hier sind auch der von Ihnen bezogene, vom Arbeitgeber pauschal versteuerte Arbeitslohn oder steuerfreie Einnahmen aus einem geringfügigen Beschäftigungsverhältnis anzugeben.","Sie müssen hier alle Gelder eintragen, die Sie von Ihrem Arbeitgeber bekommen. Auch wenn Sie einen Mini-Job haben."
"Zu 1.2 und 1.3","Erklärungen zu 1.2 und 1.3"
"Beziehen Sie mehrere Renten bzw. Pensionen nebeneinander, geben Sie bitte alle an und fügen Sie die entsprechenden Rentenbescheide und die letzte Rentenanpassungsmitteilung bei.","Wenn Sie mehrere Renten bekommen, müssen Sie alle Renten angeben. Für jede Rente müssen Sie eine Kopie von den Papieren abgeben (Renten-Bescheid, die letzte Rentenanpassungs-Mitteilung)."
"Zu 1.4 und 1.5","Erklärungen zu 1.4 und 1.5"
"Fügen Sie die entsprechenden Bescheide bei.","Bitte geben Sie auch die Papiere ab, wo steht, dass richtig ist, was Sie geschrieben haben."
"Zu 1.6","Erklärungen zu 1.6"
"Fügen Sie bitte den Titel bzw. die Unterhaltsvereinbarung oder den Bewilligungsbescheid nach dem Unterhaltsvorschussgesetz und entsprechende Zahlungsbelege bei.","Wenn Sie Geld von Ihrem geschiedenen Mann / Ihrer geschiedenen Frau bekommen oder wenn Sie als Ersatz dieses Geld vom Staat bekommen: Geben Sie eine Kopie von allen Papieren ab, wo steht, dass richtig ist, was Sie schreiben (Unterhalts-Vereinbarung, Bewilligungs-Bescheid)."
"Zu 1.7","Erklärungen zu 1.7"
"Z.B. Bezüge von Abgeordneten, Einkünfte aus privaten Veräußerungsgeschäften u.s.w.","Zum Beispiel Geld für die Arbeit als Abgeordnete oder Abgeordneter, Geld, das Sie bekommen haben, weil Sie etwas verkauft haben."
"Zu 1.8","Erklärungen zu 1.8"
"Hierzu rechnen z.B. Zinsen aus Sparguthaben, Dividenden usw.","Zum Beispiel Zinsen von einem Sparbuch oder Dividenden von Aktien."
"Zu 1.9 bis 1.12","Erklärungen zu 1.9 bis 1.12"
"Bei Einkünften aus selbstständiger Arbeit, Gewerbebetrieb, Land- und Forstwirtschaft sowie Vermietung und Verpachtung ist der Gewinn des vor Antragstellung liegenden Kalenderjahres maßgebend. Sollte Ihnen der Einkommensteuerbescheid für das letzte Kalenderjahr noch nicht vorliegen, fügen Sie bitte den letzten Einkommensteuerbescheid und die Einkommensteuererklärung mit sämtlichen Anlagen für alle darauf folgenden Jahre, einschließlich des Jahres vor Antragstellung - mit einer Bestätigung des Finanzamtes über die Abgabe - bei.","Wenn Sie Geld durch selbständige Arbeit, mit einem Gewerbebetreib, durch Landwirtschaft oder Forstwirtschaft verdienen oder wenn Sie eine Immobilie vermieten: Dann müssen Sie den Gewinn aus dem letzten Kalenderjahr (zum Beispiel 2018) angeben. Wenn Sie den Bescheid über Ihre Einkommen-Steuer für das letzte Kalenderjahr noch nicht bekommen haben: Dann geben Sie bitte den letzten Einkommen-Steuer-Bescheid ab und legen Sie die letzte Einkommen-Steuer-Erklärung mit allen Anlagen dazu. Bitte legen Sie auch ein Papier vom Finanzamt dazu, wo steht, dass Sie diese Einkommen-Steuer-Erklärung abgegeben haben."
"Zu 2.","Erklärungen zu 2."
"Ihre erhöhten Werbungskosten weisen Sie durch Vorlage des Einkommensteuerbescheides für das vorangegangene Kalenderjahr oder durch eine Bescheinigung Ihres zuständigen Finanzamtes nach.","Wenn Sie viel Geld für Ihre Arbeit ausgeben (Werbungs-Kosten), geben Sie den Bescheid über Ihre Einkommen-Steuer vom letzten Kalenderjahr ab oder eine Bescheinigung von Ihrem Finanzamt über dieses Geld."
"Zu 3.","Zu 3."
"Die Aufwendungen können von den Einnahmen aus Erwerbstätigkeit abgesetzt werden und zwar in Höhe von 2/3 der Aufwendungen, höchstens jedoch 4.000 EUR jährlich für jedes leibliche Kind sowie für jedes Adoptiv- und Pflegekind, nicht jedoch für Stiefkinder.","Die Ausgaben für Kinderbetreuung können Sie von Ihrem Einkommen abziehen: 2/3 von diesen Ausgaben, aber nicht mehr als 4.000 EUR im Jahr für jedes Kind (auch für ein Adoptivkind oder Pflegekind). Bei Stiefkindern ist das nicht möglich."
"Die Aufwendungen sind durch Vorlage des Kostenbeteiligungsbescheides oder einer Rechnung nachzuweisen und die Zahlung auf das Konto der betreuenden Einrichtung / betreuenden Person zu belegen (Barzahlung oder ein Nachweis per Quittung können nicht anerkannt werden).","Sie müssen die Kinder-Betreuungskosten nachweisen: Geben Sie den Kostenbeteiligungs-Bescheid oder eine Rechnung ab und die Papiere der Bank, wo steht, dass Sie das Geld für die Betreuung überwiesen haben (eine Zahlung mit Bargeld oder eine einfache Quittung gelten nicht als Nachweis)."
"Zu 3.1","Erklärungen zu 3.1"
"Die Kinderbetreuungskosten können nicht abgesetzt werden, wenn diese von Dritten (z.B. im Rahmen der Jugendhilfe) übernommen werden. Wenn Sie einen Antrag auf Übernahme der Kinderbetreuung durch einen Dritten gestellt haben, teilen Sie bitte den zukünftigen Leistungsträger mit (z.B. Bundes- agentur für Arbeit, Integrationssamt).","Die Kinder-Betreuungs-Kosten können Sie nicht abziehen, wenn ein anderes Amt diese bezahlt (zum Beispiel im Rahmen von der Jugendhilfe). Wenn Sie einen Antrag gestellt haben, dass ein anderes Amt diese Kosten bezahlt, schreiben sie den Namen der Stelle (zum Beispiel Bundesagentur für Arbeit, Integrations-Amt)."
"Zu 4.","Erklärungen zu 4."
"Gemäß § 24 Abs. 2 WoFG werden Unterhaltszahlungen zur Erfüllung gesetzlicher Unterhaltsverpflicht- ungen bis zu dem in einer **notariell beurkundeten** Unterhaltsvereinbarung oder einem Unterhaltstitel oder Bescheid festgestellten Betrag abgesetzt. Ohne Vorliegen von Unterhaltsvereinbarung, Titel oder Bescheid können Unterhaltsleistungen nur bis zur Höhe von 3.000 bzw. 6. 000 EUR jährlich abgesetzt werden.  Die Verpflichtung zur Leistung von Unterhalt, die Höhe und die geleisteten Zahlungen der letzten 12 Monate sind in jedem Fall durch entsprechende Nachweise zu belegen.","Wenn Sie Unterhalt zahlen: Dann können Sie dieses Geld nur bis zu dem Betrag absetzen, der in einem Papier steht (nach dem Gesetz § 24 Abs. 2 WoFG): Dieses Papier kann ein **Notar** geschrieben haben (Unterhalts-Vereinbarung). Oder es kann ein Unterhalts-Titel oder Unterhalts-Bescheid sein. Ohne eines von diesen Papieren können Sie Zahlungen für Unterhaltzahlungen nur bis 3.000 oder 6. 000 EUR pro Jahr vom Einkommen abziehen. Sie müssen Papiere abgeben, wo steht, wie viel Geld Sie in den letzten 12 Monaten zahlen mussten und wie viel Geld Sie gezahlt haben."
"Zu 5.","Erklärungen zu 5."
"Aktuelle Nachweise sind beizufügen.","Legen Sie bitte Papiere dazu, wo steht, dass richtig ist, was Sie schreiben."
"Zu 6.","Erklärungen zu 6."
"Geben Sie bitte alle Zeiträume - gegebenenfalls auf gesondertem Blatt - an, in denen Sie keine Einnahmen / Einkünfte/ Leistungen hatten und fügen Sie die entsprechenden Nachweise bei (z.B. Schulbescheinigung, Semesterbescheinigung o. ä.).","Schreiben Sie, von wann bis wann Sie kein Geld verdient oder bekommen haben. Sie können dafür ein anderes Blatt benutzen. Geben Sie alle Papiere ab, wo steht, dass richtig ist, was Sie schreiben (zum Beispiel Schul-Bescheinigung, Semester-Bescheinigung)."
"Zu 7.","Erklärungen zu 7."
"Gemäß § 23 WoFG werden Pauschalabzüge bei der Ermittlung des Jahreseinkommens vorgenommen.  Geben Sie auch hier an, wenn Sie laufende Beiträge an öffentliche oder private Versicherungen oder ähnliche Einrichtungen entrichten, die der gesetzlichen Krankenversicherung/Pflegeversicherung bzw. den Pflichtbeiträgen zur Rentenversicherung in ihrer Zweckbestimmung entsprechen. Dies gilt auch für entsprechende Beiträge, die zu Gunsten eines zum Haushalt rechnenden Angehörigen entrichtet werden.","Das Amt zieht manche Gelder pauschal von Ihrem Einkommen ab (nach dem Gesetz § 23 WoFG).  Schreiben Sie hier auch, wie viel Geld Sie an öffentliche oder private Versicherungen oder ähnliche Stellen zahlen. Und zwar dann, wenn diese Gelder so wie die Beiträge für die gesetzliche Kranken-Versicherung oder Pflege-Versicherung oder für die Renten-Versicherung sind. Schreiben Sie auch die Gelder auf, die Sie für ein Mitglied von Ihrer Familie bezahlt haben, das mit Ihnen zusammen wohnt."
"Zu 8.","Erklärungen zu 8."
"Geben Sie - gegebenenfalls auf gesondertem Blatt - Hinweise zur Änderung Ihrer Einnahmen / Einkünfte / Leistungen. Die Änderung muss mit Sicherheit eintreten. Grund, Zeitpunkt und Höhe der Änderung sind anzugeben.","Schreiben Sie, wie sich Höhe von dem Geld, das Sie bekommen oder verdienen, ganz sicher ändern wird. Sie können dafür ein andere Blatt benutzen. Schreiben Sie den Grund und den Zeitpunkt von der Änderung und wie groß die Änderung sein wird."
"Zu 9.","Erklärungen zu 9."
"Der Zeitraum, dem die einmalig gezahlte Einnahme zuzurechnen ist, wird durch § 22 Abs. 4 WoFG bestimmt.","Im Gesetz § 22 Abs. 4 WoFG steht, für wann bei der Berechnung das Geld gilt, das Sie ein Mal bekommen haben."
"Zu 10.","Erklärungen zu 10."
"Die Angaben sind ggf. nach Aufforderung durch das Wohnungsamt vom zuständigen Finanzamt zu bestätigen.","Vielleicht bittet Sie das Wohnungs-Amt, dass Sie von Ihrem Finanzamt ein Papier holen, wo steht, das richtig ist, was Sie schreiben."
"Zu 10.3","Erklärungen zu 10.3"
"Für privates Kapitalvermögen findet das Halbeinkünfteverfahren - jetzt Teileinkünfteverfahren - ab dem Veranlagungszeitraum 2009 keine Anwendung mehr.","Für Geld aus privaten Investitionen nach 2009 gibt kein Halbeinkünfte-Verfahren oder Teileinkünfte-Verfahren mehr."
